Point	North	East	Elev_ft
1	256263	2362146	3856
2	256259.944	2362147.275	2776.1
3	256258.567	2362147.023	2733.2
4	256257.568	2362146.465	2701.2
5	256254.198	2362141.421	2607.4
6	256251.013	2362132.993	2513.8
7	256249.665	2362129.9	2483
8	256245.244	2362119.509	2391.7
9	256241.098	2362108.876	2297.4
10	256238.637	2362102.241	2234.8
11	256235.873	2362095.312	2172.2
12	256232.627	2362087.935	2109.7
13	256228.485	2362078.632	2033.4
14	256223.028	2362066.202	2006.6
15	256219.781	2362058.608	1942.2
16	256215.303	2362048.109	1849.9
17	256213.797	2362044.879	1819.1
18	256210.535	2362038.846	1756.4
19	256208.739	2362035.989	1725.6
20	256206.714	2362033.053	1693.8
21	256204.558	2362030.249	1663
22	256202.041	2362027.307	1631.3
23	256199.356	2362024.245	1600.5
24	256196.298	2362020.819	1568.9
25	256192.89	2362017.266	1537.2
26	256189.338	2362013.599	1504.6
27	256186.09	2362009.935	1473
28	256183.215	2362006.161	1443.4
29	256180.5	2362002.27	1443.4
30	256163.76	2361979.439	1304.2
31	256157.336	2361971.377	1261.5
32	256152.558	2361965.812	1230.3
33	256147.69	2361960.745	1200.1
34	256142.105	2361955.813	1168
35	256137.27	2361952.175	1141.7
36	256132.831	2361949.248	1118.3
37	256103.39	2361933.03	959.8
38	256092.387	2361927.424	897
39	256020.463	2361889.181	457.5
40	256006.386	2361881.217	366.9
41	255976.31	2361863.852	260.6
42	255955.025	2361850.809	120.8
43	255936.52	2361838.791	-1.2
44	255917.879	2361826.685	-127.3
45	255899.675	2361814.864	-250.4
46	255880.871	2361802.652	-374.4
47	255866.89	2361793.399	-464.8
48	255851.173	2361783.192	-555.9
49	255786.925	2361749.675	-801.5
50	255780.11	2361746.963	-832.6
51	255773.41	2361744.331	-863.8
52	255766.812	2361741.523	-895
53	255761.006	2361738.772	-923.3
54	255748.952	2361732.776	-954.5
55	255742.551	2361729.729	-985.7
56	255714.089	2361717.59	-1117.1
57	255694.247	2361709.371	-1206.5
58	255558.426	2361640.166	-1801.3
59	255530.018	2361623.097	-1922.9
60	255489.759	2361598.427	-2103.8
61	255445.792	2361572.528	-2318.9
62	255439.986	2361569.441	-2349.1
63	255434.727	2361566.932	-2378.6
64	255424.224	2361563.316	-2441.6
65	255419.177	2361562.197	-2472.2
66	255413.903	2361561.219	-2503.7
67	255409.075	2361560.06	-2534.3
68	255397.262	2361555.993	-2612.3
69	255378.832	2361547.594	-2736.7
70	255366.121	2361539.805	-2829.5
71	255353.518	2361531.929	-2923.3
72	255336.18	2361522.319	-3046.7
73	255323.514	2361514.25	-3141.6
74	255314.311	2361507.526	-3216.7
75	255310.548	2361504.706	-3248.4
76	255305.521	2361500.939	-3290.9
77	255302.005	2361498.086	-3321.6
78	255298.618	2361494.705	-3353.2
79	255295.498	2361490.933	-3384.8
80	255292.741	2361487.173	-3415.5
81	255290.092	2361483.467	-3446.1
82	255287.516	2361479.775	-3476.8
83	255284.921	2361476.096	-3507.5
84	255282.209	2361472.503	-3538.1
85	255279.331	2361468.82	-3569.8
86	255276.425	2361464.984	-3601.4
87	255274.445	2361462.147	-3624.2
88	255272.36	2361459.044	-3648.9
89	255269.755	2361455.145	-3679.5
90	255267.078	2361451.014	-3711.2
91	255264.517	2361446.394	-3742.7
92	255262.229	2361441.03	-3774.2
93	255260.242	2361435.178	-3804.6
94	255258.441	2361428.769	-3834.8
95	255256.94	2361422.138	-3864.1
96	255255.722	2361414.897	-3894.2
97	255249.75	2361379.209	-4036.7
98	255246.641	2361363.214	-4098.5
99	255241.846	2361339.645	-4185.3
100	255231.102	2361322.452	-4255.4
101	255189.833	2361252.39	-4539
102	255183.273	2361215.187	-4668.6
103	255173.783	2361170.543	-4816.7
104	255155.029	2361082.309	-5116.4
