NAME,NORTHING,EASTING,ELEVATION,TEMP
1,246365,2355717,4416,
2,246366,2355717,4198,
3,246369,2355717,4000,
4,246369,2355718,3946,
5,246371,2355718,3633,
6,246373,2355718,3399,
7,246376,2355716,3165,
8,246379,2355713,3000,
9,246380,2355712,2916,
10,246382,2355711,2791,
11,246385,2355711,2666,
12,246390,2355709,2416,
13,246390,2355709,2415,
14,246392,2355708,2322,
15,246394,2355707,2230,
16,246395,2355707,2155,
17,246398,2355706,2024,
18,246398,2355705,2000,
19,246399,2355705,1955,
20,246402,2355705,1838,
21,246404,2355705,1733,
22,246407,2355705,1636,
23,246409,2355706,1528,
24,246410,2355707,1450,
25,246410,2355707,1416,
26,246411,2355707,1341,
27,246411,2355708,1233,
28,246413,2355708,1093,
29,246413,2355709,1031,
30,246413,2355709,1000,422
31,246413,2355709,989,
32,246413,2355709,955
33,246414,2355709,924
34,246415,2355710,894
35,246417,2355711,863
36,246419,2355712,833
37,246422,2355714,803
38,246424,2355716,772
39,246427,2355718,742
40,246430,2355720,711
41,246434,2355722,681
42,246437,2355725,650
43,246441,2355728,619
44,246445,2355731,590
45,246449,2355735,559
46,246453,2355740,529
47,246457,2355744,499
48,246461,2355749,468,
49,246465,2355754,439,
50,246468,2355757,422,
51,246480,2355768,359,
52,246500,2355785,270,
53,246515,2355798,209,
54,246518,2355800,198,
55,246542,2355824,91,
56,246557,2355840,24,
57,246562,2355846,0,500
58,246571,2355855,-41,
59,246597,2355884,-161,
60,246621,2355911,-278,
61,246657,2355951,-458,
62,246673,2355966,-534,
63,246675,2355969,-545,
64,246695,2355988,-639,
65,246714,2356008,-727,
66,246733,2356026,-805,
67,246754,2356048,-893,
68,246776,2356070,-983,
69,246780,2356074,-1000,520
70,246805,2356100,-1102,
71,246828,2356123,-1190,
72,246866,2356159,-1335,
73,246888,2356180,-1417,
74,246905,2356196,-1478,
75,246929,2356218,-1563,
76,246956,2356243,-1655,
77,246981,2356266,-1742,
78,246997,2356281,-1801,
79,247020,2356304,-1889,
80,247036,2356319,-1950,
81,247047,2356329,-1989,
82,247050,2356331,-2000,521
83,247085,2356363,-2125,
84,247110,2356386,-2214,
85,247135,2356408,-2299,
86,247157,2356429,-2376,
87,247161,2356433,-2387,
88,247168,2356439,-2412,
89,247186,2356456,-2473,
90,247212,2356479,-2562,
91,247223,2356488,-2598,
92,247242,2356504,-2664,
93,247255,2356515,-2708,
94,247302,2356551,-2870,
95,247309,2356556,-2892,
96,247318,2356561,-2922,
97,247334,2356570,-2973,
98,247342,2356575,-3000,482
99,247391,2356603,-3162,
100,247395,2356610,-3178,
101,247433,2356628,-3300,
102,247466,2356637,-3384,
103,247551,2356666,-3652,
104,247577,2356676,-3741,
105,247656,2356711,-4000,480
106,247667,2356716,-4033,
107,247734,2356741,-4246,
108,247744,2356745,-5000,485
