      WELL DATA SUMMARY                                                                                                                                                                                                          
            
Well  23A-19
                         
Sec Az  350 N10E    
Elev   4136 KB      
CoordsNorth  248003 EAST              2350788 
                         Course               
  MD  Drift Drift D. AzimLength  DH     TVD     SSD    DNS   DEW    N-S     E-W   DSec   Sec    N-LAM E-LAM    
_______________________________________________________________________________________________________________
                                                                                                                                                                                                                                 
    0  0.00       0   65     0     0        0   4136     0     0    0.00    0.00     0      0  248003  2350788                                                                                                                   
  136  0.64      56   65   136     1      136   4000     0     1    0.32    0.69     0      0  248003  2350789 
  159  0.75      65   65   159     1      159   3977     0     1    0.44    0.94     0      0  248003  2350789                                                                                                                   
  303  0.75     309  309   144    -2      303   3833     2     0    2.31    1.17     2      2  248005  2350789                                                                                                                   
  544  1.75      38   38   241    -5      544   3592     5    -1    7.53    0.58     5      7  248011  2350789                                                                                                                   
  699  0.75     339  339   155    -3      699   3437     3     0   10.88    1.08     3     11  248014  2350789                                                                                                                   
  919  0.50      19   19   220    -2      919   3217     2     0   13.28    1.04     2     13  248016  2350789                                                                                                                   
 1136  0.75     328  328   217    -2     1136   3000     2     0   15.63    0.77     2     15  248019  2350789                                                                                                                   
 1351  1.25     296  296   215     4     1351   2785     3    -3   18.14   -2.02     3     18  248021  2350786                                                                                                                   
 1569  0.75     324  324   218     4     1569   2567     2    -3   20.59   -4.94     3     21  248024  2350783                                                                                                                   
 1787  1.25     350  350   218     4     1787   2349     4    -1   24.09   -6.42     4     25  248027  2350782                                                                                                                   
 2006  2.00     310  310   219     6     2006   2130     5    -3   29.47   -9.53     6     31  248032  2350778                                                                                                                   
 2136  1.58     318  318   130     4     2136   2000     3    -3   32.30  -12.43     3     34  248035  2350776 
 2159  1.50     320  320   153     5     2159   1977     3    -3   32.77  -12.83     4     35  248036  2350775                                                                                                                   
 2283  1.75     310  310   124     4     2283   1853     2    -2   35.26  -15.32     3     37  248038  2350773                                                                                                                   
 2442  1.25     327  327   159     4     2442   1694     3    -3   38.37  -18.08     4     41  248041  2350770                                                                                                                   
 2569  1.50     316  316   127     3     2568   1568     2    -2   40.76  -19.97     3     44  248044  2350768                                                                                                                   
 2695  1.50     332  332   126     3     2694   1442     3    -2   43.43  -21.91     3     47  248046  2350766                                                                                                                   
 2817  0.75     321  321   122     2     2816   1320     2    -1   45.42  -23.23     2     49  248048  2350765                                                                                                                   
 2941  1.75     330  330   124     3     2940   1196     2    -2   47.65  -24.77     2     51  248051  2350763                                                                                                                   
 3065  1.25     310  310   124     3     3064   1072     2    -2   50.14  -26.85     3     54  248053  2350761                                                                                                                   
 3137  1.95     307  307    72     2     3136   1000     1    -2   51.39  -28.43     2     56  248054  2350760 
 3193  2.50     304  304   128     4     3192    944     3    -3   52.66  -30.20     3     57  248056  2350758                                                                                                                   
 3318  1.75     296  296   125     5     3317    819     2    -4   54.98  -34.21     3     60  248058  2350754                                                                                                                   
 3477  1.25     330  330   159     4     3476    660     3    -3   57.82  -37.25     3     63  248061  2350751                                                                                                                   
 3657  1.75     352  352   180     5     3656    480     4    -2   62.27  -38.79     5     68  248065  2350749                                                                                                                   
