  																
		#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!
		WELL DATA SUMMARY														
		 														
	Well	BLM 24-20RD														
	 	 	 	 												
	Sec Azim	222.00	 													
	Elev	4049.00	KB													
 	Coords:	North	247564.00	East	2356534.00		2356534.00									
 					Course		 									
 	MD	Drift A.	Drift D.	Azim	Length	DH	TVD	SSD	DNS	DEW	N-S	E-W	DSec	Sec	N-LAM	E-LAM
 	_________	_________	_________	_________	_________	_________	_________	_________	_________	_________	_________	_________	_________	_________	____________	_________
 																
 	0	0.00	0.00	0.00				4049.00	0.00	0.00	0.00	0.00	0.00	0.00	247564.00	2356534.00
	49	0.00	0.00	0.00	49.00	0.00	49.00	4000.00	0.00	0.00	0.00	0.00	0.00	0.00	247564.00	2356534.00
 	460	0.00	0.00	0.00	460.00	0.00	460.00	3589.00	0.00	0.00	0.00	0.00	0.00	0.00	247564.00	2356534.00
	460	0.00	55.00	125.00	0.00	0.00	460.00	3589.00	0.00	0.00	0.00	0.00	0.00	0.00	247564.00	2356534.00
	500	1.06	55.00	125.00	40.00	0.37	500.00	3549.00	-0.21	0.30	-0.21	0.30	-0.05	-0.05	247563.79	2356534.30
	545	2.25	55.00	125.00	44.98	1.30	544.98	3504.02	-0.75	1.06	-0.96	1.37	-0.16	-0.20	247563.04	2356535.37
	638	2.25	57.00	123.00	92.93	3.65	637.91	3411.09	-2.04	3.03	-3.00	4.39	-0.51	-0.71	247561.00	2356538.39
	731	2.00	51.00	129.00	92.94	3.45	730.84	3318.16	-2.03	2.79	-5.03	7.18	-0.36	-1.07	247558.97	2356541.18
	824	2.25	52.00	128.00	92.94	3.45	823.78	3225.22	-2.15	2.70	-7.17	9.88	-0.21	-1.28	247556.83	2356543.88
	917	2.75	56.00	124.00	92.91	4.06	916.69	3132.31	-2.38	3.28	-9.56	13.16	-0.42	-1.71	247554.44	2356547.16
	1000	2.98	56.90	123.10	82.90	4.15	999.59	3049.41	-2.29	3.45	-11.85	16.62	-0.61	-2.32	247552.15	2356550.62
	1009	3.00	57.00	123.00	8.99	0.47	1008.58	3040.42	-0.26	0.39	-12.10	17.01	-0.07	-2.39	247551.90	2356551.01
	1049	3.32	60.87	119.13	39.94	2.21	1048.51	3000.49	-1.14	1.89	-13.24	18.90	-0.42	-2.81	247550.76	2356552.90
	1102	3.75	66.00	114.00	92.84	5.47	1101.41	2947.59	-2.61	4.81	-14.72	21.82	-1.28	-3.67	247549.28	2356555.82
	1195	3.50	62.00	118.00	92.81	5.88	1194.23	2854.77	-2.58	5.28	-17.29	27.11	-1.62	-5.29	247546.71	2356561.11
	1288	3.75	59.00	121.00	92.81	5.88	1287.04	2761.96	-2.90	5.12	-20.19	32.23	-1.27	-6.56	247543.81	2356566.23
	1381	4.25	56.00	124.00	92.77	6.49	1379.82	2669.18	-3.49	5.47	-23.67	37.70	-1.07	-7.63	247540.33	2356571.70
 	1473	4.00	60.00	120.00	91.76	6.62	1471.58	2577.42	-3.51	5.61	-27.18	43.31	-1.15	-8.78	247536.82	2356577.31
	1500	4.00	58.84	121.16	26.93	1.88	1498.51	2550.49	-0.96	1.62	-28.14	44.93	-0.37	-9.15	247535.86	2356578.93
 	1566	4.00	56.00	124.00	65.84	4.60	1564.35	2484.65	-2.48	3.88	-30.62	48.81	-0.75	-9.91	247533.38	2356582.81
 	1659	4.00	55.00	125.00	92.77	6.49	1657.12	2391.88	-3.67	5.35	-34.29	54.16	-0.85	-10.75	247529.71	2356588.16
