Name,Northing,Easting,Elevation,Temp
1,247844,2352084,4140,
2,247843,2352085,4000,
3,247835,2352092,3640,
4,247834,2352093,3615,
5,247829,2352098,3492,
6,247827,2352101,3427,
7,247826,2352102,3397,
8,247826,2352104,3366,
9,247826,2352105,3334,
10,247825,2352107,3304,
11,247826,2352108,3274,
12,247826,2352109,3243,
13,247827,2352110,3211,
14,247828,2352112,3180,
15,247829,2352113,3149,
16,247829,2352113,3141,
17,247830,2352114,3118,
18,247832,2352116,3087,
19,247834,2352118,3056,
20,247836,2352120,3025,
21,247838,2352122,3000,192
22,247839,2352122,2994,
23,247842,2352125,2964,
24,247846,2352129,2917,
25,247849,2352132,2886,
26,247852,2352135,2856,
27,247861,2352143,2784,
28,247870,2352149,2723,
29,247880,2352158,2657,
30,247881,2352159,2646,
31,247895,2352170,2558,
32,247908,2352180,2474,
33,247923,2352193,2376,
34,247938,2352205,2282,
35,247958,2352222,2162,
36,247959,2352223,2156,
37,247978,2352240,2040,
38,247985,2352245,2000,318
39,247990,2352249,1972,
40,248010,2352267,1848,
41,248031,2352285,1725,
42,248040,2352294,1668,
43,248050,2352304,1604,
44,248071,2352324,1483,
45,248093,2352345,1353,
46,248114,2352364,1232,
47,248123,2352372,1181,
48,248135,2352381,1121,
49,248150,2352394,1035,
50,248157,2352399,1000,457
51,248174,2352414,906,
52,248195,2352431,798,
53,248214,2352445,710,
54,248217,2352447,696,
55,248240,2352465,592,
56,248265,2352487,471,
57,248293,2352509,349,
58,248324,2352533,215,
59,248347,2352551,114,
60,248373,2352572,0,570
61,248374,2352573,-6,
62,248398,2352591,-111,
63,248423,2352609,-216,
64,248434,2352618,-265,
65,248453,2352633,-349,
66,248476,2352652,-456,
67,248505,2352674,-587,
68,248529,2352692,-693,
69,248542,2352701,-746,
70,248559,2352713,-819,
71,248585,2352733,-937,
72,248598,2352743,-992,
73,248600,2352745,-1000,590
74,248612,2352754,-1054,
75,248646,2352781,-1202,
76,248652,2352785,-1227,
77,248674,2352800,-1320,
78,248703,2352819,-1437,
79,248731,2352837,-1549,
80,248761,2352856,-1670,
81,248770,2352862,-1706,
82,248784,2352870,-1759,
83,248789,2352873,-1778,
84,248790,2352874,-1783,
85,248815,2352888,-1879,
86,248843,2352903,-1983,
87,248848,2352906,-2000,620
88,248880,2352923,-2115,
89,248899,2352933,-2184,
90,248920,2352945,-2259,
91,248947,2352959,-2352,
92,248982,2352976,-2471,
93,249033,2352999,-2639,
94,249039,2353001,-2659,
95,249115,2353032,-2916,
96,249139,2353042,-2998
97,249140,2353043,-3000
98,249179,2353059,-3136
99,249194,2353064,-3184
100,249267,2353083,-3424
