      WELL DATA SUMMARY                                                                                      
            
Well  BLM 34A-20    
                         
Sec Az  125 S 55 E  
Elev   4034 KB      
CoordsNorth  247499 East              2357243 
                         Course               
  MD  Drift Drift D. AzimLength  DH     TVD     SSD    DNS   DEW   N-S   E-W  DSec    Sec     N-LAM E-LAM    
_____________________________________________________________________________________________________________
                                                                                                             
    0  0.00      62  242     0     0        0   4034     0     0     0     0     0        0  247499  2357243 
   34  0.11      62  242    34     0       34   4000     0     0     0     0     0        0  247499  2357243 
  150  0.50      62  242   150     1      150   3884     0    -1     0    -1     0        0  247499  2357242 
  320  1.25      62  242   170     3      320   3714    -1    -2    -2    -3    -1       -1  247497  2357240 
  470  1.75      62  242   150     4      470   3564    -2    -3    -3    -6    -2       -3  247496  2357237 
  500  1.80      62  242    30     1      500   3534     0    -1    -4    -7     0       -4  247495  2357236 
  615  2.00      62  242   115     4      615   3419    -2    -3    -6   -11    -2       -5  247493  2357232 
  729  2.25      83  263   114     4      729   3305    -1    -4    -7   -15    -3       -8  247492  2357228 
  829  2.25      84  264   100     4      829   3205     0    -4    -7   -18    -3      -11  247492  2357225 
  947  2.50      89  269   118     5      947   3087     0    -5    -8   -23    -4      -15  247491  2357220 
 1000  2.40      89  269    53     2     1000   3034     0    -2    -8   -26    -2      -17  247491  2357217 
 1034  2.33      88  268    34     1     1034   3000     0    -1    -8   -27    -1      -18  247491  2357216 
 1076  2.25      88  268    76     3     1075   2959     0    -3    -8   -29    -2      -19  247491  2357214 
 1190  2.50      75  255   114     5     1189   2845    -1    -5    -8   -33    -3      -22  247491  2357210 
 1287  2.25      79  259    97     4     1286   2748    -1    -4    -9   -37    -3      -25  247490  2357206 
 1408  2.50      85  265   121     5     1407   2627    -1    -5   -10   -42    -4      -29  247489  2357201 
 1500  2.32      77  257    92     4     1499   2535    -1    -4   -11   -46    -3      -32  247488  2357197 
 1536  2.25      74  254    36     1     1535   2499     0    -1   -11   -47    -1      -33  247488  2357196 
 1642  2.50      89  269   106     4     1641   2393    -1    -4   -12   -52    -3      -36  247487  2357191 
 1727  2.75      78  258    85     4     1726   2308     0    -4   -12   -56    -3      -39  247487  2357187 
 1800  2.75      72  252    73     4     1799   2235    -1    -3   -13   -59    -2      -41  247486  2357184 
 1869  2.75      86  274    69     3     1868   2166     0    -3   -13   -62    -2      -43  247486  2357181 
 1900  2.75      78  282    31     1     1899   2135     0    -1   -13   -64    -1      -45  247486  2357179 
 1931  3.00      69  291    31     2     1930   2104     0    -1   -13   -65    -1      -46  247486  2357178 
 1993  2.50      67  293    62     3     1992   2042     1    -3   -12   -68    -3      -49  247487  2357175 
 2000  2.39      64  296     7     0     1999   2035     0     0   -12   -68     0      -49  247487  2357175 
 2025  2.00      54  306    25     1     2024   2010     0    -1   -11   -69    -1      -50  247488  2357174 
 2035  1.86      52  308    10     0     2034   2000     0     0   -11   -69     0      -51  247488  2357174 
 2060  1.50      46  314    35     1     2059   1975     1    -1   -10   -70    -1      -51  247489  2357173 
 2090  0.50      40  320    30     1     2089   1945     0     0   -10   -70    -1      -52  247489  2357173 
 2120  0.50      90   90    30     0     2119   1915     0     0   -10   -70     0      -52  247489  2357173 
