Name,Northing,Easting,Elevation,Temp
1,246592,2357404,4048,0
2,246595,2357400,3473,0
3,246596,2357398,3360,0
4,246597,2357395,3268,0
5,246600,2357392,3176,0
6,246601,2357390,3114,0
7,246604,2357385,3009,0
8,246606,2357382,2926,0
9,246607,2357378,2833,0
10,246610,2357371,2681,0
11,246614,2357362,2506,0
12,246616,2357358,2432,0
13,246618,2357351,2332,0
14,246620,2357346,2244,0
15,246622,2357337,2113,0
16,246623,2357332,2043,0
17,246624,2357329,2000,0
18,246625,2357326,1954,0
19,246626,2357319,1863,0
20,246627,2357313,1772,0
21,246628,2357306,1661,0
22,246630,2357301,1580,0
23,246630,2357298,1543,0
24,246631,2357295,1512,0
25,246633,2357293,1481,0
26,246635,2357290,1450,0
27,246638,2357288,1419,0
28,246640,2357287,1388,0
29,246643,2357285,1357,0
30,246647,2357284,1295,0
31,246650,2357283,1263,0
32,246652,2357283,1233,0
33,246655,2357284,1201,0
34,246657,2357284,1170,0
35,246660,2357286,1139,0
36,246662,2357287,1108,0
37,246665,2357289,1077,0
38,246668,2357292,1046,0
39,246671,2357295,1015,0
40,246673,2357296,1000,0
41,246675,2357298,983,0
42,246681,2357305,924,0
43,246693,2357317,831,0
44,246707,2357331,738,0
45,246722,2357346,647,0
46,246741,2357363,555,0
47,246763,2357382,460,0
48,246774,2357392,412,0
49,246780,2357398,382,0
50,246782,2357400,373,0
51,246787,2357404,352,0
52,246793,2357411,321,0
53,246807,2357427,254,0
54,246823,2357445,177,0
55,246839,2357465,94,0
56,246856,2357487,0,0
57,246861,2357493,-26,0
58,246877,2357513,-115,0
59,246893,2357533,-204,0
60,246909,2357552,-296,0
61,246942,2357591,-471,0
62,246960,2357612,-557,0
63,246996,2357654,-733,0
64,247031,2357693,-916,0
65,247049,2357712,-1000,466
66,247076,2357739,-1121,0
67,247142,2357801,-1356,0
68,247178,2357835,-1466,0
69,247240,2357894,-1666,0
70,247297,2357949,-1869,0
71,247316,2357968,-1947,0
72,247329,2357980,-2000,462
73,247353,2358003,-2100,0
74,247374,2358023,-2189,0
75,247381,2358030,-2220,0
76,247392,2358041,-2270,0
