Name,Northing,Easting,Elevation,Temp
1,246284,2352618,4180,
2,246283,2352617,3975,
3,246282,2352616,3852,
4,246283,2352614,3729,
5,246283,2352613,3680,
6,246283,2352612,3619,
7,246282,2352611,3517,
8,246281,2352609,3394,
9,246281,2352605,3301,
10,246281,2352601,3180,
11,246281,2352601,3179,
12,246282,2352599,3056,
13,246282,2352597,2931,162
14,246281,2352596,2807,
15,246280,2352597,2680,
16,246280,2352597,2678,
17,246281,2352598,2557,
18,246281,2352600,2420,
19,246280,2352600,2295,
20,246280,2352599,2180,
21,246280,2352599,2170,
22,246280,2352597,2045,
23,246281,2352596,1934,230
24,246283,2352596,1810,
25,246283,2352597,1716,
26,246283,2352597,1684,
27,246282,2352597,1680,
28,246282,2352596,1653,
29,246281,2352596,1622,
30,246280,2352595,1591,
31,246278,2352595,1559,
32,246269,2352591,1434,
33,246263,2352589,1371,
34,246260,2352588,1340,
35,246257,2352587,1310,
36,246254,2352586,1279,
37,246250,2352585,1248,
38,246246,2352584,1217,
39,246242,2352582,1186,
40,246241,2352582,1183,
41,246237,2352580,1155,
42,246221,2352574,1060,
43,246209,2352569,999,280
44,246190,2352562,906,
45,246170,2352555,815,
46,246150,2352547,729,
47,246141,2352543,695,
48,246125,2352537,635,
49,246101,2352526,545,
50,246076,2352515,455,
51,246044,2352501,336,
52,246012,2352486,217,
53,246012,2352486,215,
54,245986,2352475,122,
55,245956,2352464,15,
56,245921,2352450,-110,375
57,245887,2352438,-228,
58,245877,2352434,-264,
59,245854,2352424,-348,
60,245828,2352414,-438,
61,245794,2352401,-558,
62,245761,2352387,-674,
63,245741,2352380,-742,
64,245726,2352373,-796,
65,245692,2352359,-916,
66,245644,2352338,-1086,384
67,245609,2352323,-1207,
68,245606,2352322,-1220,
69,245576,2352309,-1322,
70,245540,2352294,-1446,
71,245506,2352279,-1565,
72,245473,2352264,-1685,
73,245469,2352263,-1697,
74,245444,2352252,-1786,
75,245407,2352233,-1904,
76,245388,2352224,-1957,
77,245353,2352210,-2046,455
78,245327,2352200,-2114,
79,245320,2352198,-2131,
80,245306,2352193,-2164,
81,245275,2352181,-2242,
82,245271,2352179,-2252,
83,245225,2352160,-2367,
84,245181,2352142,-2477,
85,245135,2352122,-2592,
86,245124,2352118,-2619,
87,245135,2352118,-3000,490
