			WELL DATA SUMMARY								

	Well BLM 47A-20RD (Re-Drill)										
	Sec Az 		230	S 50 W							
	Elev 4102 KB										
	Coords North 245645  East 2357550										

	MD	Drift	Drift D.	Azim	TVD	SSD	N-S	E-W	Sec	N-LAM	E-LAM
	0	0.00	44	136		4102	0	0	0	245645	2357550
	102	0.64	44	136	102	4000	0	0	0	245645	2357550
	120	0.75	44	136	120	3982	-1	1	0	245644	2357551
	234	1.00	38	142	234	3868	-2	2	0	245643	2357552
	344	1.00	50	130	344	3758	-3	3	0	245642	2357553
	466	1.75	76	102	466	3636	-5	6	-1	245640	2357556
	500	2.11	82	58	500	3602	-5	7	-2	245640	2357557
	560	2.75	85	51	560	3542	-5	9	-4	245640	2357559
	654	2.75	64	84	654	3448	-5	14	-8	245640	2357564
	748	2.75	85	85	748	3354	-4	18	-11	245641	2357568
	811	2.75	80	80	811	3291	-4	21	-14	245641	2357571
	905	2.50	88	88	504	3198	-4	26	-17	245641	2357576
	598	2.00	77	77	557	3105	-3	29	-20	245642	2357579
	1000	2.00	77	77	955	3103	-3	29	-20	245642	2357579
	1091	2.00	80	80	1050	3012	-3	32	-23	245642	2357582
	1103	2.00	81	81	1102	3000	-3	33	-24	245642	2357583
	1187	2.00	89	89	1186	2916	-2	36	-26	245643	2357586
	1281	1.50	84	84	1280	2822	-2	35	-28	245643	2357589
	1376	0.50	29	29	1375	2727	-1	40	-30	245644	2357590
	1468	0.75	21	21	1467	2635	0	40	-31	245645	2357590
	1500	0.75	15	15	1499	2603	0	41	-31	245645	2357591
	1563	0.75	4	4	1562	2540	1	41	-32	245646	2357591
	1658	1.25	17	17	1657	2445	3	41	-33	245648	2357591
	1751	0.75	5	355	1750	2352	4	41	-34	245649	2357591
	1844	0.75	7	353	1843	2255	5	41	-35	245650	2357591
	1939	1.00	16	344	1938	2164	7	41	-36	245652	2357591
	2000	0.84	17	343	1555	2103	8	40	-36	245653	2357590
	2033	0.75	17	343	2032	2070	8	40	-36	245653	2357590
	2103	1.11	8	352	2102	2000	9	40	-37	245654	2357590
	2125	1.25	4	356	2128	1974	10	40	-37	245655	2357590
	2222	0.50	43	317	2221	1881	11	39	-37	245656	2357589
	2315	0.75	89	269	2314	1788	12	39	-37	245657	2357589
	2425	1.25	56	236	2424	1678	11	37	-35	245656	2357587
	2450	1.00	268	268	2445	1653	11	36	-35	245656	2357586
	2513	0.50	70	70	2512	1590	10	36	-34	245655	2357586
	2673	0.25	296	296	2672	1430	9	36	-34	245654	2357586
	2800	1.50	262	262	2795	1303	5	34	-32	245654	2357584
	2527	1.25	237	237	2926	1176	8	32	-29	245653	2357582
	3053	1.50	231	231	3052	1050	6	29	-26	245651	2357579
	3103	1.87	226	226	3102	1000	5	28	-25	245650	2357578
	3155	2.25	221	221	3154	948	4	27	-23	245649	2357577	
	3313	2.25	232	232	3312	790	0	22	-17	245645	2357572	
	3436	2.50	234	234	3435	667	-3	18	-12	245642	2357568	
	3564	2.00	214	214	3563	539	-7	15	-7	245638	2357565	
	3692	3.25	224	224	3690	412	-11	11	-1	245634	2357561	
	3756	3.25	222	222	3754	348	-14	8	3	245631	2357558	
	3883	3.00	234	234	3881	221	-19	3	9	245626	2357553	
	4006	3.25	234	234	4004	98	-23	-2	16	245622	2357548	
	4104	3.44	227	227	4102	0	-26	-7	22	245619	2357543	
	4133	3.50	225	225	4131	-29	-27	-8	24	245618	2357542	
	4262	3.75	237	237	4260	-156	-33	-14	32	245612	2357536	
	4390	4.00	236	236	4387	-285	-37	-21	40	245608	2357529	
	4517	5.00	236	236	4514	-412	-43	-30	50	245602	2357520	
LCZ	4548	4.78	237	237	4545	-443	-44	-32	53	245601	2357518	
	4623	4.26	239	239	4620	-518	-48	-37	59	245597	2357513	
	4624	4.25	239	239	4621	-519	-48	-37	59	245597	2357513	
	4811	4.25	235	235	4807	-705	-55	-48	73	245590	2357502	
	5021	6.00	232	232	4996	-894	-65	-62	90	245580	2357488	
	5107	5.83	231	231	5102	-1000	-72	-71	100	245573	2357479	
	5160	5.75	230	230	5154	-1052	-75	-75	106	245570	2357475	
	5401	6.00	214	214	5394	-1292	-94	-91	130	245551	2357459	
	5658	4.75	199	199	5650	-1548	-115	-102	152	245530	2357448	
TD	5700	4.75	199	199	5692	-1590	-119	-103	155	245526	2357447	
