Name,Northing,Easting,Elevation,Temp
1,255453,2341297,3840,0
2,255453,2341297,3740,0
3,255453,2341297,3640,0
4,255453,2341297,3540,0
5,255453,2341297,3500,0
6,255453,2341297,3440,0
7,255453,2341297,3340,0
8,255453,2341297,3240,0
9,255453,2341297,3140,0
10,255453,2341297,3040,0
11,255453,2341297,3000,0
12,255453,2341297,2940,0
13,255453,2341297,2840,0
14,255453,2341297,2740,0
15,255453,2341297,2640,0
16,255453,2341297,2540,0
17,255453,2341297,2500,0
18,255453,2341297,2440,0
19,255453,2341297,2340,0
20,255453,2341297,2240,0
21,255453,2341297,2140,0
22,255453,2341297,2040,0
23,255453,2341297,2000,0
24,255453,2341297,1940,0
25,255453,2341297,1840,0
26,255453,2341297,1740,0
27,255453,2341297,1640,0
28,255453,2341297,1540,0
29,255453,2341297,1500,0
30,255453,2341297,1440,0
31,255453,2341297,1340,0
32,255453,2341297,1240,0
33,255453,2341297,1140,0
34,255453,2341297,1040,0
35,255453,2341297,1000,0
36,255453,2341297,940,0
37,255453,2341297,840,0
38,255453,2341297,800,0
39,255453,2341297,775,0
