Point,NORTHING,EASTING,Elev_ft,Elev_m
1,245081,2358929,4076,1242
2,245081,2358929,4000,1219
3,245081,2358928,3576,1090
4,245081,2358928,3476,1059
5,245081,2358925,3076,938
6,245081,2358925,3000,914
7,245081,2358924,2976,907
8,245082,2358920,2576,785
9,245082,2358919,2476,755
10,245082,2358914,2076,633
11,245082,2358913,2000,610
12,245082,2358912,1976,602
13,245082,2358909,1791,546
14,245082,2358907,1697,517
15,245082,2358904,1604,489
16,245082,2358903,1576,480
17,245081,2358900,1481,451
18,245081,2358900,1458,444
19,245081,2358899,1426,435
20,245080,2358897,1396,426
21,245080,2358896,1367,417
22,245080,2358895,1336,407
23,245080,2358894,1305,398
24,245076,2358888,1195,364
25,245073,2358884,1132,345
26,245071,2358880,1082,330
27,245070,2358878,1051,320
28,245070,2358877,1020,311
29,245070,2358876,1000,305
30,245070,2358875,990,302
31,245071,2358874,960,293
32,245071,2358873,928,283
33,245073,2358873,858,262
34,245075,2358873,765,233
35,245076,2358872,715,218
36,245077,2358871,639,195
37,245079,2358870,515,157
38,245081,2358868,391,119
39,245083,2358866,267,81
40,245084,2358864,144,44
41,245085,2358863,20,6
42,245085,2358862,0,0
43,245086,2358861,-105,-32
44,245087,2358858,-231,-70
45,245087,2358856,-355,-108
46,245086,2358853,-478,-146
47,245085,2358850,-640,-195
48,245085,2358849,-697,-212
49,245084,2358848,-728,-222
50,245083,2358846,-759,-231
51,245082,2358844,-790,-241
52,245082,2358844,-802,-244
53,245080,2358842,-822,-251
54,245078,2358841,-853,-260
55,245073,2358835,-927,-283
56,245068,2358829,-989,-301
57,245067,2358828,-1000,-305
58,245063,2358823,-1052,-321
59,245059,2358818,-1103,-336
60,245056,2358813,-1153,-351
61,245055,2358810,-1172,-357
62,245052,2358802,-1234,-376
63,245047,2358785,-1357,-414
64,245042,2358768,-1480,-451
65,245040,2358763,-1516,-462
66,245040,2358760,-1540,-469
67,245036,2358745,-1660,-506
68,245034,2358729,-1783,-543
69,245032,2358718,-1874,-571
70,245030,2358703,-2000,-610
71,245029,2358702,-2007,-612
72,245027,2358688,-2132,-650
73,245026,2358680,-2194,-669
74,245025,2358671,-2254,-687
75,245024,2358670,-2260,-689
76,245023,2358661,-2316,-706
77,245020,2358644,-2408,-734
78,245017,2358624,-2521,-768
79,245012,2358601,-2650,-808
80,245009,2358579,-2773,-845
81,245008,2358568,-2831,-863
82,245008,2358563,-2865,-873
83,245005,2358539,-3000,-914
84,244998,2358474,-3357,-1023
85,244998,2358468,-3386,-1032
