Point,NORTHING,EASTING,Elev_ft,Elev_m
1,245212,2358822,4076,1242
2,245212,2358822,4000,1219
3,245212,2358823,3935,1199
4,245213,2358824,3804,1159
5,245214,2358825,3621,1104
6,245214,2358826,3576,1090
7,245215,2358827,3488,1063
8,245216,2358828,3330,1015
9,245217,2358828,3180,969
10,245218,2358829,3076,938
11,245218,2358829,3058,932
12,245218,2358829,3000,914
13,245218,2358829,2966,904
14,245218,2358830,2806,855
15,245217,2358830,2718,828
16,245215,2358830,2576,785
17,245215,2358830,2562,781
18,245213,2358830,2439,743
19,245211,2358831,2315,706
20,245210,2358831,2219,676
21,245208,2358830,2107,642
22,245207,2358830,2076,633
23,245207,2358830,2046,624
24,245206,2358830,2015,614
25,245206,2358830,2000,610
26,245206,2358830,1985,605
27,245206,2358830,1953,595
28,245208,2358832,1860,567
29,245208,2358833,1828,557
30,245209,2358834,1797,548
31,245210,2358835,1769,539
32,245212,2358837,1738,530
33,245213,2358838,1706,520
34,245215,2358840,1676,511
35,245222,2358846,1588,484
36,245223,2358847,1577,481
37,245231,2358854,1492,455
38,245239,2358860,1427,435
39,245252,2358873,1324,404
40,245261,2358883,1264,385
41,245265,2358888,1234,376
42,245273,2358898,1177,359
43,245282,2358908,1118,341
44,245287,2358914,1086,331
45,245291,2358919,1059,323
46,245301,2358930,1001,305
47,245301,2358930,1000,305
48,245314,2358944,926,282
49,245328,2358959,849,259
50,245349,2358982,729,222
51,245367,2359000,630,192
52,245372,2359005,602,183
53,245381,2359015,548,167
54,245397,2359031,458,140
55,245413,2359048,366,112
56,245429,2359065,276,84
57,245447,2359082,187,57
58,245460,2359096,118,36
59,245465,2359101,97,30
60,245484,2359119,7,2
61,245485,2359120,0,0
62,245503,2359136,-79,-24
63,245512,2359144,-115,-35
64,245531,2359160,-197,-60
65,245547,2359173,-258,-79
66,245573,2359194,-349,-106
67,245576,2359196,-357,-109
68,245600,2359214,-434,-132
69,245618,2359228,-493,-150
70,245643,2359246,-573,-175
71,245651,2359253,-602,-183
72,245659,2359261,-631,-192
73,245712,2359313,-824,-251
74,245721,2359322,-857,-261
75,245735,2359337,-908,-277
76,245737,2359339,-916,-279
77,245761,2359363,-1000,-305
78,245763,2359364,-1004,-306
79,245796,2359397,-1120,-341
80,245830,2359428,-1236,-377
81,245846,2359443,-1288,-393
82,245865,2359460,-1351,-412
83,245900,2359491,-1467,-447
84,245936,2359523,-1583,-482
85,245958,2359543,-1659,-506
86,245967,2359552,-1690,-515
87,245985,2359568,-1751,-534
88,246004,2359586,-1816,-554
89,246036,2359615,-1922,-586
90,246060,2359635,-2000,-610
91,246076,2359648,-2053,-626
92,246119,2359680,-2189,-667
93,246127,2359687,-2216,-675
94,246160,2359710,-2315,-706
95,246199,2359738,-2429,-740
96,246235,2359763,-2536,-773
97,246274,2359790,-2652,-808
98,246282,2359796,-2679,-817
99,246312,2359817,-2767,-843
100,246354,2359845,-2892,-881
101,246390,2359867,-2998,-914
102,246391,2359868,-3000,-914
103,246429,2359891,-3119,-951
104,246437,2359895,-3144,-958
105,246466,2359913,-3242,-988
106,246497,2359932,-3361,-1024
107,246523,2359950,-3481,-1061
108,246532,2359957,-3532,-1077
