Point,Northing,Easting,Elev_ft,Elev_m
1,245173,2358819,4045,1233
2,245173,2358819,4000,1219
3,245172,2358819,3892,1186
4,245167,2358820,3721,1134
5,245161,2358821,3546,1081
6,245160,2358821,3545,1081
7,245158,2358822,3468,1057
8,245156,2358821,3382,1031
9,245151,2358820,3259,993
10,245148,2358819,3138,956
11,245144,2358818,3045,928
12,245143,2358817,3000,914
13,245142,2358817,2979,908
14,245137,2358817,2855,870
15,245133,2358816,2731,832
16,245127,2358816,2607,795
17,245124,2358814,2546,776
18,245121,2358813,2487,758
19,245115,2358809,2357,718
20,245111,2358808,2274,693
21,245104,2358805,2138,652
22,245099,2358803,2047,624
23,245099,2358803,2045,623
24,245097,2358802,2000,610
25,245095,2358801,1952,595
26,245091,2358799,1862,568
27,245089,2358798,1795,547
28,245084,2358795,1669,509
29,245083,2358794,1634,498
30,245082,2358794,1604,489
31,245081,2358792,1547,472
32,245080,2358791,1495,456
33,245073,2358787,1276,389
34,245069,2358784,1179,359
35,245061,2358781,1084,330
36,245051,2358777,1000,305
37,245047,2358776,963,294
38,245042,2358776,867,264
39,245029,2358772,739,225
40,245020,2358769,647,197
41,245006,2358764,519,158
42,244992,2358759,392,119
43,244978,2358752,264,80
44,244968,2358748,176,54
45,244955,2358744,78,24
46,244944,2358742,0,0
47,244938,2358741,-46,-14
48,244923,2358738,-171,-52
49,244907,2358733,-296,-90
50,244890,2358728,-422,-129
51,244873,2358723,-548,-167
52,244856,2358718,-669,-204
53,244832,2358712,-832,-254
54,244808,2358705,-988,-301
55,244806,2358705,-1000,-305
56,244790,2358700,-1111,-339
57,244773,2358694,-1236,-377
58,244751,2358688,-1394,-425
59,244728,2358681,-1551,-473
60,244705,2358674,-1708,-521
61,244687,2358669,-1833,-559
62,244683,2358667,-1865,-568
63,244677,2358666,-1906,-581
64,244665,2358662,-2000,-610
65,244655,2358659,-2073,-632
66,244632,2358653,-2252,-686
67,244608,2358647,-2435,-742
68,244605,2358646,-2458,-749
69,244583,2358640,-2632,-802
70,244542,2358628,-2974,-906
