Point,Northing,Easting,Elev_ft
1,248938,2354363,4172
2,248938,2354362,4000
3,248935,2354354,3672
4,248929,2354338,3348
5,248928,2354336,3323
6,248928,2354335,3309
7,248927,2354332,3245
8,248928,2354327,3182
9,248928,2354324,3150
10,248929,2354322,3120
11,248930,2354319,3089
12,248931,2354316,3058
13,248933,2354311,3000
14,248934,2354309,2967
15,248936,2354306,2935
16,248939,2354304,2906
17,248941,2354302,2875
18,248944,2354300,2844
19,248950,2354296,2794
20,248959,2354291,2726
21,248971,2354287,2634
22,248985,2354281,2541
23,248997,2354275,2450
24,249010,2354269,2359
25,249018,2354264,2298
26,249025,2354258,2240
27,249029,2354256,2208
28,249034,2354254,2178
29,249041,2354251,2123
30,249055,2354249,2030
31,249060,2354248,2000
32,249069,2354246,1937
33,249082,2354242,1845
34,249095,2354239,1753
35,249109,2354236,1660
36,249124,2354233,1557
37,249137,2354230,1475
38,249144,2354229,1432
39,249152,2354227,1383
40,249168,2354223,1293
41,249185,2354218,1203
42,249203,2354212,1111
43,249221,2354206,1016
44,249224,2354204,1000
45,249251,2354194,867
46,249259,2354191,833
47,249270,2354186,782
48,249290,2354176,693
49,249298,2354172,659
50,249311,2354165,605
51,249331,2354155,515
52,249358,2354140,395
53,249377,2354129,305
54,249403,2354115,183
55,249423,2354105,92
56,249442,2354098,1
57,249442,2354098,0
58,249465,2354092,-109
59,249492,2354085,-243
60,249516,2354078,-366
61,249536,2354072,-457
62,249569,2354061,-613
63,249595,2354051,-733
64,249613,2354044,-822
65,249631,2354037,-914
66,249647,2354032,-1000
67,249648,2354032,-1004
68,249665,2354026,-1095
69,249683,2354021,-1189
70,249698,2354017,-1278
71,249714,2354013,-1369
72,249735,2354007,-1491
73,249751,2354003,-1584
74,249767,2353998,-1673
75,249785,2353994,-1766
76,249806,2353988,-1886
77,249822,2353983,-1978
78,249825,2353982,-2000
79,249836,2353978,-2071
80,249850,2353973,-2163
81,249854,2353971,-2194
82,249867,2353966,-2285
83,249879,2353962,-2377
84,249891,2353959,-2486
85,249900,2353958,-2564
86,249910,2353956,-2663
87,249919,2353954,-2752
88,249928,2353953,-2848
89,249937,2353951,-2936
90,249942,2353949,-3000
91,249946,2353947,-3061
92,249949,2353944,-3123
93,249953,2353939,-3216
94,249956,2353933,-3339
95,249958,2353927,-3471
96,249959,2353918,-3595
97,249957,2353908,-3718
98,249953,2353898,-3843
99,249950,2353889,-3966
100,249950,2353886,-4000
101,249947,2353880,-4088
102,249942,2353870,-4217
