Point,Northing,Easting,Elev_ft
1,248938,2354363,4172
2,248938,2354362,4000
3,248935,2354354,3672
4,248929,2354338,3348
5,248928,2354336,3323
6,248928,2354335,3309
7,248927,2354332,3245
8,248928,2354327,3182
9,248928,2354324,3150
10,248929,2354322,3120
11,248930,2354319,3089
12,248931,2354316,3058
13,248933,2354311,3000
14,248934,2354309,2967
15,248936,2354306,2935
16,248939,2354304,2906
17,248941,2354302,2875
18,248944,2354300,2844
19,248950,2354296,2794
20,248959,2354291,2726
21,248971,2354287,2634
22,248985,2354281,2541
23,248997,2354275,2450
24,249010,2354269,2359
25,249018,2354264,2298
26,249025,2354258,2240
27,249029,2354256,2208
28,249034,2354254,2178
29,249041,2354251,2123
30,249055,2354249,2030
31,249060,2354248,2000
32,249069,2354246,1937
33,249082,2354242,1845
34,249095,2354239,1753
35,249109,2354236,1660
36,249124,2354233,1557
37,249137,2354230,1475
38,249144,2354229,1432
39,249152,2354227,1383
40,249168,2354223,1293
41,249185,2354218,1203
42,249203,2354212,1111
43,249221,2354206,1016
44,249224,2354204,1000
45,249251,2354194,867
46,249259,2354191,833
47,249270,2354186,782
48,249290,2354176,693
49,249311,2354165,605
50,249331,2354155,515
51,249358,2354140,395
52,249377,2354129,305
53,249402,2354116,193
54,249418,2354108,126
55,249442,2354097,32
56,249450,2354094,0
57,249471,2354088,-83
58,249483,2354084,-140
59,249496,2354081,-200
60,249517,2354074,-291
61,249529,2354070,-354
62,249545,2354065,-444
63,249555,2354063,-507
64,249570,2354060,-598
65,249577,2354059,-633
