Point,NORTHING,EASTING,Elev_ft,Elev_m
1,248887,2354505,4170,1271
2,248886,2354504,4012,1223
3,248886,2354504,4000,1219
4,248885,2354503,3940,1201
5,248878,2354497,3709,1131
6,248875,2354494,3639,1109
7,248873,2354489,3545,1081
8,248872,2354485,3452,1052
9,248871,2354480,3358,1024
10,248870,2354476,3259,993
11,248870,2354471,3172,967
12,248869,2354466,3076,938
13,248868,2354463,3012,918
14,248868,2354462,3000,914
15,248868,2354460,2954,900
16,248866,2354451,2825,861
17,248866,2354441,2694,821
18,248865,2354437,2643,806
19,248865,2354434,2613,796
20,248865,2354431,2582,787
21,248865,2354429,2552,778
22,248864,2354427,2520,768
23,248864,2354425,2490,759
24,248864,2354423,2459,750
25,248863,2354421,2428,740
26,248863,2354420,2396,730
27,248863,2354419,2366,721
28,248862,2354419,2303,702
29,248860,2354420,2179,664
30,248859,2354420,2056,627
31,248858,2354420,2012,613
32,248858,2354420,2000,610
33,248857,2354420,1932,589
34,248855,2354421,1742,531
35,248853,2354422,1617,493
36,248851,2354423,1493,455
37,248849,2354423,1410,430
38,248848,2354423,1378,420
39,248846,2354422,1347,411
40,248844,2354422,1316,401
41,248842,2354420,1284,391
42,248837,2354416,1215,370
43,248830,2354408,1125,343
44,248823,2354398,1033,315
45,248821,2354396,1012,308
46,248820,2354394,1000,305
47,248800,2354366,755,230
48,248790,2354351,633,193
49,248780,2354335,511,156
50,248769,2354318,390,119
51,248757,2354299,265,81
52,248744,2354281,143,44
53,248731,2354263,22,7
54,248730,2354261,12,4
55,248729,2354260,0,0
56,248717,2354245,-100,-30
57,248697,2354221,-249,-76
58,248681,2354200,-370,-113
59,248663,2354177,-490,-149
60,248655,2354167,-546,-166
61,248641,2354150,-635,-194
62,248626,2354132,-733,-223
63,248615,2354119,-801,-244
64,248608,2354109,-854,-260
65,248590,2354086,-975,-297
66,248588,2354084,-988,-301
67,248586,2354082,-1000,-305
68,248572,2354064,-1095,-334
69,248554,2354044,-1215,-370
70,248534,2354024,-1339,-408
71,248522,2354011,-1415,-431
72,248500,2353986,-1560,-475
73,248490,2353976,-1619,-493
74,248480,2353964,-1684,-513
75,248475,2353959,-1712,-522
76,248470,2353953,-1746,-532
77,248448,2353928,-1881,-573
78,248432,2353913,-1971,-601
79,248429,2353910,-1988,-606
80,248427,2353908,-2000,-610
81,248423,2353905,-2020,-616
82,248399,2353883,-2155,-657
83,248371,2353855,-2306,-703
84,248346,2353824,-2456,-749
85,248322,2353792,-2608,-795
86,248296,2353761,-2760,-841
87,248271,2353732,-2909,-887
88,248257,2353718,-2988,-911
89,248255,2353715,-3000,-914
90,248239,2353698,-3091,-942
91,248218,2353677,-3212,-979
92,248192,2353650,-3371,-1027
93,248140,2353602,-3676,-1120
94,248086,2353559,-3988,-1216
95,248085,2353558,-4000,-1219
96,248064,2353542,-4148,-1264
97,248049,2353529,-4275,-1303
