Point,NORTHING,EASTING,Elev_ft,Elev_m
1,245409,2360723,3889,1185
2,245410,2360724,3680,1122
3,245412,2360725,3528,1075
4,245412,2360726,3435,1047
5,245411,2360727,3389,1033
6,245411,2360728,3307,1008
7,245410,2360730,3190,972
8,245409,2360731,3078,938
9,245408,2360732,3000,914
10,245408,2360732,2981,909
11,245408,2360733,2889,881
12,245408,2360734,2849,868
13,245407,2360735,2731,832
14,245409,2360736,2598,792
15,245410,2360735,2471,753
16,245411,2360734,2389,728
17,245411,2360733,2348,716
18,245411,2360732,2231,680
19,245410,2360731,2121,646
20,245409,2360731,2005,611
21,245409,2360731,2000,610
22,245407,2360732,1889,576
23,245407,2360732,1880,573
24,245406,2360733,1783,543
25,245405,2360735,1649,503
26,245404,2360736,1503,458
27,245403,2360738,1428,435
28,245403,2360739,1396,426
29,245403,2360740,1389,423
30,245403,2360741,1365,416
31,245402,2360743,1333,406
32,245402,2360745,1302,397
33,245401,2360750,1240,378
34,245401,2360752,1210,369
35,245400,2360755,1179,359
36,245400,2360758,1149,350
37,245399,2360763,1093,333
38,245399,2360767,1057,322
39,245399,2360771,1027,313
40,245400,2360774,1000,305
41,245400,2360775,996,304
42,245400,2360779,965,294
43,245400,2360784,934,285
44,245401,2360789,902,275
45,245401,2360790,892,272
46,245401,2360794,871,265
47,245402,2360800,841,256
48,245403,2360806,810,247
49,245403,2360812,779,237
50,245404,2360819,748,228
51,245405,2360830,695,212
52,245407,2360853,606,185
53,245409,2360881,514,157
54,245411,2360910,428,130
55,245412,2360917,409,125
56,245414,2360943,342,104
57,245418,2360979,252,77
58,245424,2361016,167,51
59,245429,2361043,107,33
60,245435,2361081,22,7
61,245437,2361091,0,0
62,245441,2361113,-50,-15
63,245442,2361118,-63,-19
64,245446,2361140,-113,-34
65,245448,2361152,-142,-43
66,245450,2361165,-172,-52
67,245455,2361215,-286,-87
68,245454,2361273,-409,-125
69,245452,2361311,-495,-151
70,245451,2361316,-506,-154
71,245449,2361343,-568,-173
72,245447,2361375,-639,-195
73,245445,2361406,-705,-215
74,245443,2361448,-790,-241
75,245442,2361476,-848,-258
76,245440,2361521,-937,-286
77,245440,2361531,-957,-292
78,245439,2361552,-1000,-305
79,245433,2361641,-1190,-363
80,245432,2361679,-1274,-388
81,245431,2361723,-1370,-418
82,245430,2361742,-1410,-430
83,245428,2361776,-1483,-452
84,245426,2361830,-1600,-488
85,245426,2361839,-1620,-494
86,245424,2361888,-1722,-525
87,245422,2361937,-1828,-557
88,245421,2361953,-1863,-568
89,245420,2361988,-1940,-591
90,245419,2362014,-2000,-610
91,245419,2362045,-2072,-632
92,245419,2362075,-2143,-653
93,245420,2362109,-2225,-678
94,245421,2362147,-2310,-704
95,245421,2362152,-2322,-708
96,245422,2362187,-2394,-730
97,245424,2362243,-2498,-761
98,245425,2362278,-2561,-781
99,245428,2362334,-2661,-811
100,245430,2362354,-2699,-823
101,245432,2362390,-2762,-842
102,245433,2362404,-2786,-849
103,245437,2362450,-2867,-874
104,245441,2362497,-2949,-899
105,245443,2362527,-3000,-914
106,245445,2362545,-3030,-924
107,245449,2362594,-3113,-949
108,245455,2362640,-3194,-974
109,245455,2362641,-3195,-974
110,245462,2362687,-3277,-999
111,245469,2362732,-3361,-1024
112,245477,2362776,-3443,-1049
113,245486,2362819,-3528,-1075
114,245496,2362872,-3635,-1108
115,245498,2362878,-3649,-1112
116,245504,2362910,-3719,-1134
117,245507,2362935,-3775,-1151
