Point,NORTHING,EASTING,Elev_ft,Elev_m
1,256652,2355430,4389,1338
2,256652,2355430,4245,1294
3,256651,2355430,4098,1249
4,256650,2355429,4000,1219
5,256650,2355429,3946,1203
6,256649,2355429,3889,1185
7,256648,2355429,3859,1176
8,256647,2355428,3775,1151
9,256646,2355428,3745,1141
10,256645,2355428,3715,1132
11,256644,2355429,3683,1123
12,256642,2355429,3652,1113
13,256641,2355430,3622,1104
14,256640,2355432,3589,1094
15,256639,2355433,3557,1084
16,256637,2355435,3525,1074
17,256635,2355436,3494,1065
18,256632,2355439,3455,1053
19,256631,2355440,3440,1049
20,256628,2355442,3412,1040
21,256626,2355443,3390,1033
22,256608,2355445,3227,984
23,256605,2355445,3197,974
24,256602,2355444,3166,965
25,256599,2355443,3137,956
26,256596,2355441,3105,946
27,256593,2355440,3074,937
28,256591,2355437,3043,928
29,256588,2355435,3012,918
30,256587,2355434,3000,914
31,256577,2355425,2903,885
32,256576,2355424,2893,882
33,256571,2355420,2845,867
34,256571,2355420,2842,866
35,256560,2355412,2750,838
36,256557,2355410,2719,829
37,256548,2355404,2646,807
38,256540,2355399,2584,788
39,256536,2355396,2554,778
40,256525,2355392,2490,759
41,256508,2355385,2400,732
42,256507,2355385,2395,730
43,256491,2355379,2309,704
44,256485,2355376,2278,694
45,256476,2355371,2215,675
46,256471,2355367,2182,665
47,256467,2355365,2155,657
48,256463,2355362,2124,647
49,256459,2355359,2094,638
50,256452,2355352,2035,620
51,256451,2355351,2029,618
52,256449,2355347,2000,610
53,256445,2355342,1962,598
54,256443,2355339,1941,592
55,256440,2355334,1908,582
56,256434,2355324,1844,562
57,256430,2355318,1809,551
58,256429,2355317,1797,548
59,256425,2355311,1763,537
60,256424,2355311,1760,536
61,256424,2355310,1753,534
62,256423,2355308,1745,532
63,256419,2355303,1711,522
64,256417,2355301,1698,518
65,256416,2355300,1692,516
66,256416,2355299,1689,515
67,256414,2355297,1675,511
68,256414,2355296,1671,509
69,256413,2355295,1667,508
70,256410,2355291,1642,500
71,256407,2355287,1616,493
72,256405,2355283,1597,487
73,256402,2355279,1574,480
74,256400,2355278,1564,477
75,256398,2355275,1548,472
76,256395,2355271,1527,465
