Point,Northing,Easting,Elev_ft,Elev_m,Temp,Type
1,257933,2356206,4294,1308.8,0,Production
2,257932,2356208,4000,1219.2,0,Production
3,257932,2356209,3933,1198.8,0,Production
4,257931,2356210,3857,1175.6,0,Production
5,257929,2356210,3649,1112.2,0,Production
6,257928,2356207,3587,1093.3,0,Production
7,257928,2356205,3556,1083.9,0,Production
8,257927,2356202,3524,1074.1,0,Production
9,257927,2356198,3495,1065.3,0,Production
10,257927,2356194,3461,1054.9,0,Production
11,257927,2356191,3430,1045.5,0,Production
12,257926,2356186,3399,1036.0,0,Production
13,257926,2356182,3370,1027.2,0,Production
14,257926,2356177,3339,1017.7,0,Production
15,257925,2356172,3308,1008.3,0,Production
16,257925,2356170,3297,1004.9,0,Production
17,257925,2356166,3277,998.8,0,Production
18,257925,2356160,3246,989.4,0,Production
19,257925,2356154,3214,979.6,0,Production
20,257924,2356147,3184,970.5,0,Production
21,257924,2356141,3154,961.3,0,Production
22,257923,2356134,3123,951.9,0,Production
23,257922,2356127,3092,942.4,0,Production
24,257922,2356120,3061,933.0,0,Production
25,257921,2356112,3032,924.2,0,Production
26,257920,2356105,3003,915.3,0,Production
27,257920,2356104,3000,914.4,0,Production
28,257920,2356097,2972,905.9,0,Production
29,257919,2356088,2941,896.4,0,Production
30,257915,2356050,2812,857.1,0,Production
31,257915,2356049,2809,856.2,0,Production
32,257912,2356020,2727,831.2,0,Production
33,257912,2356019,2725,830.6,0,Production
34,257910,2355997,2667,812.9,0,Production
35,257896,2355851,2365,720.9,0,Production
36,257896,2355846,2356,718.1,0,Production
37,257894,2355818,2308,703.5,0,Production
38,257890,2355771,2227,678.8,0,Production
39,257889,2355754,2197,669.6,0,Production
40,257885,2355706,2114,644.3,0,Production
41,257881,2355667,2048,624.2,0,Production
42,257879,2355639,2000,609.6,468,Production
43,257875,2355594,1925,586.7,0,Production
44,257872,2355563,1874,571.2,0,Production
45,257868,2355521,1804,549.9,0,Production
46,257867,2355506,1779,542.2,0,Production
