Point,Northing,Easting,Elevation
1,257965,2356199,4294
2,257963,2356198,4137
3,257959,2356196,4000
4,257958,2356196,3984
5,257953,2356194,3844
6,257953,2356193,3816
7,257953,2356192,3794
8,257952,2356191,3745
9,257951,2356191,3714
10,257950,2356190,3683
11,257950,2356188,3619
12,257951,2356187,3588
13,257951,2356185,3557
14,257953,2356181,3500
15,257955,2356178,3466
16,257957,2356176,3436
17,257960,2356173,3404
18,257962,2356169,3373
19,257965,2356166,3343
20,257968,2356162,3313
21,257970,2356159,3297
22,257972,2356157,3282
23,257976,2356152,3251
24,257981,2356147,3220
25,257986,2356141,3190
26,258000,2356127,3118
27,258014,2356115,3060
28,258028,2356103,3000
29,258041,2356091,2940
30,258062,2356073,2851
31,258071,2356065,2816
32,258077,2356060,2793
33,258093,2356046,2733
34,258121,2356020,2631
35,258153,2355991,2517
36,258193,2355954,2373
37,258200,2355947,2348
38,258231,2355917,2230
39,258253,2355894,2142
40,258275,2355872,2059
41,258291,2355857,2001
42,258291,2355857,2000
43,258307,2355842,1944
44,258324,2355827,1887
45,258327,2355825,1880
46,258349,2355805,1805
47,258374,2355783,1722
48,258391,2355767,1660
49,258416,2355745,1572
50,258431,2355731,1515
51,258445,2355718,1458
52,258457,2355706,1412
53,258468,2355696,1370
54,258507,2355660,1225
55,258546,2355623,1083
56,258570,2355602,1000
57,258586,2355587,944
58,258587,2355586,941
59,258631,2355546,798
60,258659,2355519,714
61,258688,2355493,631
62,258716,2355468,553
63,258719,2355465,546
64,258739,2355447,489
65,258747,2355440,470
66,258787,2355404,360
67,258800,2355393,325
68,258829,2355364,244
69,258860,2355334,163
70,258891,2355303,82
71,258905,2355288,45
72,258923,2355269,1
73,258923,2355269,0
74,258955,2355235,-79
75,258987,2355200,-156
76,259021,2355163,-236
77,259054,2355128,-315
78,259076,2355106,-364
79,259310,2354920,-726
80,259426,2354847,-864
81,259450,2354833,-894
