      WELL DATA SUMMARY                                                                                   
            
Well  NAVY I 31-8   
                         
Sec Az  296         
Elev   4078 KB      
CoordsNorth  259589 East              2356040 
                         Course               
  MD  Drift Drift D. AzimLength  DH     TVD     SSD    DNS   DEW   N-S   E-W  DSec   Sec   N-LAM   E-LAM  
__________________________________________________________________________________________________________
                                                                                                          
    0  0.00      36   36                        4078     0     0     0     0     0     0  259589  2356040 
   78  0.31      36   36    78     0       78   4000     0     0     0     0     0     0  259589  2356040 
  249  1.00      36   36   249     2      249   3829     2     1     2     1     0     0  259591  2356041 
  351  1.00      36   36   102     2      351   3727     1     1     3     2     0    -1  259592  2356042 
  500  1.24      36   36   149     3      500   3578     2     2     6     4    -1    -1  259595  2356044 
  506  1.25      36   36     6     0      506   3572     0     0     6     4     0    -1  259595  2356044 
  895  2.25      36   36   389    12      895   3183    10     7    15    11    -2    -3  259604  2356051 
 1000  2.59      36   36   105     4     1000   3078     4     3    19    14    -1    -4  259608  2356054 
 1078  2.85      36   36    78     4     1078   3000     3     2    22    16    -1    -5  259611  2356056 
 1124  3.00      36   36   124     6     1124   2954     5     4    24    17    -1    -5  259613  2356057 
 1365  5.50      36   36   240    18     1364   2714    14    10    38    28    -3    -8  259627  2356068 
 1500  7.03      36   36   134    15     1498   2580    12     9    50    36    -3   -11  259639  2356076 
 1585  8.00      36   36    84    11     1582   2496     9     7    59    43    -2   -13  259648  2356083 
 1730 11.20      36   36   143    24     1725   2353    20    14    79    57    -4   -17  259668  2356097 
 1800 13.40      52  308    68   -15     1794   2284    15    -2    93    55     8    -9  259682  2356095 
 1860 14.50      64  296    58    14     1852   2226     8   -12   101    43    14     6  259690  2356083 
 1898 15.20      72  288    37    10     1889   2189     4    -9   105    34    10    16  259694  2356074 
 1980 15.50      63  297    79    22     1968   2110     8   -20   113    14    22    37  259702  2356054 
 2000 15.43      70  290    19     5     1987   2091     2    -5   115     9     5    43  259704  2356049 
 2010 15.40      73  287    10     3     1997   2081     1    -3   116     6     3    45  259705  2356046 
 2094 15.31      81  279    81    22     2078   2000     5   -22   121   -15    22    67  259710  2356025 
 2108 15.30      82  278    95    26     2091   1987     6   -25   122   -19    25    70  259711  2356021 
 2142 15.50      85  275    33     9     2124   1954     1    -9   123   -28     9    79  259712  2356012 
 2142 15.50      85  275     0     0     2124   1954     0     0   123   -28     0    79  259712  2356012 
 2196 15.40      77  283    52    14     2176   1902     2   -14   125   -42    14    93  259714  2355998 
 2248 15.00      89  271    50    14     2226   1852     2   -14   127   -56    13   106  259716  2355984 
 2300 14.90      89  271    50    13     2276   1802     0   -13   127   -69    12   118  259716  2355971 
 2366 14.80      84  276    64    17     2340   1738     1   -17   128   -86    16   133  259717  2355954 
 2400 14.50      82  278    33     9     2373   1705     1    -9   129   -95     8   141  259718  2355945 
 2429 14.03      75  285    28     7     2401   1677     1    -7   130  -102     7   148  259719  2355938 
 2462 13.50      66  294    32     8     2433   1645     3    -7   133  -109     8   156  259722  2355931 
 2500 13.19      65  295    37     9     2470   1608     4    -8   137  -117     9   165  259726  2355923 
 2524 13.00      65  295    23     5     2494   1584     2    -5   139  -122     5   170  259728  2355918 
