      WELL DATA SUMMARY                                                                                      
            
Well  NAVY I 34-9RD 
                         
Sec Az  100         
Elev   3955 KB      
CoordsNorth  257861 East              2362018 
                         Course               
  MD  Drift Drift D. AzimLength  DH     TVD     SSD    DNS   DEW   N-S   E-W  DSec    Sec     N-LAM    E-LAM 
_____________________________________________________________________________________________________________
                                                                                                             
    0  0.00      64  296     0     0        0   3955     0     0     0     0     0        0  257861  2362018 
  174  0.25      64  296   174     0      174   3781     0     0     0     0     0        0  257861  2362018 
  311  0.25      64  296   137     1      311   3644     0    -1     0    -1    -1       -1  257861  2362017 
  433  0.75      64  296   122     1      433   3522     0    -1     1    -2    -1       -2  257862  2362016 
  500  0.99      64  296    67     1      500   3455     0    -1     1    -3    -1       -3  257862  2362015 
  570  1.25      64  296    70     1      570   3385     1    -1     2    -4    -1       -4  257863  2362014 
  725  1.25      72  288   155     3      725   3230     1    -3     3    -7    -3       -8  257864  2362011 
  882  0.75      36  324   157     3      882   3073     2    -2     5    -9    -2      -10  257866  2362009 
  955  0.47      38  322    73     1      955   3000     1     0     5   -10    -1      -11  257866  2362008 
 1000  0.30      39  321   118     1     1000   2955     1    -1     6   -10    -1      -11  257867  2362008 
 1039  0.15      40  320    39     0     1039   2916     0     0     6   -10     0      -11  257867  2362008 
 1195  0.50      32  328   156     1     1195   2760     1    -1     7   -11    -1      -12  257868  2362007 
 1289  1.00      89  269    94     1     1289   2666     1    -1     7   -12    -1      -13  257868  2362006 
 1353  0.75      40  220    64     1     1353   2602     0    -1     7   -13    -1      -14  257868  2362005 
 1477  0.75      59  239   124     2     1477   2478    -1    -1     6   -14    -1      -15  257867  2362004 
 1500  0.93      60  153    23     0     1500   2455     0     0     5   -14     0      -15  257866  2362004 
 1509  1.00      61  119     9     0     1509   2446     0     0     5   -14     0      -14  257866  2362004 
 1540  2.75      75  105    31     1     1540   2415     0     1     5   -13     1      -13  257866  2362005 
 1571  3.50      77  103    31     2     1571   2384     0     2     4   -11     2      -12  257865  2362007 
 1603  4.25      81   99    32     2     1603   2352     0     2     4    -9     2      -10  257865  2362009 
 1700  6.25      87   93    97     9     1699   2256    -1     9     3     0     9       -1  257864  2362018 
 1763  7.25      86   94    63     7     1762   2193     0     7     3     7     7        7  257864  2362025 
 1825  9.25      89   91    61     9     1823   2132     0     9     2    16     9       15  257863  2362034 
 1919 12.00      89   91    92    17     1916   2039     0    17     2    33    17       33  257863  2362051 
 1959 12.21      87   93    39     8     1955   2000     0     8     2    42     8       41  257863  2362060 
 1967 12.25      87   93    47    10     1963   1992     0    10     2    43    10       42  257863  2362061 
 1999 12.50      83   97    31     7     1994   1961    -1     7     1    50     7       49  257862  2362068 
 2000 12.51      83   97     1     0     1995   1960     0     0     1    50     0       50  257862  2362068 
 2064 13.25      79  101    62    14     2057   1898    -2    14    -1    65    14       64  257860  2362083 
 2157 14.50      75  105    90    22     2147   1808    -5    22    -6    86    22       86  257855  2362104 
 2251 16.25      75  105    91    25     2238   1717    -6    24   -13   110    25      111  257848  2362128 
 2290 16.89      74  106    37    11     2275   1680    -3    11   -16   121    11      122  257845  2362139 
