Name,Northing,Easting,Elevation,Temp
1,257861,2362018,3955,0
2,257861,2362018,3781,0
3,257861,2362017,3644,0
4,257862,2362016,3522,0
5,257862,2362015,3455,0
6,257863,2362014,3385,0
7,257864,2362011,3230,0
8,257866,2362009,3073,0
9,257866,2362008,3000,310
10,257867,2362008,2955,0
11,257867,2362008,2916,0
12,257868,2362007,2760,0
13,257868,2362006,2666,0
14,257868,2362005,2602,0
15,257867,2362004,2478,0
16,257866,2362004,2455,0
17,257866,2362004,2446,0
18,257866,2362005,2415,0
19,257865,2362007,2384,0
20,257865,2362009,2352,0
21,257864,2362018,2256,0
22,257864,2362025,2193,0
23,257863,2362034,2132,0
24,257863,2362051,2039,0
25,257863,2362060,2000,370
26,257863,2362061,1992,0
27,257862,2362068,1961,0
28,257862,2362068,1960,0
29,257860,2362083,1898,0
30,257855,2362104,1808,0
31,257848,2362128,1717,0
32,257845,2362139,1680,0
33,257841,2362154,1630,0
34,257835,2362173,1571,0
35,257828,2362196,1503,0
36,257826,2362204,1481,0
37,257819,2362226,1417,0
38,257808,2362266,1301,0
39,257796,2362306,1185,0
40,257783,2362344,1068,0
41,257777,2362362,1009,0
42,257776,2362365,1000,0
43,257773,2362372,978,0
44,257772,2362374,971,0
45,257769,2362382,945,0
46,257766,2362390,918,0
47,257763,2362399,887,0
48,257761,2362409,857,0
49,257756,2362431,789,0
50,257752,2362451,730,0
51,257745,2362483,641,0
52,257739,2362514,565,0
53,257736,2362526,539,0
54,257733,2362540,507,0
55,257729,2362566,452,0
56,257727,2362575,430,0
57,257724,2362592,393,0
58,257718,2362629,307,0
59,257712,2362666,220,0
60,257705,2362702,134,0
61,257704,2362707,121,0
62,257703,2362709,116,0
63,257701,2362724,81,0
64,257699,2362737,50,0
65,257695,2362757,0,454
66,257693,2362774,-40,0
67,257686,2362809,-129,0
68,257680,2362842,-212,0
69,257672,2362886,-327,0
70,257668,2362907,-383,0
71,257664,2362930,-445,0
72,257656,2362979,-571,0
73,257648,2363024,-687,0
74,257642,2363058,-772,0
75,257637,2363087,-848,0
76,257637,2363092,-860,0
77,257631,2363129,-957,0
78,257629,2363145,-1000,491
79,257626,2363162,-1044,0
80,257620,2363208,-1159,0
81,257613,2363253,-1276,0
82,257611,2363268,-1314,0
83,257609,2363281,-1346,0
84,257604,2363308,-1416,0
85,257585,2363423,-1714,0
86,257580,2363449,-1779,0
87,257575,2363478,-1853,0
88,257574,2363485,-1872,0
89,257567,2363521,-1965,0
90,257564,2363535,-2000,570
91,257559,2363565,-2077,0
92,257548,2363619,-2216,0
93,257546,2363629,-2244,0
94,257538,2363664,-2337,0
95,257533,2363683,-2387,0
96,257525,2363717,-2483,0
97,257523,2363726,-2508,0
