Point,NORTHING,EASTING,Elev_ft,Elev_m
2,259485,2357761,3989,1216
3,259485,2357762,3864,1178
4,259487,2357761,3720,1134
5,259486,2357760,3525,1074
6,259486,2357759,3489,1063
7,259486,2357759,3409,1039
8,259488,2357758,3317,1011
9,259490,2357755,3191,973
10,259492,2357753,3098,944
11,259493,2357752,3034,925
12,259493,2357751,3000,914
13,259493,2357751,2989,911
14,259494,2357750,2942,897
15,259495,2357749,2844,867
16,259495,2357748,2789,850
17,259496,2357748,2778,847
18,259496,2357748,2766,843
19,259496,2357748,2751,839
20,259495,2357748,2689,820
21,259495,2357748,2605,794
22,259493,2357749,2503,763
23,259493,2357749,2489,759
24,259492,2357749,2431,741
25,259491,2357750,2411,735
26,259479,2357745,2031,619
27,259479,2357744,2011,613
28,259478,2357744,2000,610
29,259478,2357744,1990,607
30,259475,2357745,1904,580
31,259474,2357746,1873,571
32,259474,2357753,1780,543
33,259474,2357758,1719,524
34,259475,2357764,1662,507
35,259477,2357771,1592,485
36,259477,2357775,1561,476
37,259478,2357778,1531,467
38,259478,2357783,1491,454
39,259479,2357786,1466,447
40,259479,2357787,1458,444
41,259478,2357790,1436,438
42,259478,2357794,1405,428
43,259478,2357799,1374,419
44,259477,2357805,1342,409
45,259476,2357822,1257,383
46,259476,2357836,1195,364
47,259476,2357850,1134,346
48,259476,2357864,1084,330
49,259476,2357883,1020,311
50,259476,2357888,1003,306
51,259476,2357888,1000,305
52,259478,2357913,924,282
53,259480,2357940,842,257
54,259480,2357950,813,248
55,259481,2357953,804,245
56,259485,2357995,687,209
57,259489,2358029,597,182
58,259490,2358039,568,173
59,259491,2358050,538,164
60,259491,2358053,532,162
61,259494,2358091,431,131
62,259496,2358117,368,112
63,259499,2358152,289,88
64,259501,2358168,254,77
65,259508,2358211,162,49
66,259514,2358252,74,23
67,259514,2358254,67,20
68,259519,2358286,0,0
69,259519,2358290,-8,-2
70,259525,2358328,-92,-28
71,259530,2358361,-163,-50
72,259533,2358378,-201,-61
73,259539,2358425,-304,-93
74,259544,2358458,-377,-115
75,259544,2358460,-380,-116
76,259547,2358476,-415,-126
77,259553,2358512,-496,-151
78,259559,2358552,-580,-177
79,259563,2358580,-635,-194
80,259571,2358628,-729,-222
81,259577,2358667,-805,-245
82,259579,2358679,-828,-252
83,259584,2358709,-887,-270
84,259593,2358755,-978,-298
85,259595,2358766,-1000,-305
86,259600,2358793,-1054,-321
87,259607,2358834,-1137,-347
88,259613,2358866,-1202,-366
89,259614,2358874,-1220,-372
90,259619,2358901,-1274,-388
91,259619,2358902,-1277,-389
92,259635,2358984,-1455,-443
93,259652,2359083,-1738,-530
94,259663,2359146,-2000,-610
95,259675,2359194,-2225,-678
96,259681,2359216,-2338,-713
97,259684,2359223,-2375,-724
