Name,Northing,Easting,Elevation,Temp,Pressure
1,258211,2352266,4157,0,0
2,258211,2352266,3970,0,0
3,258211,2352266,3922,0,0
4,258211,2352266,3736,0,0
5,258212,2352267,3538,0,0
6,258212,2352267,3357,0,0
7,258212,2352268,3217,0,0
8,258213,2352269,3122,0,0
9,258215,2352270,2970,0,0
10,258215,2352270,2964,0,0
11,258216,2352271,2806,0,0
12,258215,2352272,2648,0,0
13,258215,2352274,2457,0,0
14,258216,2352275,2300,0,0
15,258218,2352276,2156,0,100
16,258218,2352277,2139,0,80
17,258220,2352280,2010,0,0
18,258221,2352282,1970,0,0
19,258222,2352284,1923,0,12
20,258222,2352284,1907,0,15
21,258222,2352285,1883,0,0
22,258225,2352291,1748,0,0
23,258228,2352295,1596,0,0
24,258230,2352300,1416,0,0
25,258230,2352300,1393,0,115
26,258228,2352305,1223,0,20
27,258227,2352307,1152,392,0
28,258222,2352311,1050,110,0
29,258215,2352315,970,0,0
30,258214,2352315,957,124,0
31,258205,2352316,879,0,0
32,258203,2352316,861,123,0
33,258191,2352313,768,156,0
34,258179,2352310,674,106,0
35,258167,2352302,580,136,0
36,258156,2352287,484,0,0
37,258151,2352278,438,0,0
38,258146,2352268,391,108,0
39,258134,2352245,298,108,0
40,258121,2352220,209,110,0
41,258102,2352194,117,110,0
42,258064,2352147,-30,0,0
43,258046,2352125,-95,254,0
44,257991,2352061,-266,248,0
45,257951,2352017,-383,0,50
46,257935,2352001,-428,300,0
47,257932,2351998,-437,0,130
48,257896,2351962,-533,0,30
49,257866,2351932,-611,0,30
50,257839,2351905,-679,0,139
51,257825,2351891,-716,330,0
52,257707,2351760,-1027,0,0
53,257706,2351758,-1030,0,0
54,257628,2351666,-1249,400,0
55,257607,2351642,-1308,0,0
