      WELL DATA SUMMARY                                                                                   
            
Well  NAVY I 47-8   
                         
Sec Az  207 S 30 W  
Elev   4342 KB      
CoordsNorth  256021 East              2357391 
                         Course               
  MD  Drift Drift D. AzimLength  DH     TVD     SSD    DNS   DEW   N-S   E-W  DSec   Sec   N-LAM E-LAM    
__________________________________________________________________________________________________________
                                                                                                          
    0  0.00      84   84                        4342     0     0     0     0     0     0  256021  2357391 
  298  0.25      84   84   298     1      298   4044     0     1     0     1     0     0  256021  2357392 
  342  0.19      84   84    44     0      342   4000     0     0     0     1     0     0  256021  2357392 
  478  0.00      84   84   180     0      478   3864     0     0     0     1     0    -1  256021  2357392 
  500  0.20      84   84    22     0      500   3842     0     0     0     1     0    -1  256021  2357392 
  534  0.50      84   84    34     0      534   3808     0     0     0     1     0    -1  256021  2357392 
  685  0.75      84   84   151     2      685   3657     0     2     0     3    -1    -2  256021  2357394 
  794  0.50      89  269   109     1      794   3548    -1     0    -1     3     1    -1  256020  2357394 
  931  0.50      25  155   137     1      931   3411    -1    -1    -2     2     1     1  256019  2357393 
 1000  0.75      39  218    69     1     1000   3342    -1     0    -3     2     1     1  256018  2357393 
 1001  0.75      39  219     1     0     1001   3341     0     0    -3     2     0     1  256018  2357393 
 1064  1.50      34  214    63     1     1064   3278    -1    -1    -4     2     1     3  256017  2357393 
 1126  2.00      39  219    62     2     1126   3216    -2    -1    -5     0     2     4  256016  2357391 
 1188  3.00      39  219    62     3     1188   3154    -2    -2    -7    -1     3     7  256014  2357390 
 1250  3.75      38  218    62     4     1250   3092    -3    -2   -10    -4     4    11  256011  2357387 
 1250  3.75      38  218     0     0     1250   3092     0     0   -10    -4     0    11  256011  2357387 
 1281  4.00      29  209    31     2     1281   3061    -2    -1   -12    -5     2    13  256009  2357386 
 1342  4.35      24  204    61     4     1342   3000    -4    -2   -16    -7     4    17  256005  2357384 
 1410  4.75      19  199   129    10     1409   2933    -9    -4   -21    -9    10    23  256000  2357382 
 1500  5.28      11  191    90     8     1499   2843    -8    -2   -28   -11     8    30  255993  2357380 
 1538  5.50       7  187    38     4     1537   2805    -4    -1   -32   -11     3    34  255989  2357380 
 1570  5.50      10  190    32     3     1569   2773    -3     0   -35   -12     3    37  255986  2357379 
 1600  5.25       9  189    30     3     1599   2743    -3     0   -38   -12     3    39  255983  2357379 
 1630  5.00      10  190    30     3     1628   2714    -3     0   -40   -13     3    42  255981  2357378 
 1661  5.00      10  190    31     3     1659   2683    -3     0   -43   -13     3    44  255978  2357378 
 1694  5.00      17  197    33     3     1692   2650    -3    -1   -46   -14     3    47  255975  2357377 
 1724  4.50      24  204    30     2     1722   2620    -2    -1   -48   -15     2    50  255973  2357376 
 1756  4.25      27  207    32     2     1754   2588    -2    -1   -50   -16     2    52  255971  2357375 
 1788  5.00      33  213    32     3     1786   2556    -2    -1   -53   -17     3    55  255968  2357374 
 1818  5.75      36  216    30     3     1816   2526    -2    -2   -55   -19     3    57  255966  2357372 
 1849  6.25      37  217    31     3     1847   2495    -3    -2   -58   -21     3    61  255963  2357370 
 1880  7.00      38  218    31     4     1877   2465    -3    -2   -60   -23     4    64  255961  2357368 
