      WELL DATA SUMMARY                                                                                      
            
Well  NAVY I 47A-8RD
                         
Sec Az  252 S 72 W  
Elev   4341 KB      
CoordsNorth  256137 East              2357453 
                         Course               
  MD  Drift Drift D. AzimLength  DH     TVD     SSD    DNS   DEW   N-S   E-W  DSec    Sec     N-LAM E-LAM    
_____________________________________________________________________________________________________________
                                                                                                             
    0  0.00       0    0                        4341     0     0     0     0     0        0  256137  2357453 
  144  0.00       0    0   144     0      144   4197     0     0     0     0     0        0  256137  2357453 
  341  0.00       0    0   197     0      341   4000     0     0     0     0     0        0  256137  2357453 
  358  0.00       0    0   214     0      358   3983     0     0     0     0     0        0  256137  2357453 
  471  0.00       0  221   113     0      471   3870     0     0     0     0     0        0  256137  2357453 
  500  0.62      11  221    29     0      500   3841     0     0     0     0     0        0  256137  2357453 
  576  2.25      41  221   105     2      576   3765    -2    -1    -2    -1     2        2  256135  2357452 
  664  1.25      42  222    88     3      664   3677    -2    -2    -4    -3     2        4  256133  2357450 
  752  0.50       4  356    88     1      752   3589     0    -1    -3    -4     1        5  256134  2357449 
  860  0.75      59  121   108    -1      860   3481     1     1    -3    -3    -1        4  256134  2357450 
  938  0.50      10  170    78     1      938   3403    -1     0    -3    -3     0        4  256134  2357450 
 1000  0.34      46  103    62     0     1000   3341     0     0    -4    -3     0        4  256133  2357450 
 1034  0.25      66   66    96     1     1034   3307     0     1    -4    -2     0        3  256133  2357451 
 1083  0.50      33  147    49     0     1083   3258     0     0    -4    -2     0        3  256133  2357451 
 1114  0.25      77  283    31     0     1114   3227     0     0    -4    -2     0        3  256133  2357451 
 1145  1.00      18  342    31     0     1145   3196     0     0    -4    -2     0        3  256133  2357451 
 1176  2.00      25  335    31     1     1176   3165     1     0    -3    -3     0        3  256134  2357450 
 1251  3.75      32  328    75     4     1251   3090     3    -2     1    -5     1        4  256138  2357448 
 1312  4.50      40  320    61     4     1312   3029     4    -3     4    -7     1        5  256141  2357446 
 1341  4.80      40  320    29     2     1341   3000     2    -2     6    -9     1        6  256143  2357444 
 1361  5.00      40  320    49     4     1360   2981     3    -3     7   -10     2        7  256144  2357443 
 1377  4.75      40  320    16     1     1376   2965     1    -1     8   -11     1        8  256145  2357442 
 1408  5.00      51  309    31     3     1407   2934     2    -2    10   -12     1        9  256147  2357441 
 1438  5.75      64  296    30     3     1437   2904     2    -2    12   -15     2       11  256149  2357438 
 1498  6.25      84  276    60     6     1497   2844     2    -6    13   -21     5       16  256150  2357432 
 1500  6.29      84  276     2     0     1499   2842     0     0    13   -21     0       16  256150  2357432 
 1558  7.50      86  274    60     7     1556   2785     1    -7    14   -28     7       22  256151  2357425 
 1590  7.75      87  267    32     4     1588   2753     0    -4    14   -32     4       26  256151  2357421 
 1620  7.75      83  263    30     4     1618   2723     0    -4    14   -36     4       30  256151  2357417 
 1650  7.75      83  263    30     4     1648   2693     0    -4    13   -40     4       34  256150  2357413 
 1682  8.50      86  266    32     5     1679   2662     0    -5    13   -45     4       39  256150  2357408 
 1713  8.75      82  262    31     5     1710   2631     0    -5    12   -49     5       43  256149  2357404 
 1744  8.75      78  258    31     5     1741   2600    -1    -5    11   -54     5       48  256148  2357399 
