Name,Northing,Easting,Elevation,Temp
1,259268,2353139,4181,0
2,259268,2353140,4004,0
3,259267,2353141,3888,0
4,259265,2353142,3762,0
5,259265,2353143,3730,0
6,259265,2353144,3623,0
7,259265,2353146,3531,0
8,259264,2353146,3437,0
9,259263,2353146,3343,0
10,259262,2353146,3248,0
11,259261,2353145,3154,0
12,259261,2353144,3060,0
13,259260,2353144,3007,0
14,259259,2353143,2977,0
15,259255,2353142,2904,0
16,259252,2353140,2852,0
17,259249,2353139,2823,0
18,259248,2353138,2798,0
19,259245,2353137,2762,0
20,259242,2353136,2730,0
21,259238,2353135,2699,0
22,259235,2353134,2669,0
23,259231,2353133,2639,0
24,259222,2353131,2583,0
25,259220,2353131,2569,0
26,259209,2353127,2510,0
27,259197,2353123,2449,0
28,259182,2353119,2389,0
29,259167,2353114,2329,0
30,259149,2353109,2270,0
31,259130,2353104,2210,0
32,259109,2353098,2150,0
33,259090,2353093,2100,0
34,259073,2353087,2057,0
35,259063,2353083,2029,0
36,259052,2353078,2000,455
37,259042,2353073,1974,0
38,259031,2353068,1946,0
39,259030,2353068,1943,0
40,258995,2353053,1862,0
41,258957,2353037,1778,0
42,258916,2353021,1697,0
43,258857,2352999,1588,0
44,258798,2352975,1483,0
45,258735,2352951,1377,0
46,258671,2352927,1271,0
47,258639,2352916,1219,0
48,258592,2352899,1138,0
49,258562,2352889,1085,0
50,258532,2352880,1030,0
51,258517,2352875,1000,452
52,258504,2352871,977,0
53,258461,2352856,896,0
54,258416,2352841,816,0
55,258371,2352828,736,0
56,258332,2352816,669,0
57,258282,2352800,580,0
58,258271,2352796,561,0
59,258268,2352795,556,0
60,258235,2352784,499,0
61,258210,2352776,454,0
