      WELL DATA SUMMARY                                                                                      
            
Well  NAVY I 63A-7  
                         
Sec Az  149         
Elev   4191 KB      
CoordsNorth  258269 East              2353888 
                         Course               
  MD  Drift Drift D. AzimLength  DH     TVD     SSD    DNS   DEW   N-S   E-W  DSec    Sec     N-LAM E-LAM    
_____________________________________________________________________________________________________________
                                                                                                             
    0  0.00      15  345                        4191     0     0     0     0     0        0  258269  2353888 
  191  0.33      15  345   191     1      191   4000     1     0     1     0    -1       -1  258270  2353888 
  500  0.86      15  345   500     4      500   3691     4    -1     4    -1    -4       -4  258273  2353887 
  583  1.00      15  345    83     1      583   3608     1     0     5    -1    -1       -5  258274  2353887 
  620  1.50      10   10    37     1      620   3571    -1     0     4    -1     1       -4  258273  2353887 
  682  0.75      22   22    62     1      682   3509     1     0     5    -1    -1       -5  258274  2353887 
  745  0.75       6  174    63     1      745   3446     0     1     5     0     1       -4  258274  2353888 
  775  1.25       6  174    30     1      775   3416    -1     0     5     0     0       -4  258274  2353888 
  837  2.50      35  145    62     2      837   3354    -2     1     3     1     2       -2  258272  2353889 
  900  4.50      43  137    63     4      900   3291    -3     2     0     3     4        2  258269  2353891 
  931  5.75      42  138    31     3      931   3260    -2     2    -2     5     3        4  258267  2353893 
  991  8.00      39  141    60     7      990   3201    -5     5    -8    10     7       12  258261  2353898 
 1000  8.29      39  141     9     1      999   3192    -1     1    -9    10     1       13  258260  2353898 
 1053 10.00      36  144    52     8     1051   3140    -7     5   -15    15     8       21  258254  2353903 
 1084 11.00      37  143    30     6     1082   3109    -5     3   -20    19     6       27  258249  2353907 
 1115 12.50      37  143    30     6     1112   3079    -5     4   -25    23     6       33  258244  2353911 
 1176 14.50      44  136    59    14     1172   3019   -11     9   -36    32    14       47  258233  2353920 
 1196 14.66      44  136    19     5     1191   3000    -4     3   -39    35     5       52  258230  2353923 
 1238 15.00      43  137    60    16     1232   2959   -11    11   -47    43    15       63  258222  2353931 
 1299 15.75      40  140    59    16     1290   2901   -12    11   -59    53    16       78  258210  2353941 
 1322 16.75      39  141    22     6     1312   2879    -5     4   -64    58     6       85  258205  2353946 
 1448 16.50      34  146   121    36     1433   2758   -29    21   -93    79    36      121  258176  2353967 
 1500 16.40      34  146    50    15     1483   2708   -12     8  -106    87    15      135  258163  2353975 
 1572 16.25      34  146    69    20     1552   2639   -17    11  -122    99    20      156  258147  2353987 
 1698 16.50      34  146   121    36     1673   2518   -29    20  -152   118    35      191  258117  2354006 
 1852 16.25      34  146   148    43     1821   2370   -36    24  -188   143    43      234  258081  2354031 
 1966 16.50      35  145   109    32     1930   2261   -26    18  -214   161    32      267  258055  2354049 
 2000 16.44      34  146    33    10     1963   2228    -8     5  -222   166    10      276  258047  2354054 
 2100 16.25      32  148    96    28     2059   2132   -24    15  -246   182    28      304  258023  2354070 
 2101 16.25      32  148     1     0     2060   2131     0     0  -246   182     0      305  258023  2354070 
 2218 16.25      34  146   112    33     2172   2019   -27    18  -273   200    33      337  257996  2354088 
 2238 16.18      34  146    19     6     2191   2000    -5     3  -278   203     6      343  257991  2354091 
 2359 15.75      31  149   136    39     2308   1883   -33    21  -306   221    39      376  257963  2354109 
