Name,Northing,Easting,Elevation,Temp
1,256630,2358800,4200,0
2,256631,2358800,3900,0
3,256632,2358799,3800,0
4,256633,2358799,3700,0
5,256634,2358799,3600,0
6,256635,2358798,3500,0
7,256636,2358798,3445,0
8,256637,2358798,3425,0
9,256636,2358798,3405,0
10,256637,2358798,3385,0
11,256638,2358799,3365,0
12,256639,2358799,3345,0
13,256640,2358800,3325,0
14,256641,2358802,3305,0
15,256642,2358803,3285,0
16,256643,2358805,3265,0
17,256644,2358807,3246,0
18,256644,2358809,3226,0
19,256645,2358810,3221,0
20,256645,2358812,3206,0
21,256645,2358812,3201,0
22,256646,2358814,3186,0
23,256647,2358817,3166,0
24,256648,2358820,3147,0
25,256650,2358824,3122,0
26,256650,2358826,3111,0
27,256651,2358827,3102,0
28,256654,2358835,3053,0
29,256654,2358837,3043,0
30,256657,2358843,3004,0
31,256657,2358844,3000,0
32,256660,2358851,2954,0
33,256662,2358855,2934,0
34,256662,2358856,2929,0
35,256662,2358857,2921,0
36,256663,2358858,2911,0
37,256663,2358859,2905,0
38,256667,2358867,2856,0
39,256670,2358875,2807,0
40,256670,2358876,2805,0
41,256674,2358883,2757,0
42,256676,2358888,2728,0
43,256677,2358891,2708,0
44,256685,2358907,2610,0
45,256693,2358922,2511,0
46,256694,2358924,2500,0
47,256697,2358930,2462,0
48,256699,2358934,2434,0
49,256701,2358937,2413,0
50,256703,2358941,2387,0
51,256705,2358944,2365,0
52,256709,2358952,2314,0
53,256712,2358958,2275,0
54,256716,2358966,2229,0
55,256717,2358968,2216,0
56,256719,2358972,2187,0
57,256719,2358973,2184,0
58,256720,2358974,2174,0
59,256723,2358979,2142,0
60,256717,2358986,2129,0
61,256717,2358985,2128,0
62,256718,2358987,2117,0
63,256719,2358990,2099,0
64,256723,2358996,2059,0
65,256726,2359003,2019,0
66,256726,2359004,2010,0
67,256727,2359006,2000,0
68,256729,2359009,1977,0
69,256733,2359018,1920,0
70,256735,2359022,1896,0
71,256740,2359034,1822,0
72,256741,2359036,1808,0
73,256743,2359039,1788,0
74,256744,2359042,1774,0
75,256744,2359043,1766,0
76,256751,2359048,1723,0
77,256753,2359051,1707,0
78,256759,2359063,1625,0
79,256760,2359064,1622,0
80,256767,2359079,1526,0
81,256775,2359094,1428,0
82,256778,2359099,1396,0
83,256784,2359099,1379,0
84,256787,2359110,1341,0
85,256788,2359112,1330,0
86,256795,2359128,1232,0
87,256798,2359130,1214,0
88,256798,2359131,1209,0
89,256804,2359144,1133,0
90,256803,2359159,1090,0
91,256807,2359168,1036,0
92,256810,2359175,1000,0
93,256812,2359181,968,0
94,256814,2359186,938,0
95,256818,2359188,909,0
96,256824,2359202,839,0
97,256819,2359221,836,0
98,256826,2359238,756,0
99,256827,2359240,745,0
100,256837,2359261,647,0
101,256862,2359276,568,0
102,256864,2359279,551,0
103,256875,2359301,454,0
104,256878,2359308,426,0
105,256884,2359320,378,0
106,256886,2359324,363,0
107,256886,2359326,358,0
108,256889,2359332,335,0
109,256892,2359339,307,0
110,256897,2359351,263,0
111,256900,2359360,230,0
112,256905,2359375,179,0
113,256907,2359378,166,0
114,256909,2359388,123,0
115,256913,2359404,69,0
116,256915,2359409,52,0
117,256919,2359426,0,0
118,256922,2359435,-25,0
119,256923,2359440,-42,0
120,256934,2359472,-116,0
121,256934,2359473,-118,0
122,256938,2359493,-172,0
123,256940,2359508,-211,0
124,256943,2359528,-261,0
125,256944,2359538,-284,0
126,256945,2359546,-304,0
127,256948,2359586,-395,0
128,256949,2359602,-430,0
129,256949,2359619,-466,0
130,256949,2359628,-486,0
131,256952,2359649,-499,0
132,256956,2359670,-555,0
