Point,North,East,Elev_ft
1,262090,2353516,4339
2,262090,2353515,4113
3,262091,2353514,4000
4,262093,2353513,3882
5,262094,2353512,3839
6,262096,2353508,3671
7,262095,2353499,3391
8,262095,2353497,3339
9,262095,2353492,3204
10,262095,2353490,3149
11,262094,2353487,3086
12,262092,2353482,3024
13,262090,2353480,3000
14,262087,2353476,2962
15,262073,2353459,2842
16,262066,2353451,2798
17,262051,2353431,2708
18,262034,2353410,2622
19,262012,2353382,2507
20,261989,2353352,2389
21,261984,2353346,2364
22,261968,2353324,2278
23,261956,2353305,2205
24,261932,2353266,2059
25,261923,2353251,2005
26,261922,2353250,2000
27,261904,2353219,1887
28,261898,2353210,1851
29,261861,2353147,1620
30,261829,2353094,1425
31,261826,2353089,1410
32,261814,2353069,1336
33,261804,2353054,1277
34,261791,2353036,1202
35,261788,2353031,1183
36,261767,2353004,1059
37,261758,2352991,1000
38,261757,2352989,991
39,261748,2352975,930
40,261745,2352971,912
41,261729,2352945,791
42,261713,2352919,671
43,261698,2352892,543
44,261687,2352874,450
45,261687,2352873,444
46,261677,2352857,351
47,261667,2352839,239
48,261656,2352818,95
49,261651,2352805,0
50,261649,2352799,-49
51,261646,2352789,-121
52,261642,2352772,-261
53,261634,2352736,-544
54,261632,2352728,-600
55,261629,2352716,-693
56,261628,2352709,-748
57,261621,2352683,-951
58,261620,2352677,-1000
59,261619,2352674,-1025
60,261619,2352672,-1040
61,261614,2352651,-1216
62,261614,2352651,-1212
63,261611,2352637,-1331
64,261609,2352626,-1418
65,261607,2352616,-1507
66,261607,2352612,-1536
67,261605,2352603,-1611
68,261603,2352592,-1705
69,261600,2352577,-1839
70,261598,2352563,-1965
