      WELL DATA SUMMARY                                                                                      
            
Well  NAVY I 73A-7  
                         
Sec Az   83         
Elev   4189 KB      
CoordsNorth  258575 East              2354423 
                         Course               
  MD  Drift Drift D. AzimLength  DH     TVD     SSD    DNS   DEW   N-S   E-W  DSec    Sec     N-LAM   E-LAM  
_____________________________________________________________________________________________________________
                                                                                                             
    0  0.00      65  245                        4189     0     0     0     0     0        0  258575  2354423 
  189  0.45      65  245   189     1      189   4000     0    -1     0    -1    -1       -1  258575  2354422 
  313  0.75      65  245   313     2      313   3876    -1    -2    -1    -2    -2       -2  258574  2354421 
  466  0.50      65  245   153     2      466   3723    -1    -2    -2    -3    -2       -4  258573  2354420 
  500  0.58      65  245    34     0      500   3689     0     0    -2    -4     0       -4  258573  2354419 
  570  0.75      65  245    70     1      570   3619     0    -1    -2    -4    -1       -5  258573  2354419 
  645  0.50      36  324    75     1      645   3544     0    -1    -2    -5    -1       -5  258573  2354418 
  676  1.00      14   14    31     0      676   3513     0     0    -2    -5     0       -5  258573  2354418 
  707  1.75      37   37    31     1      707   3482     1     0    -2    -5     0       -5  258573  2354418 
  740  2.75      67   67    33     1      740   3449     1     1    -1    -4     1       -4  258574  2354419 
  803  4.00      82   82    63     4      803   3386     1     4     0     0     4        0  258575  2354423 
  865  5.00      78   78    62     5      865   3324     1     5     1     5     5        5  258576  2354428 
  937  5.00      78   78    72     6      936   3253     1     6     2    11     6       11  258577  2354434 
  958  5.00      78   78    21     2      957   3232     0     2     3    13     2       13  258578  2354436 
  988  5.50      79   79    30     3      987   3202     1     3     3    15     3       16  258578  2354438 
 1000  5.70      79   79    12     1      999   3190     0     1     4    16     1       17  258579  2354439 
 1018  6.00      79   79    18     2     1017   3172     0     2     4    18     2       18  258579  2354441 
 1049  6.50      78   78    31     3     1048   3141     1     3     5    21     3       22  258580  2354444 
 1080  7.00      76   76    31     4     1079   3110     1     4     5    25     4       25  258580  2354448 
 1113  7.50      72   72    33     4     1111   3078     1     4     7    29     4       30  258582  2354452 
 1144  7.25      77   77    31     4     1142   3047     1     4     8    33     4       34  258583  2354456 
 1175  7.15      78   78    31     4     1173   3016     1     4     8    37     4       37  258583  2354460 
 1191  7.54      79   79    16     2     1189   3000     0     2     9    39     2       39  258584  2354462 
 1260  9.20      81   81    84    12     1257   2932     2    12    11    49    12       49  258586  2354472 
 1283  9.75      82   82    23     4     1280   2909     1     4    11    52     4       53  258586  2354475 
 1314 11.00      83   83    30     6     1310   2879     1     6    12    58     6       59  258587  2354481 
 1345 12.75      84   84    30     6     1340   2849     1     6    13    64     6       65  258588  2354487 
 1375 14.00      81   81    29     7     1370   2819     1     7    14    71     7       72  258589  2354494 
 1404 15.00      81   81    28     7     1398   2791     1     7    15    78     7       79  258590  2354501 
 1436 16.00      80   80    31     9     1429   2760     1     8    16    87     9       88  258591  2354510 
 1468 16.50      76   76    31     9     1459   2730     2     9    18    95     9       97  258593  2354518 
 1500 16.64      77   77    31     9     1490   2699     2     9    20   104     9      106  258595  2354527 
 1527 16.75      77   77    26     8     1516   2673     2     8    22   112     8      114  258597  2354535 
 1530 16.80      77   77     3     1     1519   2670     0     1    22   113     1      115  258597  2354536 
