Point,NORTHING,EASTING,Elev_ft,Elev_m
1,260424,2354044,4181,1274
2,260423,2354044,3995,1218
3,260424,2354046,3876,1181
4,260425,2354045,3751,1143
5,260425,2354044,3681,1122
6,260427,2354045,3638,1109
7,260428,2354045,3604,1098
8,260428,2354045,3572,1089
9,260429,2354046,3541,1079
10,260429,2354047,3510,1070
11,260429,2354048,3479,1060
12,260429,2354050,3449,1051
13,260428,2354052,3417,1042
14,260428,2354054,3386,1032
15,260427,2354056,3354,1022
16,260426,2354059,3324,1013
17,260425,2354063,3293,1004
18,260424,2354066,3261,994
19,260423,2354072,3225,983
20,260423,2354074,3213,979
21,260422,2354076,3201,976
22,260421,2354079,3183,970
23,260420,2354087,3140,957
24,260419,2354090,3127,953
25,260419,2354093,3112,949
26,260418,2354100,3079,938
27,260418,2354107,3049,929
28,260416,2354120,3000,914
29,260414,2354135,2943,897
30,260410,2354151,2882,878
31,260401,2354184,2765,843
32,260396,2354203,2700,823
33,260394,2354210,2677,816
34,260387,2354236,2588,789
35,260379,2354263,2499,762
36,260371,2354292,2409,734
37,260364,2354319,2322,708
38,260356,2354347,2231,680
39,260356,2354350,2223,678
40,260352,2354363,2182,665
41,260352,2354364,2179,664
42,260348,2354378,2134,650
43,260340,2354404,2055,626
44,260334,2354422,2000,610
45,260331,2354434,1967,600
46,260324,2354451,1916,584
47,260320,2354464,1881,573
48,260309,2354494,1794,547
49,260307,2354502,1771,540
50,260304,2354508,1752,534
51,260294,2354538,1670,509
52,260289,2354551,1634,498
53,260289,2354554,1628,496
54,260284,2354568,1589,484
55,260276,2354591,1531,467
56,260275,2354595,1523,464
57,260264,2354627,1446,441
58,260256,2354655,1380,421
