Point,NORTHING,EASTING,Elev_ft,Elev_m
1,260600,2354229,4181,1274
2,260600,2354229,4049,1234
3,260601,2354230,4000,1219
4,260602,2354229,3933,1199
5,260602,2354227,3844,1172
6,260602,2354226,3756,1145
7,260602,2354224,3672,1119
8,260603,2354223,3571,1088
9,260604,2354221,3421,1043
10,260605,2354219,3285,1001
11,260606,2354219,3254,992
12,260608,2354217,3190,972
13,260614,2354215,3065,934
14,260618,2354213,3007,917
16,260622,2354211,2946,898
17,260627,2354208,2883,879
18,260634,2354202,2790,850
19,260646,2354191,2634,803
20,260658,2354179,2477,755
21,260670,2354166,2324,708
22,260681,2354151,2168,661
23,260685,2354145,2107,642
24,260688,2354143,2078,633
25,260693,2354138,2013,614
26,260704,2354131,1892,577
27,260712,2354127,1799,548
28,260720,2354123,1723,525
