Point,NORTHING,EASTING,Elev_ft,Elev_m
1,260600,2354229,4181,1274
2,260600,2354229,4049,1234
3,260601,2354230,4000,1219
4,260600,2354230,3981,1213
5,260602,2354229,3933,1199
6,260602,2354227,3844,1172
7,260602,2354226,3756,1145
8,260602,2354224,3672,1119
9,260603,2354223,3571,1088
10,260604,2354221,3421,1043
11,260605,2354220,3306,1008
12,260606,2354219,3255,992
13,260607,2354217,3224,983
14,260607,2354217,3213,979
15,260608,2354215,3181,970
16,260608,2354215,3176,968
17,260609,2354214,3163,964
18,260612,2354209,3084,940
19,260617,2354204,3009,917
20,260617,2354203,3000,914
21,260618,2354201,2979,908
22,260618,2354201,2978,908
23,260621,2354197,2928,892
24,260625,2354189,2835,864
26,260634,2354172,2650,808
27,260637,2354166,2591,790
28,260642,2354158,2497,761
29,260647,2354151,2406,733
30,260649,2354146,2360,719
31,260653,2354138,2284,696
32,260658,2354125,2159,658
33,260661,2354117,2083,635
34,260661,2354117,2082,635
35,260663,2354112,2037,621
36,260665,2354108,2000,610
37,260671,2354097,1884,574
38,260674,2354091,1827,557
39,260675,2354089,1811,552
40,260676,2354088,1795,547
41,260676,2354087,1783,543
42,260679,2354083,1744,532
43,260679,2354083,1739,530
44,260682,2354079,1685,514
45,260685,2354076,1650,503
46,260685,2354075,1637,499
47,260688,2354071,1585,483
48,260691,2354067,1537,468
49,260694,2354062,1486,453
50,260696,2354059,1456,444
51,260700,2354054,1395,425
52,260711,2354046,1292,394
53,260711,2354046,1289,393
54,260719,2354040,1224,373
55,260722,2354038,1202,366
56,260723,2354037,1188,362
57,260720,2354030,1131,345
58,260718,2354031,1108,338
59,260717,2354030,1088,332
60,260737,2354028,1078,329
61,260747,2354021,1000,305
62,260748,2354020,990,302
63,260757,2354013,914,279
64,260760,2354011,890,271
65,260766,2354005,833,254
66,260781,2353995,710,216
67,260796,2353984,590,180
68,260813,2353973,464,141
69,260828,2353963,352,107
71,260861,2353944,101,31
72,260874,2353936,5,2
73,260875,2353935,0,0
74,260877,2353934,-22,-7
75,260885,2353929,-81,-25
76,260887,2353928,-94,-29
77,260893,2353925,-144,-44
78,260908,2353916,-265,-81
79,260919,2353908,-357,-109
80,260930,2353898,-450,-137
81,260944,2353886,-575,-175
82,260962,2353870,-730,-223
83,260968,2353863,-786,-240
84,260979,2353852,-885,-270
85,260991,2353839,-1000,-305
86,260992,2353838,-1004,-306
87,261006,2353823,-1131,-345
88,261011,2353817,-1184,-361
89,261014,2353814,-1209,-369
90,261016,2353812,-1225,-373
91,261026,2353801,-1321,-403
92,261028,2353799,-1334,-407
93,261033,2353794,-1377,-420
94,261041,2353786,-1447,-441
95,261045,2353782,-1477,-450
96,261054,2353772,-1560,-475
97,261056,2353771,-1575,-480
98,261062,2353763,-1635,-498
99,261067,2353759,-1678,-511
100,261072,2353753,-1730,-527
101,261076,2353749,-1772,-540
102,261076,2353749,-1774,-541
103,261081,2353743,-1824,-556
104,261097,2353727,-1983,-604
105,261099,2353725,-2000,-610
106,261109,2353715,-2109,-643
107,261114,2353710,-2160,-658
108,261122,2353703,-2236,-682
109,261130,2353695,-2324,-708
110,261141,2353682,-2450,-747
111,261149,2353669,-2562,-781
112,261149,2353668,-2566,-782
113,261151,2353665,-2601,-793
114,261156,2353658,-2665,-812
115,261157,2353657,-2672,-814
116,261165,2353647,-2764,-842
117,261165,2353646,-2773,-845
118,261171,2353640,-2833,-863
119,261186,2353623,-3000,-914
120,261196,2353612,-3111,-948
121,261216,2353590,-3336,-1017
122,261241,2353562,-3640,-1109
123,261259,2353543,-3848,-1173
124,261273,2353529,-4000,-1219
125,261286,2353517,-4126,-1258
126,261312,2353493,-4399,-1341
127,261317,2353489,-4448,-1356
