Point,Northing,Easting,Elev_ft,Temp,Type
1,255802,2354838,4372,0,Production
2,255801,2354838,4270,0,Production
3,255800,2354838,4000,0,Production
4,255799,2354839,3936,0,Production
5,255798,2354839,3861,0,Production
6,255797,2354840,3814,0,Production
7,255796,2354841,3749,0,Production
8,255795,2354842,3718,0,Production
9,255794,2354843,3687,0,Production
10,255793,2354844,3657,0,Production
11,255792,2354846,3625,0,Production
12,255791,2354849,3593,0,Production
13,255790,2354851,3562,0,Production
14,255789,2354854,3532,0,Production
15,255788,2354857,3502,0,Production
16,255786,2354861,3472,0,Production
17,255785,2354865,3441,0,Production
18,255784,2354869,3410,0,Production
19,255784,2354870,3403,0,Production
20,255783,2354874,3379,0,Production
21,255782,2354879,3347,0,Production
22,255781,2354884,3317,0,Production
23,255780,2354890,3285,0,Production
24,255777,2354902,3226,0,Production
25,255774,2354919,3136,0,Production
26,255772,2354927,3091,0,Production
27,255769,2354942,3010,0,Production
28,255768,2354944,3000,0,Production
29,255766,2354956,2933,0,Production
30,255765,2354960,2911,0,Production
31,255765,2354962,2901,0,Production
32,255763,2354974,2840,0,Production
33,255761,2354988,2777,0,Production
34,255758,2355004,2707,0,Production
35,255756,2355017,2646,0,Production
36,255754,2355030,2588,0,Production
37,255751,2355044,2527,0,Production
38,255749,2355057,2467,0,Production
39,255748,2355067,2423,0,Production
40,255745,2355085,2343,0,Production
41,255743,2355101,2274,0,Production
42,255742,2355104,2259,0,Production
43,255742,2355106,2250,0,Production
44,255735,2355161,2000,433,Production
45,255733,2355175,1935,0,Production
46,255731,2355192,1855,0,Production
47,255728,2355228,1684,0,Production
48,255725,2355250,1579,0,Production
49,255722,2355278,1446,0,Production
50,255718,2355316,1266,0,Production
51,255718,2355319,1250,0,Production
52,255714,2355361,1052,0,Production
