      WELL DATA SUMMARY                                                                                        
            
Well  NAVY II 13B-16
                         
Sec Az   50 N 50 E  
Elev   3960 KB      
CoordsNorth  253619 East       2360669  2360669 
                         Course                 
  MD  Drift Drift D. AzimLength   DH      TVD     SSD    DNS   DEW   N-S   E-W  DSec    Sec     N-LAM E-LAM    
_______________________________________________________________________________________________________________
                                                                                                               
    0  0.00      48  132                          3960     0     0     0     0     0        0  253619  2360669 
  120  1.00      48  132   120       1      120   3840    -1     1    -1     1     0        0  253618  2360670 
  320  1.25      10  190   200       4      320   3640    -4     1    -4     2    -1       -1  253615  2360671 
  464  1.00      16  164   144       3      464   3496    -3     0    -7     2    -2       -3  253612  2360671 
  500  1.00      24  156    36       1      500   3460    -1     0    -8     2     0       -3  253611  2360671 
  604  1.00      48  132   140       2      604   3356    -2     1    -9     3     0       -3  253610  2360672 
  723  0.75      72  288   119       2      723   3237    -2    -1   -11     3    -2       -5  253608  2360672 
  876  0.75      71  109   153       2      876   3084    -2    -1   -13     2    -2       -7  253606  2360671 
  960  1.17      62  218    84       1      960   3000    -1     0   -14     2    -1       -7  253605  2360671 
 1000  1.37      58  270   124       2     1000   2960    -2     0   -15     2    -2       -8  253604  2360671 
 1027  1.50      55  305   151      -3     1027   2933     3     1   -10     3     3       -4  253609  2360672 
 1172  1.00      36  324   145       3     1172   2788     2    -2    -8     1     0       -4  253611  2360670 
 1341  2.00      28  332   169       4     1341   2619     4    -2    -4    -1     1       -4  253615  2360668 
 1493  2.00      18  342   152       5     1493   2467     5    -2     1    -3     2       -2  253620  2360666 
 1500  2.00      18  342     7       0     1500   2460     0     0     1    -3     0       -2  253620  2360666 
 1647  2.00      22  338   154       5     1647   2313     5    -2     6    -5     2        0  253625  2360664 
 1797  2.50      39  321   150       6     1796   2164     5    -3    11    -8     1        1  253630  2360661 
 1927  1.97      30  330   130       5     1926   2034     4    -3    15   -11     0        1  253634  2360658 
 1961  1.84      27  333    34       1     1960   2000     1    -1    16   -12     0        1  253635  2360657 
 1982  1.75      26  334   185       7     1981   1979     6    -4    17   -12     1        2  253636  2360657 
 1996  1.86      16  344    14       0     1995   1965     0     0    17   -12     0        2  253636  2360657 
 2000  1.89      14  346    18       1     1999   1961     1     0    17   -12     0        2  253636  2360657 
 2014  2.00       4  356    32       1     2013   1947     1     0    18   -12     0        2  253637  2360657 
 2045  2.50       7    7    31      -1     2044   1916     1     0    19   -12     1        3  253638  2360657 
 2076  2.75      23   23    31       1     2075   1885     1     0    20   -12     1        4  253639  2360657 
 2108  2.75      42   42    32       2     2107   1853     1     1    22   -11     1        5  253641  2360658 
 2139  3.25      48   48    31       2     2138   1822     1     1    23   -10     2        7  253642  2360659 
 2170  4.00      49   49    31       2     2169   1791     1     1    24    -8     2        9  253643  2360661 
 2202  5.00      49   49    32       3     2201   1759     2     2    26    -6     3       12  253645  2360663 
 2216  5.34      50   50    14       1     2215   1745     1     1    26    -5     1       13  253645  2360664 
 2233  5.75      51   51    31       3     2232   1728     2     2    27    -4     3       14  253646  2360665 
 2264  6.50      52   52    31       3     2263   1697     2     3    30    -2     3       18  253649  2360667 
