      WELL DATA SUMMARY                                                                                      
            
Well  NAVY II 15A-17RD   
                         
Sec Az  238 S 58 W  
Elev   4050 KB      
CoordsNorth  252008 East              2355501 
                         Course               
  MD  Drift Drift D. AzimLength  DH     TVD     SSD    DNS   DEW   N-S   E-W  DSec    Sec     N-LAM E-LAM    
_____________________________________________________________________________________________________________
                                                                                                             
    0  0.00      20   20                        4050     0     0     0     0     0        0  252008  2355501 
   50  0.27      20   20    50     0       50   4000     0     0     0     0     0        0  252008  2355501 
  139  0.75      20   20   139     1      139   3911     1     0     1     0    -1       -1  252009  2355501 
  303  2.25      89   89   164     4      303   3747     2     3     3     4    -4       -5  252011  2355505 
  390  1.75      88   88    87     3      390   3660     0     3     3     7    -3       -8  252011  2355508 
  490  1.75      88   88   100     3      490   3560     0     3     4    10    -3      -10  252012  2355511 
  500  1.73      86   86    10     0      500   3550     0     0     4    10     0      -11  252012  2355511 
  600  1.50      70   70   110     3      600   3450     1     3     4    13    -3      -13  252012  2355514 
  725  1.25      68   68   125     3      725   3325     1     3     5    16    -3      -16  252013  2355517 
  851  1.75      86   94   126     3      851   3199     1     3     6    19    -3      -19  252014  2355520 
  975  1.50      81   99   124     4      975   3075     0     3     5    23    -3      -22  252013  2355524 
 1000  1.45      79  101    25     1     1000   3050     0     1     5    23     0      -22  252013  2355524 
 1050  1.35      75  105    50     1     1050   3000     0     1     5    24    -1      -23  252013  2355525 
 1100  1.25      71  109   125     3     1100   2950    -1     3     5    25    -2      -24  252013  2355526 
 1225  0.75      28  152   125     2     1225   2825    -1     2     3    27    -1      -25  252011  2355528 
 1352  0.50      61   61   127     1     1352   2698     0     1     3    28    -1      -26  252011  2355529 
 1500  0.73      69  233   148     2     1500   2550    -1     1     1    29     0      -26  252009  2355530 
 1515  0.75      70  250   163    -2     1515   2535     2    -1     4    28     0      -26  252012  2355529 
 1595  1.25      44  224    80     1     1595   2455    -1    -1     4    26     1      -24  252012  2355527 
 1723  1.00      60  240   128     3     1723   2327    -2    -2     2    25     2      -22  252010  2355526 
 1878  1.50      60  240   155     3     1878   2172    -2    -3     0    22     3      -19  252008  2355523 
 2000  1.74      59  261   122     3     2000   2050    -1    -3    -1    18     3      -15  252007  2355519 
 2050  1.84      58  269    50     2     2050   2000     0    -2    -1    17     1      -14  252007  2355518 
 2255  2.25      56  304   377    12     2255   1795     0   -12     1     9    10       -8  252009  2355510 
 2388  2.75      72  288   133     6     2388   1662     3    -5     3     4     3       -5  252011  2355505 
 2419  3.25      88  272    31     2     2419   1631     0    -2     4     2     1       -4  252012  2355503 
 2482  3.75      81  261    63     4     2481   1569     0    -4     3    -1     3       -1  252011  2355500 
 2500  4.04      73  253    18     1     2499   1551     0    -1     3    -3     1        1  252011  2355498 
 2513  4.25      68  248    31     2     2512   1538    -1    -2     3    -3     2        1  252011  2355498 
 2544  4.50      60  240    31     2     2543   1507    -1    -2     2    -6     2        4  252010  2355495 
 2576  5.25      56  236    32     3     2575   1475    -1    -2     0    -8     3        7  252008  2355493 
 2606  6.00      56  236    30     3     2605   1445    -2    -2    -1   -10     3        9  252007  2355491 
