Point,Northing,Easting,Elevation,Temp,Type
1,250938,2357109,3942,0,Production
2,250937,2357110,3195,0,Production
3,250936,2357107,3000,250,Production
4,250930,2357103,2667,0,Production
5,250925,2357099,2442,0,Production
6,250924,2357098,2391,0,Production
7,250914,2357092,2000,413,Production
8,250913,2357091,1969,0,Production
9,250912,2357091,1942,0,Production
10,250904,2357088,1744,0,Production
11,250890,2357083,1459,0,Production
12,250884,2357080,1337,0,Production
13,250883,2357079,1306,0,Production
14,250880,2357076,1245,0,Production
15,250879,2357074,1216,0,Production
16,250879,2357072,1185,0,Production
17,250879,2357069,1154,0,Production
18,250879,2357066,1123,0,Production
19,250879,2357063,1091,0,Production
20,250878,2357050,1000,458,Production
21,250878,2357049,992,0,Production
22,250877,2357041,946,0,Production
23,250877,2357039,931,0,Production
24,250877,2357030,872,0,Production
25,250876,2357020,812,0,Production
26,250875,2357011,765,0,Production
27,250874,2356999,700,0,Production
28,250872,2356986,642,0,Production
29,250870,2356972,582,0,Production
30,250868,2356956,524,0,Production
31,250865,2356939,465,0,Production
32,250865,2356937,457,0,Production
33,250862,2356921,406,0,Production
34,250859,2356903,350,0,Production
35,250858,2356893,320,0,Production
36,250854,2356838,164,0,Production
37,250853,2356795,55,0,Production
38,250852,2356773,0,496,Production
39,250852,2356767,-13,0,Production
40,250851,2356745,-64,0,Production
41,250848,2356692,-175,0,Production
42,250845,2356654,-251,0,Production
43,250841,2356613,-335,0,Production
44,250837,2356574,-414,0,Production
45,250834,2356551,-463,0,Production
46,250832,2356534,-499,0,Production
47,250829,2356512,-546,0,Production
48,250827,2356499,-574,0,Production
49,250825,2356486,-601,0,Production
50,250823,2356472,-631,0,Production
51,250822,2356459,-658,0,Production
52,250821,2356446,-685,0,Production
53,250818,2356412,-757,0,Production
54,250817,2356398,-785,0,Production
55,250814,2356371,-840,0,Production
56,250813,2356357,-865,0,Production
57,250811,2356333,-912,0,Production
58,250808,2356293,-988,0,Production
59,250807,2356287,-1000,500,Production
60,250807,2356278,-1017,0,Production
61,250803,2356234,-1102,0,Production
62,250802,2356222,-1127,0,Production
63,250800,2356195,-1181,0,Production
64,250799,2356181,-1209,0,Production
65,250799,2356168,-1236,0,Production
66,250800,2356128,-1319,0,Production
67,250800,2356109,-1359,0,Production
68,250801,2356087,-1404,0,Production
69,250802,2356046,-1485,0,Production
70,250802,2356003,-1569,0,Production
71,250802,2355959,-1652,0,Production
72,250802,2355915,-1735,0,Production
73,250801,2355878,-1802,0,Production
74,250800,2355855,-1844,0,Production
75,250797,2355769,-2000,500,Production
76,250795,2355704,-2118,0,Production
77,250793,2355638,-2241,0,Production
78,250784,2355402,-2682,0,Production
79,250780,2355283,-2909,0,Production
80,250779,2355236,-3000,0,Production
81,250778,2355204,-3061,0,Production
82,250779,2355236,-5000,538,Production
