Name,Northing,Easting,Elevation,Temp
1,253521,2353476,4122,0
2,253520,2353476,4000,0
3,253519,2353476,3881,0
4,253515,2353475,3673,0
5,253514,2353475,3622,0
6,253512,2353475,3547,0
7,253508,2353474,3404,0
8,253505,2353473,3278,0
9,253503,2353469,3122,0
10,253502,2353468,3058,0
11,253503,2353468,3025,0
12,253504,2353468,2966,0
13,253505,2353468,2936,0
14,253506,2353469,2904,0
15,253507,2353469,2878,0
16,253510,2353469,2835,0
17,253517,2353469,2749,0
18,253522,2353470,2686,0
19,253525,2353470,2655,0
20,253528,2353470,2623,0
21,253529,2353470,2614,0
22,253531,2353470,2590,0
23,253535,2353470,2559,0
24,253549,2353469,2459,0
25,253557,2353468,2401,0
26,253574,2353467,2288,0
27,253590,2353466,2190,0
28,253600,2353466,2128,0
29,253604,2353465,2099,0
30,253619,2353464,2006,0
31,253620,2353463,2000,470
32,253634,2353462,1912,0
33,253649,2353461,1820,0
34,253664,2353459,1729,0
35,253678,2353457,1639,0
36,253679,2353457,1635,0
37,253693,2353454,1545,0
38,253712,2353451,1427,0
39,253727,2353448,1330,0
40,253736,2353447,1266,0
41,253750,2353444,1173,0
42,253755,2353443,1141,0
43,253764,2353441,1084,0
44,253776,2353437,1000,490
45,253787,2353434,928,0
46,253808,2353427,787,0
47,253828,2353420,647,0
48,253837,2353417,586,0
49,253858,2353409,433,0
50,253874,2353402,312,0
51,253886,2353398,218,0
52,253894,2353396,152,0
53,253898,2353395,126,0
54,253910,2353392,33,0
55,253914,2353391,0,472
56,253923,2353390,-60,0
57,253937,2353388,-153,0
58,253949,2353385,-225,0
59,253957,2353382,-273,0
60,253968,2353380,-342,0
61,253976,2353377,-395,0
62,253986,2353375,-456,0
63,254002,2353370,-550,0
64,254016,2353366,-642,0
65,254031,2353362,-735,0
66,254046,2353357,-836,0
67,254053,2353354,-889,0
68,254063,2353351,-951,0
69,254070,2353348,-1000,0
70,254081,2353344,-1074,0
71,254099,2353337,-1197,0
72,254112,2353332,-1288,0
73,254118,2353330,-1330,0
74,254131,2353325,-1424,0
75,254147,2353318,-1547,0
76,254159,2353314,-1641,0
77,254178,2353304,-1792,0
78,254182,2353302,-1825,0
79,254188,2353297,-1887,0
80,254191,2353295,-1916,0
81,254200,2353289,-2000,410
82,254201,2353288,-2009,0
83,254218,2353276,-2163,0
84,254235,2353263,-2321,0
85,254243,2353256,-2395,0
86,254244,2353254,-2414,0
