Point,Northing,Easting,Elevation
1,252978,2364253,3663
2,252979,2364254,3508
3,252981,2364255,3380
4,252984,2364258,3215
5,252985,2364259,3163
6,252986,2364261,3082
7,252987,2364262,3052
8,252987,2364263,3000
9,252988,2364264,2926
10,252988,2364266,2849
11,252988,2364267,2785
12,252988,2364270,2683
13,252988,2364272,2589
14,252988,2364274,2506
15,252987,2364276,2417
16,252987,2364278,2309
17,252986,2364279,2231
18,252986,2364280,2163
19,252985,2364281,2046
20,252985,2364282,2000
21,252982,2364282,1834
22,252981,2364281,1771
23,252981,2364280,1740
24,252981,2364278,1709
25,252981,2364276,1664
26,252980,2364273,1624
27,252980,2364267,1556
28,252980,2364261,1493
29,252979,2364253,1399
30,252979,2364248,1342
31,252977,2364239,1227
32,252977,2364236,1197
33,252977,2364234,1166
34,252978,2364233,1134
35,252978,2364231,1103
36,252980,2364229,1040
37,252981,2364227,1009
38,252982,2364226,1000
39,252983,2364225,977
40,252986,2364222,945
41,252990,2364218,897
42,252992,2364214,862
43,252994,2364212,842
44,252999,2364204,779
45,253008,2364190,671
46,253017,2364176,576
47,253021,2364165,514
48,253026,2364153,452
49,253031,2364141,390
50,253037,2364127,330
51,253040,2364120,300
52,253044,2364110,261
53,253051,2364095,199
54,253063,2364069,109
55,253076,2364042,20
56,253076,2364041,18
57,253079,2364036,0
58,253092,2364012,-71
59,253102,2363994,-132
60,253111,2363975,-191
61,253121,2363956,-256
62,253130,2363939,-316
63,253139,2363922,-378
64,253147,2363906,-438
65,253153,2363890,-495
66,253159,2363872,-555
67,253169,2363842,-646
68,253176,2363825,-693
69,253190,2363792,-786
70,253207,2363751,-893
71,253214,2363735,-933
72,253222,2363715,-980
73,253225,2363707,-1000
74,253232,2363688,-1043
75,253236,2363677,-1067
76,253268,2363587,-1273
77,253286,2363539,-1388
78,253294,2363520,-1432
79,253315,2363468,-1558
80,253339,2363408,-1701
81,253365,2363348,-1845
82,253375,2363323,-1903
83,253384,2363298,-1958
84,253388,2363288,-1980
85,253392,2363279,-2000
86,253399,2363261,-2040
87,253405,2363250,-2068
88,253433,2363193,-2212
89,253450,2363158,-2299
90,253478,2363105,-2430
91,253508,2363047,-2572
92,253530,2363002,-2679
93,253553,2362956,-2791
94,253568,2362928,-2865
95,253593,2362877,-2994
96,253595,2362875,-3000
97,253598,2362868,-3016
98,253621,2362821,-3131
99,253623,2362817,-3140
100,253627,2362809,-3160
101,253648,2362766,-3255
102,253669,2362724,-3345
103,253679,2362703,-3388
104,253700,2362658,-3482
105,253718,2362616,-3568
106,253723,2362604,-3591
107,253748,2362547,-3709
108,253756,2362530,-3745
109,253777,2362479,-3850
110,253793,2362442,-3927
111,253810,2362407,-4000
112,253814,2362398,-4019
113,253846,2362332,-4160
114,253864,2362293,-4240
115,253878,2362266,-4301
116,253917,2362185,-4477
117,253947,2362121,-4620
118,253961,2362089,-4691
119,253975,2362056,-4766
120,253983,2362037,-4812
121,254001,2361994,-4917
122,254012,2361968,-4987
123,254015,2361963,-5000
124,254035,2361918,-5130
125,254041,2361906,-5167
126,254091,2361798,-5495
