      DIRECTIONAL SURVEY CALCULATIONS  (Average Angle)                                                                                                                                                    
            
Well  NAVY II 67-17 
                         
Sec Az    0 North   
Elev   3870 KB      
CoordsNorth  250538 East              2359340 
                         Course               
  MD  Drift Drift D. AzimLength  DH     TVD     SSD    DNS   DEW   N-S   E-W  DSec    Sec      N-LAM  E-LAM     
_______________________________________________________________________________________________________________ 
                                                                                                                
    0  0.00      86  266                        3870     0     0     0     0     0        0    250538   2359340 
  130  0.25      86  266   130     0      130   3740     0     0     0     0     0        0    250538   2359340 
  250  0.25      24  204   120     1      250   3620     0     0     0    -1     0        0    250538   2359339 
  340  0.25      66  114    90     0      340   3530     0     0    -1    -1     0       -1    250537   2359339 
  488  1.00      24  204   148     2      488   3382    -2     1    -2     0    -2       -2    250536   2359340 
  602  0.50       2  182   114     1      602   3268    -1     0    -4     0    -1       -4    250534   2359340 
  730  0.75      19  199   128     1      730   3140    -1     0    -5    -1    -1       -5    250533   2359339 
  858  0.75      11  169   128     2      858   3012    -2     0    -7    -1    -2       -7    250531   2359339 
  870  0.75      17  180    12     0      870   3000     0     0    -7    -1     0       -7    250531   2359339 
  983  0.75      76  284   125    -2      983   2887     1     1    -6     0     1       -6    250532   2359340 
 1110  0.75      69  249   127     2     1110   2760     0    -2    -6    -1     0       -6    250532   2359339 
 1219  0.75      86  274   109     1     1219   2651     0    -1    -6    -3     0       -6    250532   2359337 
 1251  1.75      65  295    32     1     1251   2619     0    -1    -6    -3     0       -6    250532   2359337 
 1285  2.00      42  318    34     1     1285   2585     1    -1    -5    -4     1       -5    250533   2359336 
 1315  2.75      26  334    30     1     1315   2555     1    -1    -4    -5     1       -4    250534   2359335 
 1345  3.50      19  341    30     2     1345   2525     2    -1    -3    -5     2       -3    250535   2359335 
 1377  4.25      14  346    32     2     1377   2493     2    -1     0    -6     2        0    250538   2359334 
 1417  4.50       0  360    40     3     1417   2453     3     0     3    -6     3        3    250541   2359334 
 1543  4.75       0  360   126    10     1542   2328    10     0    13    -6    10       13    250551   2359334 
 1712  4.25       4    4   168   -13     1711   2159    13     0    26    -6    13       26    250564   2359334 
 1829  3.75      16   16   117     8     1827   2043     8     1    34    -5     8       34    250572   2359335 
 1872  3.75      19   19    43     3     1870   2000     3     1    37    -4     3       37    250575   2359336 
 1956  3.75      24   24   127     8     1954   1916     8     3    42    -2     8       42    250580   2359338 
 2080  3.50      32   32   124     8     2078   1792     7     4    49     2     7       49    250587   2359342 
 2252  3.50      15   15   172    11     2250   1620    10     4    58     6    10       58    250596   2359346 
 2515  2.25       8  352   263   -13     2512   1358    13     1    72     7    13       72    250610   2359347 
 2647  3.50      36  324   132     7     2644   1226     6    -2    78     4     6       78    250616   2359344 
 2679  4.25      30  330    32     2     2676   1194     2    -1    80     3     2       80    250618   2359343 
 2710  4.75      25  335    31     2     2707   1163     2    -1    82     2     2       82    250620   2359342 
 2742  5.25      19  341    32     3     2739   1131     3    -1    84     1     3       84    250622   2359341 
 2774  6.00      11  349    32     3     2771   1099     3    -1    87     0     3       87    250625   2359340 
 2807  7.25       9  351    33     4     2803   1067     4    -1    91     0     4       91    250629   2359340 
