Point,NORTHING,EASTING,Elev_ft,Elev_m
1,250538,2359340,3870,1180
2,250538,2359340,3740,1140
3,250538,2359339,3620,1103
4,250537,2359339,3530,1076
5,250536,2359340,3382,1031
6,250534,2359340,3268,996
7,250533,2359339,3140,957
8,250531,2359339,3012,918
9,250531,2359339,3000,914
10,250532,2359340,2887,880
11,250532,2359339,2760,841
12,250532,2359337,2651,808
13,250532,2359337,2619,798
14,250533,2359336,2585,788
15,250534,2359335,2555,779
16,250535,2359335,2525,770
17,250538,2359334,2493,760
18,250541,2359334,2453,748
19,250551,2359334,2328,710
20,250564,2359334,2159,658
21,250572,2359335,2043,623
22,250575,2359336,2000,610
23,250580,2359338,1916,584
24,250587,2359342,1792,546
25,250596,2359346,1620,494
26,250610,2359347,1358,414
27,250616,2359344,1226,374
28,250618,2359343,1194,364
29,250620,2359342,1163,354
30,250622,2359341,1131,345
31,250625,2359340,1099,335
32,250629,2359340,1067,325
33,250639,2359338,1000,305
34,250639,2359338,996,304
35,250649,2359337,938,286
36,250654,2359337,907,276
37,250660,2359337,875,267
38,250666,2359337,845,258
39,250672,2359337,813,248
40,250680,2359336,782,238
41,250688,2359336,751,229
42,250696,2359337,720,219
43,250704,2359337,689,210
44,250713,2359337,659,201
45,250737,2359337,580,177
46,250755,2359337,519,158
47,250776,2359337,458,140
48,250797,2359338,399,122
49,250819,2359339,339,103
50,250842,2359340,280,85
51,250866,2359342,221,67
52,250891,2359344,163,50
53,250917,2359346,105,32
54,250944,2359350,46,14
55,250960,2359352,12,4
56,250965,2359353,0,0
57,250990,2359355,-51,-16
58,251004,2359356,-78,-24
59,251050,2359357,-160,-49
60,251098,2359356,-243,-74
61,251144,2359356,-323,-98
62,251208,2359356,-433,-132
63,251255,2359356,-515,-157
64,251303,2359356,-599,-183
65,251351,2359356,-681,-208
66,251395,2359356,-759,-231
67,251453,2359356,-866,-264
68,251485,2359356,-927,-283
69,251515,2359357,-986,-301
70,251522,2359358,-1000,-305
71,251557,2359360,-1071,-326
72,251600,2359363,-1156,-352
73,251641,2359367,-1241,-378
74,251682,2359372,-1324,-404
75,251711,2359375,-1383,-422
76,251752,2359379,-1468,-447
77,251794,2359383,-1554,-474
78,251836,2359387,-1637,-499
79,251878,2359391,-1722,-525
80,251920,2359396,-1806,-550
81,251962,2359401,-1890,-576
82,252014,2359407,-1993,-607
83,252017,2359407,-2000,-610
84,252047,2359410,-2059,-628
85,252089,2359416,-2145,-654
86,252131,2359422,-2230,-680
87,252175,2359428,-2317,-706
88,252215,2359434,-2396,-730
89,252255,2359439,-2478,-755
90,252297,2359445,-2561,-781
91,252338,2359452,-2644,-806
92,252379,2359459,-2728,-831
93,252419,2359466,-2813,-857
94,252456,2359472,-2890,-881
95,252498,2359479,-2981,-909
96,252506,2359481,-3000,-914
97,252531,2359485,-3053,-931
98,252576,2359493,-3153,-961
99,252612,2359500,-3235,-986
100,252650,2359507,-3323,-1013
101,252685,2359513,-3406,-1038
102,252713,2359518,-3471,-1058
103,252749,2359523,-3558,-1084
104,252777,2359528,-3629,-1106
105,252811,2359533,-3717,-1133
106,252843,2359538,-3803,-1159
107,252876,2359543,-3892,-1186
108,252908,2359549,-3982,-1214
109,252915,2359550,-4000,-1219
110,252940,2359554,-4069,-1240
111,252971,2359561,-4156,-1267
112,253000,2359567,-4245,-1294
113,253042,2359577,-4376,-1334
114,253094,2359591,-4544,-1385
115,253109,2359595,-4594,-1400
