      WELL DATA SUMMARY                                                                                                                                                                                                      
            
Well  NAVY II  67A-17    
                         
Sec Az  310    N50W 
Elev   3870 KB      
CoordsNorth  250514 East              2359162 
                         Course               
  MD  Drift Drift D. AzimLength  DH     TVD     SSD    DNS   DEW   N-S   E-W  DSec   Sec    N-LAM E-LAM    
___________________________________________________________________________________________________________
                                                                                                                                                                                                                             
    0  0.00       0  151     0     0        0   3870     0     0     0     0     0      0  250514  2359162                                                                                                                   
  242  0.75      29  151   242     2      242   3628    -1     1    -1     1    -1     -1  250513  2359163                                                                                                                   
  490  1.50       6  174   248     5      490   3380    -5     1    -6     2    -4     -6  250508  2359164                                                                                                                   
  654  1.75      32  212   164     5      654   3216    -5    -1   -11     1    -2     -8  250503  2359163                                                                                                                   
  852  2.00      30  210   198     6      852   3018    -6    -3   -16    -2    -1     -9  250498  2359160                                                                                                                   
  870  2.02      32  212    18     1      870   3000    -1     0   -17    -2     0     -9  250497  2359160 
 1088  2.25      50  230   236     9     1088   2782    -7    -6   -23    -8     0     -9  250491  2359154                                                                                                                   
 1308  1.75      60  240   220     8     1307   2563    -4    -6   -27   -14     2     -7  250487  2359148                                                                                                                   
 1528  1.50      61  241   220     6     1527   2343    -3    -5   -27   -14     2     -5  250487  2359148                                                                                                                   
 1743  1.50      79  259   215     6     1742   2128    -2    -5   -29   -19     3     -2  250485  2359143                                                                                                                   
 1871  1.65      79  259   128     4     1870   2000    -1    -3   -30   -23     2      0  250484  2359139 
 1957  1.75      79  259   214     6     1956   1914    -1    -6   -30   -25     4      2  250484  2359137                                                                                                                   
 2173  2.25      40  220   216     8     2172   1698    -4    -6   -34   -32     3      5  250480  2359130                                                                                                                   
 2286  2.25      39  219   113     4     2285   1585    -3    -3   -37   -35     0      5  250477  2359127                                                                                                                   
 2379  2.75      25  205    93     4     2378   1492    -3    -2   -41   -37    -1      4  250473  2359125                                                                                                                   
 2473  3.00      38  218    94     5     2472   1398    -4    -2   -45   -39    -1      3  250469  2359123                                                                                                                   
 2567  3.25      56  236    94     5     2566   1304    -3    -4   -48   -43     1      4  250466  2359119                                                                                                                   
 2674  3.25      53  233   107     6     2672   1198    -4    -5   -52   -48     2      5  250462  2359114                                                                                                                   
 2822  3.75      44  224   148     9     2820   1050    -6    -7   -58   -55     1      7  250456  2359107                                                        1050        2672  2674   -52   -48     5  0.00 
 2872  4.55      42  222    50     4     2870   1000    -3    -2   -60   -57     0      7  250454  2359105 
 2900  5.00      41  221    78     6     2898    972    -4    -4   -62   -59     0      7  250452  2359103                                                                                                                   
 2932  3.75      44  224    32     2     2930    940    -2    -2   -64   -60     0      7  250450  2359102                                                                                                                   
 2963  3.75      63  243    31     2     2961    909    -1    -2   -65   -62     0      8  250449  2359100                                                                                                                   
 2995  4.75      64  244    32     2     2993    877    -1    -2   -66   -64     1      9  250448  2359098 
 3027  5.00      71  251    64     5     3025    845    -2    -4   -67   -66     2     10  250447  2359096                                                                                                                   
 3057  5.00      79  259    30     3     3055    815    -1    -3   -68   -69     1     11  250446  2359093                                                                                                                   
 3090  5.00      80  260    33     3     3087    783    -1    -3   -68   -72     2     13  250446  2359090 
