      WELL DATA SUMMARY                                                                                                                                                                                                      
            
Well  NAVY II 67B-17
                         
Sec Az  295 N65W    
Elev   3870 KB      
CoordsNorth  250551 EAST              2359247 
                         Course               
  MD  Drift Drift D. AzimLength  DH     TVD     SSD    DNS   DEW   N-S   E-W  DSec   Sec    N-LAM E-LAM    
___________________________________________________________________________________________________________
                                                                                                                                                                                                                             
    0  0.00      84   84     0     0        0   3870     0     0     0     0     0      0  250551  2359247                                                                                                                   
  157  0.75      84   84   157     1      157   3713     0     1     0     1    -1     -1  250551  2359248                                                                                                                   
  295  1.25      71  109   138     2      295   3575     0     2     0     3    -2     -3  250551  2359250                                                                                                                   
  491  2.00      25  205   196     6      491   3379    -5     2    -5     6    -4     -7  250546  2359253                                                                                                                   
  612  2.25      40  220   121     4      612   3258    -4    -2    -9     3     1     -7  250542  2359250                                                                                                                   
  736  1.75      33  213   124     4      736   3134    -3    -3   -13     1     1     -6  250538  2359248                                                                                                                   
  860  1.75      14  194   124     4      860   3010    -3    -2   -16    -1     0     -6  250535  2359246                                                                                                                   
  870  1.71      15  195    10     0      870   3000     0     0   -16    -1     0     -6  250535  2359246 
  986  1.25      23  203   126     3      986   2884    -3    -1   -19    -2     0     -6  250532  2359245                                                                                                                   
 1109  1.50       9  189   123     3     1109   2761    -3    -1   -22    -3     0     -7  250529  2359244                                                                                                                   
 1235  1.50      20  200   126     3     1235   2635    -3    -1   -25    -4    -1     -7  250526  2359243                                                                                                                   
 1328  1.75      21  201    93     3     1328   2542    -2    -1   -28    -5     0     -8  250523  2359242                                                                                                                   
 1455  0.50      44  224   127     2     1454   2416    -2    -1   -30    -6     0     -7  250521  2359241                                                                                                                   
 1580  0.75      57  237   125     1     1579   2291    -1    -1   -31    -7     1     -7  250520  2359240                                                                                                                   
 1705  0.75      49  229   125     2     1704   2166    -1    -1   -32    -8     1     -6  250519  2359239                                                                                                                   
 1829  0.75      17  197   124     2     1828   2042    -1    -1   -33    -9     0     -6  250518  2359238                                                                                                                   
 1871  1.09      30  210    42     1     1870   2000    -1     0   -34    -9     0     -6  250517  2359238 
 1953  1.75      54  234   124     3     1952   1918    -2    -2   -35   -11     0     -5  250516  2359236                                                                                                                   
 2038  1.00      34  214    85     2     2037   1833    -1    -1   -37   -12     1     -5  250514  2359235                                                                                                                   
 2170  1.50      39  219   132     3     2169   1701    -2    -2   -39   -14     1     -4  250512  2359233                                                                                                                   
 2300  2.25      55  235   130     4     2299   1571    -3    -3   -42   -17     2     -2  250509  2359230                                                                                                                   
 2420  1.25      69  249   120     4     2419   1451    -2    -3   -44   -20     2      0  250507  2359227                                                                                                                   
 2553  1.25      89  271   133     3     2552   1318    -1    -3   -44   -23     2      2  250507  2359224                                                                                                                   
 2698  2.75      89  269   145     5     2697   1173     0    -5   -44   -28     5      7  250507  2359219                                                                                                                   
 2818  2.25      69  249   120     5     2817   1053    -1    -5   -45   -33     4     11  250506  2359214                                                                                                                   
 2865  2.53      73  253    47     2     2864   1006    -1    -2   -46   -35     1     12  250505  2359212 
 2871  2.56      73  253     6     0     2870   1000     0     0   -46   -35     0     13  250505  2359212 
