Point,Northing,Easting,Elevation
1,250560,2359133,3870
2,250559,2359134,3684
3,250559,2359135,3486
4,250560,2359135,3370
5,250561,2359133,3164
6,250560,2359131,3065
7,250558,2359131,3000
8,250555,2359129,2910
9,250553,2359127,2817
10,250548,2359124,2662
11,250544,2359122,2531
12,250541,2359119,2421
13,250539,2359117,2314
14,250536,2359115,2198
15,250533,2359112,2071
16,250531,2359110,2000
17,250530,2359109,1946
18,250527,2359107,1831
19,250523,2359103,1696
20,250519,2359099,1570
21,250514,2359096,1450
22,250511,2359093,1360
23,250507,2359089,1226
24,250503,2359085,1119
25,250499,2359081,1000
26,250499,2359080,990
27,250495,2359077,864
28,250491,2359073,738
29,250487,2359067,570
30,250485,2359064,491
31,250483,2359058,321
32,250482,2359056,237
33,250480,2359053,174
34,250477,2359049,113
35,250473,2359043,49
36,250470,2359037,0
37,250470,2359036,-12
38,250467,2359027,-74
39,250464,2359019,-125
40,250461,2359008,-184
41,250457,2358998,-245
42,250453,2358986,-308
43,250447,2358967,-400
44,250441,2358945,-491
45,250434,2358922,-580
46,250429,2358906,-639
47,250424,2358889,-700
48,250416,2358863,-791
49,250408,2358837,-881
50,250400,2358811,-969
51,250397,2358802,-1000
52,250388,2358777,-1088
53,250383,2358761,-1142
54,250377,2358741,-1211
55,250366,2358703,-1343
56,250355,2358660,-1495
57,250344,2358620,-1638
58,250336,2358588,-1751
59,250333,2358577,-1786
60,250332,2358574,-1798
61,250326,2358553,-1870
62,250322,2358537,-1925
63,250316,2358515,-2000
64,250315,2358514,-2005
65,250314,2358509,-2021
66,250301,2358475,-2143
67,250250,2358351,-2577
68,250236,2358316,-2695
69,250216,2358262,-2870
70,250212,2358250,-2909
71,250201,2358221,-3000
72,250179,2358169,-3168
73,250163,2358137,-3273
74,250141,2358093,-3425
75,250123,2358051,-3569
76,250103,2358004,-3730
77,250097,2357991,-3776
