Point,NORTHING,EASTING,Elev_ft,Elev_m
1,253110,2354521,4100,1250
2,253110,2354521,4000,1219
3,253108,2354519,3600,1097
4,253108,2354518,3530,1076
5,253107,2354517,3405,1038
6,253106,2354515,3286,1002
7,253106,2354514,3192,973
8,253106,2354512,3100,945
9,253106,2354512,3092,942
10,253105,2354511,3000,914
11,253105,2354510,2945,898
12,253104,2354509,2810,856
13,253103,2354508,2721,829
14,253102,2354506,2600,792
15,253101,2354506,2571,784
16,253100,2354503,2446,746
17,253100,2354502,2389,728
18,253099,2354501,2358,719
19,253099,2354499,2326,709
20,253098,2354497,2295,700
21,253096,2354494,2239,682
22,253094,2354490,2173,662
23,253092,2354488,2145,654
24,253091,2354486,2114,644
25,253090,2354485,2101,640
26,253089,2354484,2089,637
27,253088,2354482,2059,628
28,253086,2354479,2027,618
29,253085,2354476,2000,610
30,253083,2354470,1937,590
31,253082,2354466,1907,581
32,253081,2354462,1875,572
33,253079,2354453,1812,552
34,253076,2354437,1720,524
35,253073,2354417,1630,497
36,253072,2354412,1607,490
37,253070,2354394,1541,470
38,253065,2354366,1452,443
39,253060,2354336,1364,416
40,253053,2354301,1273,388
41,253043,2354259,1175,358
42,253040,2354244,1138,347
43,253035,2354223,1091,333
44,253028,2354185,1005,306
45,253027,2354183,1000,305
46,253017,2354136,893,272
47,253011,2354112,837,255
48,253002,2354076,752,229
49,252993,2354046,681,208
50,252992,2354041,667,203
51,252982,2354004,581,177
52,252976,2353979,524,160
53,252966,2353943,440,134
54,252954,2353898,336,102
55,252951,2353889,316,96
56,252942,2353856,239,73
57,252940,2353849,225,69
58,252933,2353822,163,50
59,252930,2353810,134,41
60,252922,2353771,46,14
61,252918,2353751,0,0
62,252911,2353722,-68,-21
63,252900,2353675,-184,-56
64,252897,2353663,-212,-65
65,252896,2353655,-234,-71
66,252895,2353651,-242,-74
67,252893,2353639,-272,-83
68,252891,2353628,-300,-91
69,252888,2353616,-330,-101
70,252886,2353605,-359,-109
71,252884,2353594,-388,-118
72,252877,2353551,-504,-154
73,252875,2353541,-532,-162
74,252874,2353531,-561,-171
75,252873,2353509,-623,-190
76,252872,2353488,-681,-208
77,252871,2353481,-702,-214
78,252868,2353437,-829,-253
79,252865,2353408,-918,-280
80,252863,2353379,-1000,-305
81,252860,2353355,-1063,-324
82,252857,2353332,-1123,-342
83,252855,2353313,-1172,-357
84,252851,2353285,-1245,-379
85,252847,2353249,-1339,-408
86,252844,2353229,-1393,-425
87,252837,2353182,-1515,-462
88,252833,2353155,-1591,-485
89,252831,2353138,-1640,-500
90,252828,2353115,-1717,-523
91,252818,2353048,-2000,-610
92,252818,2353045,-2016,-614
93,252817,2353037,-2058,-627
94,252815,2353025,-2127,-648
95,252808,2352977,-2402,-732
96,252806,2352964,-2481,-756
97,252806,2352959,-2511,-765
98,252803,2352941,-2620,-799
99,252802,2352932,-2677,-816
100,252800,2352915,-2781,-848
