Name,Northing,Easting,Elevation,Temp
1,251406,2354292,4249,0
2,251408,2354293,4071,0
3,251410,2354294,4000,0
4,251413,2354297,3892,0
5,251415,2354300,3799,0
6,251417,2354301,3749,0
7,251418,2354303,3697,0
8,251420,2354306,3618,0
9,251425,2354312,3467,0
10,251428,2354316,3332,0
11,251429,2354319,3250,0
12,251430,2354320,3219,0
13,251431,2354323,3099,0
14,251430,2354324,3000,0
15,251434,2354322,2944,0
16,251435,2354319,2758,0
17,251435,2354319,2750,0
18,251434,2354316,2637,0
19,251429,2354311,2454,0
20,251425,2354305,2273,0
21,251425,2354304,2250,0
22,251423,2354299,2160,0
23,251422,2354293,2068,0
24,251421,2354289,2005,0
25,251421,2354288,2000,0
26,251421,2354284,1942,0
27,251417,2354275,1806,0
28,251414,2354271,1751,0
29,251411,2354267,1699,0
30,251408,2354263,1638,0
31,251405,2354259,1585,0
32,251399,2354250,1514,0
33,251393,2354240,1448,0
34,251385,2354231,1389,0
35,251378,2354223,1344,0
36,251365,2354207,1259,0
37,251364,2354206,1254,0
38,251350,2354189,1164,0
39,251335,2354173,1074,0
40,251322,2354158,1000,545
41,251320,2354156,985,0
42,251310,2354144,928,0
43,251300,2354133,872,0
44,251285,2354115,781,0
45,251284,2354114,774,0
46,251269,2354097,690,0
47,251257,2354083,621,0
48,251237,2354061,513,0
49,251227,2354049,452,0
50,251218,2354038,392,0
51,251212,2354031,351,0
52,251204,2354020,290,0
53,251201,2354016,268,0
54,251191,2354000,179,0
55,251181,2353984,89,0
56,251171,2353968,0,562
57,251165,2353959,-48,0
58,251148,2353932,-199,0
59,251145,2353926,-230,0
