      WELL DATA SUMMARY                                                                                                                                                                                                      
            
Well  NAVY II 83B-16
                         
Sec Az  260         
Elev   3642 KB      
CoordsNorth  253474 East              2365562 
                         Course               
  MD  Drift Drift D. AzimLength  DH     TVD     SSD    DNS   DEW   N-S   E-W  DSec   Sec    N-LAM E-LAM    
___________________________________________________________________________________________________________
                                                                                                                                                                                                                             
    0  0.00       0  180     0     0        0   3642     0     0     0     0     0      0  253474  2365562                                                                                                                   
  145  0.50       9  189   145     1      145   3497    -1     0    -1     0     0      0  253473  2365562                                                                                                                   
  314  1.00      30  150   169     2      314   3328    -2     0    -3     0     0      0  253471  2365562 
  470  1.25      24  156   325     5      470   3172    -5     1    -6     1     0      0  253468  2365563                                                                                                                   
  592  0.75      61  119   122     2      592   3050    -2     1    -7     2    -1     -1  253467  2365564                                                                                                                   
  642  0.75      52   80    50     1      642   3000     0     1    -7     3    -1     -1  253467  2365565 
  686  0.75      45   45    94     1      686   2956     0     1    -7     3    -1     -2  253467  2365565 
  779  1.00      10   10   187     3      779   2863     1     3    -6     5    -3     -4  253468  2365567                                                                                                                   
  873  0.25      63  117    94     1      873   2769     0     1    -5     6    -1     -5  253469  2365568                                                                                                                   
  964  0.75      15   15    91     1      964   2678     0     1    -5     6    -1     -5  253469  2365568                                                                                                                   
 1056  1.75      81   99    92     2     1056   2586     1     2    -4     8    -2     -7  253470  2365570                                                                                                                   
 1149  1.25      76   76    93     2     1149   2493     0     2    -4    10    -2    -10  253470  2365572                                                                                                                   
 1242  1.25      66  114    93     2     1242   2400     0     2    -4    12    -2    -11  253470  2365574                                                                                                                   
 1335  1.25      24  156    93     2     1335   2307    -1     1    -6    14    -1    -13  253468  2365576                                                                                                                   
 1461  1.50       3  183   126     3     1461   2181    -3     1    -8    14     0    -13  253466  2365576                                                                                                                   
 1586  1.75      28  152   125     4     1586   2056    -3     1   -12    15     0    -13  253462  2365577                                                                                                                   
 1642  1.86      18  162    56     2     1642   2000    -2     1   -14    16     0    -13  253460  2365578 
 1711  2.00       6  174   125     4     1711   1931    -4     1   -16    16     0    -13  253458  2365578                                                                                                                   
 1833  2.25       7  187   122     5     1833   1809    -5     0   -20    16     1    -13  253454  2365578                                                                                                                   
 1958  2.50      12  192   125     5     1957   1685    -5    -1   -26    15     2    -11  253448  2365577                                                                                                                   
 2025  2.75       3  177    67     3     2024   1618    -3     0   -29    15     1    -10  253445  2365577                                                                                                                   
 2087  3.25       5  185    62     3     2086   1556    -3     0   -32    15     1     -9  253442  2365577                                                                                                                   
 2151  4.00      12  192    64     4     2150   1492    -4    -1   -36    15     1     -8  253438  2365577                                                                                                                   
 2182  4.25      15  195    31     2     2181   1461    -2    -1   -38    14     1     -7  253436  2365576                                                                                                                   
 2244  4.75      20  200    62     5     2243   1399    -5    -1   -43    13     2     -5  253431  2365575                                                                                                                   
 2307  5.00      28  208    63     5     2306   1336    -5    -2   -48    10     3     -2  253426  2365572                                                                                                                   
 2369  5.50      30  210    62     6     2367   1275    -5    -3   -52     8     4      2  253422  2365570                                                                                                                   
 2463  7.00      31  211    93    10     2461   1181    -9    -5   -61     2     7      8  253413  2365564                                                                                                                   
