      WELL DATA SUMMARY                                                                                                                                                                                                          
            
Well  Navy II  23A-17    
                         
Sec Az  315    N45W 
Elev   4157 (KB)    
CoordsNorth  253421 East              2356066 
                         Course               
  MD  Drift Drift D. AzimLength  DH     TVD     SSD    DNS   DEW    N-S     E-W   DSec   Sec    N-LAM E-LAM    
_______________________________________________________________________________________________________________
                                                                                                                                                                                                                                 
    0  0.00       0  246     0     0        0   4157     0     0     0.0     0.0     0      0  253421  2356066                                                                                                                   
  157  0.49      43  246   157     1      157   4000     0    -1    -0.3    -0.6     0      0  253421  2356065 
  240  0.75      66  246   240     2      240   3917    -1    -1    -0.6    -1.4     1      1  253420  2356065 
  500  0.75      66  246   260     3      500   3657    -1    -3    -2.0    -4.5     1      2  253419  2356061 
  726  1.00      10   10   226    -3      726   3431     2    -3     0.1    -7.3     3      5  253421  2356059 
  982  0.75      49   49   256     4      982   3175     3     2     3.5    -5.3     1      6  253425  2356061 
 1157  0.92      32  244   175     3     1157   3000    -2     1     1.4    -3.9    -2      4  253422  2356062 
 1240  1.00      24  336   258    -4     1240   2917     4     1     7.4    -4.5     2      8  253428  2356062 
 1470  1.00      25  335   230     4     1470   2687     4    -2    11.0    -6.2     4     12  253432  2356060 
 1662  0.75      62  298   192     3     1662   2495     2    -2    13.1    -8.2     3     15  253434  2356058 
 1783  1.00      64  296   121     2     1783   2374     1    -2    14.0    -9.8     2     17  253435  2356056 
 1937  0.75      89   91   154     2     1937   2220    -2    -1    11.7   -10.4    -1     16  253433  2356056 
 2092  0.75      89  269   155     2     2092   2065    -2     0     9.7   -10.4    -1     14  253431  2356056 
 2157  0.85      61  241    65     1     2157   2000     0    -1     9.4   -11.2     0     15  253430  2356055 
 2248  1.00      21  201   156     2     2248   1909    -1    -2     8.3   -12.3     0     15  253429  2356054 
 2554  1.50       2  178   306     7     2554   1603    -7    -1     1.7   -13.4    -4     11  253423  2356053 
 2771  1.75      24  156   217     6     2771   1386    -6     1    -4.3   -12.0    -5      5  253417  2356054 
 2803  1.79      24  161    32     1     2803   1354    -1     0    -5.2   -11.7    -1      5  253416  2356054 
 3127  2.25      28  208   356    12     3126   1031   -12     0   -16.7   -12.5    -8     -3  253404  2356054 
 3131  2.25      28  208     4     0     3130   1027     0     0   -16.8   -12.5     0     -3  253404  2356053 
 3158  2.25      30  210    31     1     3157   1000    -1    -1   -17.8   -13.1     0     -3  253403  2356053 
 3307  2.25      37  217   180     7     3306    851    -6    -4   -22.7   -16.3    -2     -5  253398  2356050 
 3494  2.75      39  219   187     8     3493    664    -6    -5   -29.1   -21.3    -1     -6  253392  2356045 
 3685  2.50      34  214   191     9     3684    473    -7    -5   -36.1   -26.5    -1     -7  253385  2356040 
 3863  4.00      64  244   178    10     3862    295    -7    -8   -42.7   -34.1     1     -6  253378  2356032 
 4027  3.75      45  225   164    11     4025    132    -6    -9   -49.2   -43.1     2     -4  253372  2356023 
 4052  3.75      63  243    25     2     4050    107    -1    -1   -50.1   -44.5     0     -4  253371  2356022 
 4084  3.75      72  252    32     2     4082     75    -1    -2   -50.9   -46.4     1     -3  253370  2356020 
