      WELL DATA SUMMARY REPORT                                                                             
                                                                                                           
Well  Navy II 37-17                                                                                        
                                                                                                           
Sec Az  243                                                                                                
Elev   3943 KB                                                                                             
CoordsNorth 251023 East             2357075                                                                
                        Course                                                                             
  MD  Drift Drift D AzimLength  DH     TVD    SSD    DNS   DEW   N-S   E-W  DSec   Sec     N-LAM     E-LAM 
____________________________________________________________________________________________________________     
                                                                                                           
    0  0.00     39  219                       3943     0     0     0     0     0     0      251023 2357075 
  203  0.50     39  219   203     1     203   3740    -1    -1    -1    -1     1     1      251022 2357074 
  296  0.25     39  219    93     1     296   3647     0     0    -1    -1     1     1      251022 2357074 
  466  0.50     39  219   170     1     466   3477    -1    -1    -2    -2     1     2      251021 2357073 
  500  0.73     39  219    34     0     500   3443     0     0    -2    -2     0     3      251021 2357073 
  578  1.25     39  219    78     1     578   3365    -1    -1    -3    -3     1     4      251020 2357072 
  715  1.50     22  202   137     3     715   3228    -3    -2    -6    -4     3     7      251017 2357071 
  859  2.00     29  209   144     4     859   3084    -4    -2   -10    -6     3    10      251013 2357069 
  943  2.15     32  212    84     3     943   3000    -3    -2   -13    -8     3    13      251010 2357067 
 1000  2.25     34  214   141     5    1000   2943    -4    -3   -15    -9     4    15      251008 2357066 
 1122  2.50     46  226   122     5    1122   2821    -4    -3   -18   -12     5    19      251005 2357063 
 1268  3.25     29  209   146     7    1267   2676    -6    -4   -24   -17     7    26      250999 2357058 
 1369  3.25     46  226   101     6    1368   2575    -5    -3   -29   -20     5    31      250994 2357055 
 1500  3.46     43  223   131     8    1499   2444    -5    -5   -34   -26     7    38      250989 2357049 
 1524  3.50     42  222    24     1    1523   2420    -1    -1   -35   -27     1    40      250988 2357048 
 1684  3.75     35  215   160    10    1683   2260    -8    -6   -43   -33     9    49      250980 2357042 
 1744  4.00     40  220    60     4    1743   2200    -3    -2   -47   -35     4    53      250976 2357040 
 1774  4.50     34  214    30     2    1773   2170    -2    -1   -48   -37     2    55      250975 2357038 
 1805  5.25     39  219    31     3    1803   2140    -2    -2   -50   -38     2    57      250973 2357037 
 1837  5.50     41  221    32     3    1835   2108    -2    -2   -53   -40     3    60      250970 2357035 
 1866  6.00     44  224    29     3    1864   2079    -2    -2   -55   -42     3    62      250968 2357033 
 1899  6.25     50  230    33     4    1897   2046    -2    -3   -57   -45     3    66      250966 2357030 
 1929  6.50     58  238    30     3    1927   2016    -2    -3   -59   -47     3    69      250964 2357028 
 1945  6.75     57  237    16     2    1943   2000    -1    -2   -60   -49     2    71      250963 2357026 
 1961  7.00     55  235    32     4    1959   1984    -2    -3   -61   -51     4    73      250962 2357024 
 1993  7.50     51  231    32     4    1990   1953    -2    -3   -64   -54     4    77      250959 2357021 
 2000  7.53     51  231     7     1    1997   1946    -1    -1   -64   -54     1    78      250959 2357021 
 2180  8.25     44  224   178    25    2176   1767   -17   -18   -81   -73    24   101      250942 2357002 
 2245  9.75     49  229    64    10    2240   1703    -7    -7   -88   -80    10   111      250935 2356995 
 2338 11.50     44  224    91    17    2331   1612   -12   -12  -100   -92    16   128      250923 2356983 
 2429 14.00     43  223    89    20    2420   1523   -15   -14  -114  -106    19   147      250909 2356969 
