  																																								P	/rva111..aj111~a111..aj111~						Puts file in format to print
		#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!										#DIV/0!		#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!								/ma111..ak200~a115~					C	{GOTO}a1~/fcceinsert1~
		WELL DATA SUMMARY																																							/ca11..aj12~a112~						{GOTO}r11~/fcceinsert3~
		 																																							/rva59..aj59~a59..aj59~						/wgc6~
	Well	67C-17		spud 10/9/97																																					/ma59..ak200~a63~						/rff0~a13..aj200~
	 	 	 	 																																					/ca11..aj12~a60~						/rff~c13..c200~
	Sec Azim	250	 																																						/ppr~gp{esc}{esc}{esc}						{GOTO}C3~WELL DATA SUMMARY~
	Elev	3870	KB																																												{GOTO}Q1~/WCS9~/WCHAH1~
 	Coords:	North	250560	EAST			2359133																																								/PPOMR240~QQ
 					Course		 																																								{GOTO}A1~/wcs9~
 	MD	Drift A.	Drift D.	Azim	Length	DH	TVD	SSD	DNS	DEW	N-S	E-W	DSec	Sec	N-LAM	E-LAM																															{GOTO}D1~/wcs8~
 	_________	_________	_________	_________	_________	_________	_________	_________	_________	_________	_________	_________	_________	_________	____________	_________																															{GOTO}H1~/wcs9~
 				 																																											{GOTO}P1~/wcs8~
 	0	0	140	140	0	0	0	3870	0	0	0	0	0	0	250560	2359133																															/wchi1~
 	186	1	140	140	186	1	186	3684	-1	1	-1	1	0	0	250559	2359134																															/wchi1~
 	384	1	58	58	198	2	384	3486	0	2	-1	2	-2	-2	250559	2359135																															/wchi1~
 	500	0	0	0	116	1	500	3370	0	0	0	2	0	-2	250560	2359135																															/wchi1~
 	706	2	255	255	206	-3	706	3164	2	-2	1	0	2	0	250561	2359133																															/wchi1~
 	805	1	194	194	99	3	805	3065	-2	-2	0	-2	2	2	250560	2359131																															/wchi1~
	870	2	200	200	65	2	870	3000	-2	0	-2	-2	1	3	250558	2359131																															
 	960	2	208	208	155	5	960	2910	-4	-2	-5	-4	3	5	250555	2359129																															/wchi1~
 	1053	2	239	239	93	3	1053	2817	-3	-2	-7	-6	3	8	250553	2359127																															/wchi1~
 	1208	2	194	194	155	5	1208	2662	-4	-3	-12	-9	5	13	250548	2359124																															/wchi1~
 	1339	2	210	210	131	5	1339	2531	-5	-2	-16	-11	3	16	250544	2359122																															/wchi1~
 	1449	2	247	247	110	4	1449	2421	-3	-3	-19	-14	4	20	250541	2359119																															/wchi1~
 	1557	2	199	199	108	3	1556	2314	-2	-2	-21	-16	3	23	250539	2359117																															/wchi1~
 	1673	2	234	234	116	3	1672	2198	-3	-2	-24	-18	3	25	250536	2359115																															/wchi1~
 	1800	2	215	215	127	4	1799	2071	-3	-3	-27	-21	4	29	250533	2359112																															/wchi1~
	1871	2	220	220	71	2	1870	2000	-2	-1	-29	-23	2	31	250531	2359110																															
 	1925	2	223	223	125	4	1924	1946	-3	-2	-30	-24	3	32	250530	2359109																															/wchi1~
 	2040	3	222	222	115	4	2039	1831	-3	-3	-33	-26	4	36	250527	2359107																															/wchi1~
 	2175	2	226	226	135	6	2174	1696	-4	-4	-37	-30	5	41	250523	2359103																															/wchi1~
 	2301	3	216	216	126	6	2300	1570	-4	-4	-41	-34	5	46	250519	2359099																															/wchi1~
 	2421	2	219	219	120	5	2420	1450	-4	-3	-46	-37	5	51	250514	2359096																															/wchi1~
 	2511	3	226	226	90	4	2510	1360	-3	-3	-49	-40	4	54	250511	2359093																															/wchi1~
 	2645	3	215	215	134	6	2644	1226	-5	-4	-53	-44	6	60	250507	2359089																															/wchi1~
 	2753	3	231	231	108	5	2751	1119	-4	-4	-57	-48	5	64	250503	2359085																															/wchi1~
	2872	3	229	229	119	6	2870	1000	-4	-5	-61	-52	6	70	250499	2359081																															
 	2882	3	229	229	129	6	2880	990	-4	-5	-61	-53	6	71	250499	2359080																															/wchi1~
 	3008	2	210	210	126	5	3006	864	-4	-3	-65	-56	4	75	250495	2359077																															/wchi1~
 	3134	3	236	236	126	5	3132	738	-4	-4	-69	-60	5	80	250491	2359073																															/wchi1~
 	3302	2	244	244	168	7	3300	570	-4	-6	-73	-66	7	87	250487	2359067																															/wchi1~
175F	3381	3	236	236	79	4	3379	491	-2	-3	-75	-69	4	90	250485	2359064																															/wchi1~
 	3551	1	254	254	170	6	3549	321	-3	-6	-77	-75	6	97	250483	2359058																															/wchi1~
 	3635	2	240	240	84	3	3633	237	-1	-2	-78	-77	3	99	250482	2359056																															/wchi1~
 	3698	4	228	228	63	3	3696	174	-2	-3	-80	-80	3	103	250480	2359053																															/wchi1~
 	3760	5	239	239	62	5	3757	113	-3	-4	-83	-84	5	107	250477	2359049																															/wchi1~
 	3824	7	240	240	64	7	3821	49	-4	-6	-87	-90	7	114	250473	2359043																															/wchi1~
	3873	8	247	247	49	6	3870	0	-3	-6	-90	-96	6	121	250470	2359037																															
 	3886	8	249	249	61	8	3882	-12	-4	-7	-90	-97	8	122	250470	2359036																															/wchi1~
 	3948	9	254	254	61	9	3944	-74	-3	-9	-93	-106	9	132	250467	2359027																															/wchi1~
 	4000	10	74	254	51	9	3995	-125	-2	-8	-96	-114	9	140	250464	2359019																															/wchi1~
 	4060	11	252	252	59	11	4054	-184	-3	-10	-99	-125	11	151	250461	2359008																															/wchi1~
 	4122	11	251	251	61	12	4115	-245	-4	-11	-103	-135	12	162	250457	2358998																															/wchi1~
 	4186	12	251	251	63	13	4178	-308	-4	-12	-107	-147	13	175	250453	2358986																															/wchi1~
 	4280	13	254	254	92	20	4270	-400	-6	-19	-113	-166	20	195	250447	2358967																															/wchi1~
 	4374	15	254	254	91	22	4361	-491	-6	-21	-119	-188	22	217	250441	2358945																															/wchi1~
 	4466	16	253	253	89	24	4450	-580	-7	-23	-126	-211	24	241	250434	2358922																															/wchi1~
 	4528	16	253	253	60	17	4509	-639	-5	-16	-131	-227	17	258	250429	2358906																															/wchi1~
 	4591	17	253	253	60	18	4570	-700	-5	-17	-136	-244	18	276	250424	2358889																															/wchi1~
 	4686	17	253	253	91	27	4661	-791	-8	-26	-144	-270	27	303	250416	2358863																															/wchi1~
 	4780	17	252	252	90	28	4751	-881	-8	-26	-152	-296	28	331	250408	2358837																															/wchi1~
 	4872	17	252	252	88	27	4839	-969	-8	-26	-160	-322	27	357	250400	2358811																															/wchi1~
	4905	17	252	252	32	10	4870	-1000	-3	-9	-163	-331	10	367	250397	2358802																															
 	4997	17	252	252	120	36	4958	-1088	-11	-35	-172	-356	36	394	250388	2358777																															/wchi1~
-300 BPH	5053	17	252	252	54	16	5012	-1142	-5	-16	-177	-372	16	410	250383	2358761																															
 	5125	17	252	252	122	37	5081	-1211	-11	-35	-183	-392	37	431	250377	2358741																															/wchi1~
 	5263	17	256	256	132	39	5213	-1343	-11	-38	-194	-430	39	470	250366	2358703																															/wchi1~
 	5421	16	255	255	152	45	5365	-1495	-11	-43	-205	-473	44	515	250355	2358660																															/wchi1~
 	5570	16	255	255	143	42	5508	-1638	-11	-40	-216	-513	42	556	250344	2358620																															/wchi1~
-65 BPH	5688	17	255	255	113	33	5621	-1751	-9	-32	-224	-545	33	589	250336	2358588																															
 	5725	17	255	255	149	44	5656	-1786	-11	-43	-227	-556	44	600	250333	2358577																															/wchi1~
