      WELL DATA SUMMARY                                                                                      
            
Well  NAVY II 58-18 
                         
Sec Az   70 N 70 E  
Elev   4192 KB      
CoordsNorth  249926 East              2353058 
                         Course               
  MD  Drift Drift D. AzimLength  DH     TVD     SSD    DNS   DEW   N-S   E-W  DSec    Sec     N-LAM E-LAM    
_____________________________________________________________________________________________________________
                                                                                                             
    0  0.00      10  170                        4192     0     0     0     0     0        0  249926  2353058 
  192  0.67      10  170   192     1      192   4000    -1     0    -1     0     0        0  249925  2353058 
  216  0.75      10  170   216     1      216   3976    -1     0    -1     0     0        0  249925  2353058 
  388  0.50      10  170   172     2      388   3804    -2     0    -3     1     0       -1  249923  2353059 
  499  0.75      10  170   111     1      499   3693    -1     0    -4     1     0       -1  249922  2353059 
  500  0.75      10  170     1     0      500   3692     0     0    -4     1     0       -1  249922  2353059 
  625  0.75      10  170   126     2      625   3567    -2     0    -6     1     0       -1  249920  2353059 
  717  0.75      10  170    92     1      717   3475    -1     0    -7     1     0       -1  249919  2353059 
  812  1.00       6  174    95     1      812   3380    -1     0    -9     1     0       -2  249917  2353059 
  906  1.25      19  199    94     2      906   3286    -2     0   -11     1    -1       -2  249915  2353059 
  999  1.75      36  216    93     2      999   3193    -2    -1   -13     0    -2       -4  249913  2353058 
 1000  1.75      36  216     1     0     1000   3192     0     0   -13     0     0       -4  249913  2353058 
 1090  1.75      26  206    91     3     1090   3102    -2    -1   -15    -1    -2       -6  249911  2353057 
 1184  1.75      27  207    94     3     1184   3008    -3    -1   -18    -3    -2       -8  249908  2353055 
 1192  1.73      27  207     8     0     1192   3000     0     0   -18    -3     0       -9  249908  2353055 
 1303  1.50      34  214   119     3     1303   2889    -3    -2   -21    -4    -3      -11  249905  2353054 
 1403  1.25      77  257   100     2     1403   2789    -1    -2   -22    -6    -2      -13  249904  2353052 
 1490  1.50      64  244    87     2     1490   2702    -1    -2   -23    -8    -2      -15  249903  2353050 
 1500  1.57      68  248    10     0     1500   2692     0     0   -23    -8     0      -16  249903  2353050 
 1560  2.00      89  269    70     2     1560   2632     0    -2   -23   -10    -2      -18  249903  2353048 
 1607  1.50      74  254    47     1     1607   2585     0    -1   -23   -12    -1      -19  249903  2353046 
 1639  0.75      89  269    32     1     1639   2553     0    -1   -23   -12    -1      -20  249903  2353046 
 1670  0.50      31  329    31     0     1670   2522     0     0   -23   -13     0      -20  249903  2353045 
 1700  0.75      12   12    30     0     1700   2492     0     0   -23   -13     0      -20  249903  2353045 
 1732  1.00      34   34    32     0     1732   2460     0     0   -22   -13     0      -19  249904  2353045 
 1764  1.75      42   42    32     1     1764   2428     1     0   -22   -12     1      -19  249904  2353046 
 1794  2.75      57   57    30     1     1794   2398     1     1   -21   -11     1      -18  249905  2353047 
 1807  2.65      52   52    13     1     1807   2385     0     0   -21   -11     1      -17  249905  2353047 
 1827  2.50      44   44    33     2     1827   2365     1     1   -20   -10     1      -16  249906  2353048 
 1901  3.25      61   61    74     4     1900   2292     2     3   -18    -7     4      -13  249908  2353051 
 1994  3.25      58   58    93     5     1993   2199     3     5   -15    -2     5       -8  249911  2353056 
 2000  3.22      58   58     6     0     1999   2193     0     0   -15    -2     0       -7  249911  2353056 
