	WELL DATA SUMMARY									

Well BLM 58B-18										
Sec Az 275										
Elev 4192 KB										
Coors North 249998  East 2353042										

MD	Drift	Drift D.	Azim	TVD	SSD	N-S	E-W	Sec	N-LAM	E-LAM
0	0.00	0	199	0	4192	0	0	0	249998	2353042
158	0.25	199	199	158	4034	0	0	0	249998	2353042
192	0.49	181	181	192	4000	-1	0	0	249997	2353042
301	1.25	124	124	301	3891	-2	0	-1	249996	2353042
436	1.00	116	116	488	3704	-4	4	-4	249994	2353046
659	0.50	128	128	659	3533	-5	6	-6	249993	2353048
753	0.50	128	128	753	3439	-6	6	-7	249992	2353048
860	1.75	251	251	860	3332	-8	6	-6	249990	2353048
890	2.00	253	253	890	3302	-8	5	-6	249990	2353047
1081	2.50	241	241	1081	3111	-11	-2	1	249987	2353040
1192	3.16	246	246	1192	3000	-13	-7	6	249982	2353035
1292	3.75	250	250	1291	2901	-16	-12	11	249982	2353030
1429	5.25	250	250	1428	2764	-19	-23	21	249979	2353019
1451	5.25	250	250	1450	2742	-20	-24	23	249978	2353018
1514	6.00	256	256	1513	2679	-22	-30	28	249976	2353012
1577	6.00	260	260	1575	2617	-23	-37	35	249975	2353005
1640	6.00	260	260	1636	2554	-24	-43	41	249974	2352999
1704	7.50	271	271	1701	2491	-25	-51	48	249973	2352991
1766	9.50	275	275	1763	2429	-25	-60	58	249973	2352982
1830	11.00	273	273	1826	2366	-24	-71	69	249974	2352971
2085	12.75	274	274	2075	2117	-21	-124	121	249977	2352918
2180	13.25	273	273	2168	2024	-19	-145	143	249979	2352897
2205	13.25	273	273	2192	2000	-19	-151	149	249979	2352891
2274	13.25	274	274	2259	1933	-18	-167	164	249980	2352875
2370	14.00	272	272	2353	1839	-17	-189	187	249981	2352853
2529	14.00	271	271	2507	1665	-16	-228	225	249982	2352814
2692	15.75	269	269	2664	1528	-16	-269	267	249982	2352773
2851	18.00	265	265	2817	1375	-18	-316	313	249980	2352726
3034	17.00	265	265	2991	1201	-23	-370	367	249975	2352672
3225	15.25	265	265	3175	1017	-28	-423	419	249970	2352619
3243	15.25	265	265	3192	1000	-28	-428	424	249970	2352614
3290	15.25	265	265	3237	955	-29	-440	436	249969	2352602
3344	15.25	262	262	3289	903	-31	-454	450	249967	2352588
3408	15.25	263	263	3351	841	-33	-471	466	249965	2352571
3472	14.75	265	265	3413	779	-35	-487	483	249963	2352555
3536	14.00	269	269	3475	717	-35	-503	498	249963	2352539
3599	15.00	273	273	3536	656	-35	-519	514	249963	2352523
3631	15.50	276	276	3567	625	-35	-528	523	249963	2352514
3694	15.75	284	284	3628	564	-32	-544	539	249966	2352498
3791	15.50	279	278	3721	471	-27	-570	565	249971	2352472
3919	14.25	279	279	3845	347	-22	-602	598	249976	2352440
4047	12.75	278	278	3969	223	-17	-632	628	249981	2352410
