      WELL DATA SUMMARY                                                                                      
            
Well  NAVY II 63A-18
                         
Sec Az  195 S 15 W  
Elev   4119 KB      
CoordsNorth  253601 East              2353377 
                         Course               
  MD  Drift Drift D. AzimLength  DH     TVD     SSD    DNS   DEW   N-S   E-W  DSec    Sec     N-LAM E-LAM    
_____________________________________________________________________________________________________________
                                                                                                             
    0  0.00      84   84                        4119     0     0     0     0     0        0  253601  2353377 
  119  0.35      84   84   119     0      119   4000     0     0     0     0     0        0  253601  2353377 
  171  0.50      84   84   171     1      171   3948     0     1     0     1     0        0  253601  2353378 
  350  0.75      75  105   179     2      350   3769     0     2     0     3     0       -1  253601  2353380 
  460  0.75      68  112   110     1      460   3659     0     1    -1     4     0       -1  253600  2353381 
  500  0.80      71  109    40     1      500   3619     0     1    -1     5     0        0  253600  2353382 
  649  1.00      80  100   189     3      649   3470    -1     3    -1     7     0        0  253600  2353384 
  757  1.25      63   63   108     2      757   3362     0     2    -1     9    -1       -1  253600  2353386 
  843  1.50      39   39    86     2      843   3276     1     2     0    11    -2       -3  253601  2353388 
  938  1.50      64   64    95     2      938   3181     2     2     2    12    -2       -5  253603  2353389 
 1000  1.50      58   58    62     2     1000   3119     1     1     3    14    -1       -6  253604  2353391 
 1060  1.50      52   52   122     3     1060   3059     2     3     4    15    -2       -7  253605  2353392 
 1119  1.26      53   53    59     1     1119   3000     1     1     4    16    -1       -8  253605  2353393 
 1184  1.00      54   54   124     3     1184   2935     2     2     5    17    -2       -9  253606  2353394 
 1308  1.50      45   45   124     3     1308   2811     2     2     7    19    -2      -12  253608  2353396 
 1431  1.50      48   48   123     3     1431   2688     2     2     9    22    -3      -14  253610  2353399 
 1500  1.14      45   45    69     2     1500   2619     1     1    10    23    -1      -16  253611  2353400 
 1526  1.00      44   44    95     2     1526   2593     1     1    11    23    -2      -16  253612  2353400 
 1650  1.00      54   54   124     2     1650   2469     1     2    12    25    -2      -18  253613  2353402 
 1777  1.25      19   19   127     2     1777   2342     2     1    14    26    -2      -20  253615  2353403 
 1870  1.00      49   49    93     2     1870   2249     2     1    16    27    -2      -22  253617  2353404 
 1960  1.75      48   48    90     2     1960   2159     1     2    17    29    -2      -24  253618  2353406 
 1989  1.25      47   47    29     1     1989   2130     1     1    17    30    -1      -24  253618  2353407 
 2000  0.99      60   64    11     0     2000   2119     0     0    18    30     0      -25  253619  2353407 
 2021  0.50      85   95    32     0     2021   2098     0     0    18    30     0      -25  253619  2353407 
 2051  0.75       3  183    30     0     2051   2068     0     0    17    30     0      -25  253618  2353407 
 2082  1.75       3  177    31     1     2082   2037    -1     0    17    30     1      -24  253618  2353407 
 2113  2.50       3  177    31     1     2113   2006    -1     0    16    30     1      -23  253617  2353407 
 2119  2.59       3  178     6     0     2119   2000     0     0    15    30     0      -23  253616  2353407 
 2145  3.00       4  184    32     2     2145   1974    -2     0    14    30     1      -21  253615  2353407 
 2176  4.00       8  188    31     2     2175   1944    -2     0    12    30     2      -19  253613  2353407 
 2207  4.75      10  190    31     2     2206   1913    -2     0    10    30     2      -17  253611  2353407 
 2239  5.75      12  192    32     3     2238   1881    -3    -1     7    29     3      -14  253608  2353406 
