      WELL DATA SUMMARY                                                                                      
            
Well  NAVY II 72A-18
                         
Sec Az  200 S20 W   
Elev   4228 KB      
CoordsNorth  253993 East              2354687 
                         Course               
  MD  Drift Drift D. AzimLength  DH     TVD     SSD    DNS   DEW   N-S   E-W  DSec    Sec     N-LAM E-LAM    
_____________________________________________________________________________________________________________
                                                                                                             
    0  0.00      42  318                        4228     0     0     0     0     0        0  253993  2354687 
  132  0.25      42  318   132     0      132   4096     0     0     0     0     0        0  253993  2354687 
  185  0.70      18  234    53     0      185   4043     0     0     0    -1     0        0  253993  2354686 
  220  1.00       2  178    88     1      220   4008     0    -1     0    -1     1        1  253993  2354686 
  228  1.00       5  175     8     0      228   4000     0     0     0    -1     0        1  253993  2354686 
  359  1.00      51  129   139     2      359   3869    -2     1    -2     0     2        2  253991  2354687 
  464  0.75      42  138   105     2      464   3764    -1     1    -3     1     1        3  253990  2354688 
  500  0.68      42  138    36     0      500   3728     0     0    -4     1     0        3  253989  2354688 
  592  0.50      42  138   128     1      592   3636    -1     1    -4     2     1        3  253989  2354689 
  750  0.75      28  152   158     2      750   3478    -1     1    -6     3     1        4  253987  2354690 
  906  0.75      19  161   156     2      906   3322    -2     1    -8     4     1        6  253985  2354691 
 1000  0.94      18  162    94     1     1000   3228    -1     0    -9     4     1        7  253984  2354691 
 1031  1.00      18  162   125     2     1031   3197    -2     1   -10     5     1        7  253983  2354692 
 1152  1.25      20  160   121     2     1152   3076    -2     1   -12     5     2        9  253981  2354692 
 1228  1.55      11  176    76     2     1228   3000    -2     0   -14     6     2       11  253979  2354693 
 1277  1.75       6  186   125     3     1277   2951    -3     0   -15     6     3       12  253978  2354693 
 1403  2.25      16  196   126     4     1403   2825    -4    -1   -19     5     4       17  253974  2354692 
 1500  2.45      18  198    97     4     1500   2728    -4    -1   -23     4     4       21  253970  2354691 
 1526  2.50      18  198   123     5     1526   2702    -5    -1   -24     3     5       22  253969  2354690 
 1653  2.50      20  200   127     6     1653   2575    -5    -2   -29     2     6       27  253964  2354689 
 1799  3.25      15  195   146     7     1798   2430    -7    -2   -36    -1     7       34  253957  2354686 
 1892  3.75      18  198    93     6     1891   2337    -5    -2   -42    -2     6       40  253951  2354685 
 1985  4.25      16  196    93     6     1984   2244    -6    -2   -48    -4     6       47  253945  2354683 
 2000  4.21      16  196    15     1     1999   2229    -1     0   -49    -4     1       48  253944  2354683 
 2079  4.00      13  193    94     7     2078   2150    -7    -2   -55    -6     7       53  253938  2354681 
 2176  5.25      19  199    97     8     2174   2054    -8    -2   -62    -8     8       61  253931  2354679 
 2208  5.75      20  200    32     3     2206   2022    -3    -1   -65    -9     3       64  253928  2354678 
 2230  6.28      22  202    22     2     2228   2000    -2    -1   -67   -10     2       67  253926  2354677 
 2239  6.50      23  203    31     3     2237   1991    -3    -1   -68   -10     3       68  253925  2354677 
 2271  7.25      21  201    32     4     2269   1959    -4    -1   -72   -12     4       71  253921  2354675 
 2303  8.00      21  201    32     4     2301   1927    -4    -2   -76   -13     4       76  253917  2354674 
 2334  8.50      23  203    31     4     2331   1897    -4    -2   -80   -15     4       80  253913  2354672 
