      WELL DATA SUMMARY                                                                                      
            
Well  NAVY II 73-18 
                         
Sec Az  230 S 50 W  
Elev   4100 KB      
CoordsNorth  253110 East              2354521 
                         Course               
  MD  Drift Drift D. AzimLength  DH     TVD     SSD    DNS   DEW   N-S   E-W  DSec    Sec     N-LAM E-LAM    
_____________________________________________________________________________________________________________
                                                                                                             
    0  0.00      49  229                        4100     0     0     0     0     0        0  253110  2354521 
  100  0.13      49  229   100     0      100   4000     0     0     0     0     0        0  253110  2354521 
  500  0.66      49  229   500     3      500   3600    -2    -2    -2    -2     3        3  253108  2354519 
  570  0.75      49  229   570     4      570   3530    -2    -3    -2    -3     4        4  253108  2354518 
  695  0.75      69  249   125     2      695   3405    -1    -1    -3    -4     2        5  253107  2354517 
  814  0.75      71  251   119     2      814   3286    -1    -1    -4    -6     1        7  253106  2354515 
  908  1.00      79  259    94     1      908   3192     0    -1    -4    -7     1        8  253106  2354514 
 1000  1.00      81  261    92     2     1000   3100     0    -2    -4    -9     1       10  253106  2354512 
 1008  1.00      81  261   100     2     1008   3092     0    -2    -4    -9     2       10  253106  2354512 
 1100  0.69      73  253    92     1     1100   3000     0    -1    -5   -10     1       11  253105  2354511 
 1155  0.50      69  249   147     2     1155   2945     0    -2    -5   -11     2       11  253105  2354510 
 1290  0.75      49  229   135     1     1290   2810    -1    -1    -6   -12     1       13  253104  2354509 
 1379  1.00      44  224    89     1     1379   2721    -1    -1    -7   -13     1       14  253103  2354508 
 1500  1.20      57  237   121     2     1500   2600    -1    -2    -8   -15     2       17  253102  2354506 
 1529  1.25      60  240   150     3     1529   2571    -2    -2    -9   -15     3       17  253101  2354506 
 1654  1.25      65  245   125     3     1654   2446    -1    -2   -10   -18     3       20  253100  2354503 
 1711  2.00      66  246    57     2     1711   2389    -1    -1   -10   -19     2       21  253100  2354502 
 1742  2.75      72  252    31     1     1742   2358     0    -1   -11   -20     1       23  253099  2354501 
 1774  3.25      69  249    32     2     1774   2326    -1    -2   -11   -22     2       24  253099  2354499 
 1805  3.50      67  247    31     2     1805   2295    -1    -2   -12   -24     2       26  253098  2354497 
 1861  4.00      58  238    56     4     1861   2239    -2    -3   -14   -27     4       29  253096  2354494 
 1928  4.25      56  236    67     5     1927   2173    -3    -4   -16   -31     5       34  253094  2354490 
 1956  4.75      52  232    28     2     1955   2145    -1    -2   -18   -33     2       36  253092  2354488 
 1987  5.50      51  231    31     3     1986   2114    -2    -2   -19   -35     3       39  253091  2354486 
 2000  5.96      52  232    13     1     1999   2101    -1    -1   -20   -36     1       40  253090  2354485 
 2008  6.25      53  233    21     2     2007   2093    -1    -2   -21   -37     2       41  253089  2354484 
 2071  8.25      54  234    62     8     2070   2030    -5    -6   -26   -43     8       49  253084  2354478 
 2102  9.01      54  234    31     5     2100   2000    -3    -4   -28   -47     5       54  253082  2354474 
 2142 10.00      53  233    70    11     2140   1960    -7    -9   -32   -52    11       61  253078  2354469 
 2200 10.00      47  227    57    10     2197   1903    -6    -8   -39   -60    10       71  253071  2354461 
 2272 10.75      47  227    71    13     2268   1832    -9    -9   -48   -69    13       84  253062  2354452 
