Name,Northing,Easting,Elevation,Temp
1,247844,2351951,4140,0
2,247845,2351952,4000,0
4,247846,2351952,3920,0
5,247848,2351953,3834,0
6,247848,2351954,3773,0
7,247849,2351955,3711,0
8,247849,2351956,3681,0
9,247850,2351957,3605,0
10,247851,2351959,3512,0
11,247853,2351961,3419,0
12,247853,2351962,3387,0
13,247854,2351964,3325,0
14,247856,2351965,3269,0
15,247856,2351966,3249,0
16,247857,2351967,3205,0
17,247859,2351968,3139,0
18,247858,2351968,3079,0
19,247858,2351967,3017,0
20,247859,2351967,3000,0
21,247859,2351966,2956,0
22,247860,2351966,2891,0
23,247861,2351966,2798,0
24,247862,2351966,2636,0
25,247864,2351965,2542,0
26,247867,2351965,2434,0
27,247870,2351965,2326,0
28,247872,2351965,2235,0
29,247871,2351967,2139,0
30,247876,2351965,2063,0
31,247878,2351965,2000,0
32,247879,2351965,1969,0
33,247881,2351965,1901,0
34,247884,2351966,1804,0
35,247887,2351966,1722,0
36,247889,2351967,1630,0
37,247892,2351968,1538,0
38,247895,2351968,1444,0
39,247898,2351968,1354,0
40,247901,2351969,1260,0
41,247903,2351969,1165,0
42,247904,2351969,1150,0
44,247907,2351970,1041,0
45,247908,2351971,1000,0
46,247910,2351971,950,0
47,247913,2351972,858,0
48,247916,2351973,763,0
49,247921,2351974,639,0
50,247922,2351974,606,0
51,247926,2351974,495,0
52,247929,2351975,405,0
53,247933,2351975,312,0
54,247936,2351976,245,0
55,247938,2351976,183,0
56,247939,2351976,140,0
58,247940,2351977,70,0
59,247941,2351977,39,0
60,247942,2351977,8,0
62,247943,2351977,-70,0
63,247946,2351976,-194,0
64,247948,2351976,-318,0
65,247950,2351977,-400,0
66,247951,2351979,-461,0
67,247953,2351982,-523,0
68,247954,2351984,-585,0
69,247956,2351988,-645,0
70,247958,2351992,-706,0
71,247963,2352000,-797,0
72,247968,2352008,-858,0
73,247970,2352012,-886,0
74,247977,2352022,-952,0
75,247982,2352030,-1000,460
76,247984,2352033,-1016,0
77,247994,2352048,-1102,0
78,248009,2352070,-1224,0
79,248024,2352092,-1346,0
80,248034,2352108,-1437,0
81,248044,2352123,-1525,0
82,248054,2352139,-1615,0
83,248067,2352160,-1737,0
84,248078,2352177,-1837,0
85,248080,2352181,-1860,0
86,248083,2352184,-1880,0
87,248098,2352204,-2000,595
88,248110,2352220,-2100,0
89,248117,2352229,-2152,0
90,248126,2352240,-2222,0
91,248138,2352254,-2314,0
92,248144,2352260,-2359,0
93,248150,2352267,-2406,0
94,248159,2352277,-2468,0
95,248164,2352281,-2499,0
96,248178,2352295,-2595,0
97,248186,2352304,-2655,0
98,248194,2352314,-2717,0
99,248208,2352332,-2836,0
100,248209,2352333,-2841,0
101,248217,2352342,-2903,0
102,248221,2352347,-2932,0
103,248230,2352356,-2992,0
104,248231,2352357,-3000,0
105,248236,2352362,-3032,0
106,248253,2352380,-3144,0
107,248268,2352395,-3242,0
108,248269,2352397,-3251,0
109,248293,2352419,-3407,0
110,248312,2352435,-3529,0
111,248347,2352455,-3739,0
112,248380,2352472,-3922,0
113,248387,2352476,-3962,0
114,248394,2352480,-4000,635
115,248453,2352506,-4263,0
116,248484,2352514,-4376,0
117,248525,2352526,-4526,0
118,248569,2352538,-4676,0
119,248613,2352552,-4829,0
120,248651,2352565,-4974,0
121,248658,2352567,-5000,660
122,248705,2352584,-5189,0
123,248735,2352595,-5310,0
124,248757,2352603,-5400,0
