      WELL DATA SUMMARY                                                                                   
            
Well  BLM 72A-19    
                         
Sec Az  272         
Elev   4172 KB      
CoordsNorth  248938 East 2E+06        2354363 
                         Course               
  MD  Drift Drift D. AzimLength  DH     TVD     SSD    DNS   DEW   N-S   E-W  DSec   Sec   N-LAM E-LAM    
__________________________________________________________________________________________________________
                                                                                                          
    0  0.00      70  250                        4172     0     0     0     0     0     0  248938  2354363 
  172  0.78      70  250   172     1      172   4000     0    -1     0    -1     1     1  248938  2354362 
  500  2.27      70  250   500    10      500   3672    -3    -9    -3    -9     9     9  248935  2354354 
  825  3.75      70  250   325    17      824   3348    -6   -16    -9   -25    16    25  248929  2354338 
  892  4.00      70  250    67     5      891   3281    -2    -4   -11   -30     4    29  248927  2354333 
  924  5.00      83  263    32     3      923   3249    -1    -2   -11   -32     2    32  248927  2354331 
  956  6.00      86  274    32     3      955   3217     0    -3   -11   -35     3    35  248927  2354328 
  986  7.50      81  279    30     4      985   3187     0    -4   -11   -39     4    38  248927  2354324 
 1000  8.16      81  279    14     2      999   3173     0    -2   -11   -41     2    40  248927  2354322 
 1018  9.00      80  280    18     3     1017   3155     0    -3   -10   -43     3    43  248928  2354320 
 1049 10.50      80  280    31     5     1047   3125     1    -5    -9   -48     5    48  248929  2354315 
 1133 13.75      71  289    82    18     1129   3043     4   -17    -5   -65    17    65  248933  2354298 
 1177 14.81      71  289    43    11     1172   3000     4   -10    -1   -76    10    76  248937  2354287 
 1226 16.00      71  289    90    24     1219   2953     8   -23     3   -88    23    88  248941  2354275 
 1320 17.25      71  289    90    27     1309   2863     9   -25    12  -113    26   114  248950  2354250 
 1380 18.75      71  289    57    19     1366   2806     6   -18    18  -131    18   131  248956  2354232 
 1485 20.50      75  285    99    35     1465   2707    10   -34    28  -165    34   166  248966  2354198 
 1500 20.58      75  285    14     5     1479   2693     1    -5    29  -170     5   171  248967  2354193 
 1578 21.00      75  285    73    28     1552   2620     7   -27    36  -196    27   198  248974  2354167 
 1733 21.75      74  286   144    56     1696   2476    15   -54    52  -251    55   253  248990  2354112 
 1886 23.50      76  284   141    59     1838   2334    15   -57    67  -308    57   310  249005  2354055 
 2000 24.41      76  284   104    46     1942   2230    11   -45    78  -353    45   355  249016  2354010 
 2042 24.75      76  284    38    17     1980   2192     4   -17    82  -370    17   372  249020  2353993 
 2199 25.00      75  285   142    66     2122   2050    17   -64    99  -434    64   437  249037  2353929 
 2254 25.54      75  285    50    23     2172   2000     6   -23   105  -456    23   460  249043  2353907 
 2353 26.50      74  286   139    67     2261   1911    18   -64   117  -498    65   502  249055  2353865 
 2477 27.00      76  284   111    56     2372   1800    14   -54   131  -552    54   556  249069  2353811 
 2500 27.00      76  284    20    10     2392   1780     3   -10   134  -562    10   566  249072  2353801 
 2570 27.00      76  284    62    32     2455   1717     8   -31   141  -593    31   598  249079  2353770 
 2694 27.50      79  281   110    57     2565   1607    12   -55   154  -648    56   653  249092  2353715 
 2757 27.50      78  282    56    29     2621   1551     6   -29   159  -677    29   682  249097  2353686 
 2843 26.25      77  283    77    39     2698   1474     8   -38   168  -715    38   720  249106  2353648 
