	WELL DATA SUMMARY									

Well Navy II 72B-19 RD (Re-Drill)										
Sec Az 0 Straight Hole										
Elev 4207 KB										
Coords North 254048  East 2354593										

MD	Drift	Drift D.	Azim	TVD	SSD	N-S	E-W	Sec	N-LAM	E-LAM
0	0.00	48	312		4207	0	0	0	254048	2354593
207	0.70	48	312	207	4000	1	-1	1	254049	2354592
221	0.75	48	312	221	3986	1	-1	1	254049	2354592
467	0.50	13	347	467	3740	3	-2	3	254051	2354591
500	0.64	13	347	500	3707	4	-3	4	254052	2354590
583	1.00	13	347	583	3624	5	-3	5	254053	2354590
707	1.00	7	353	707	3500	7	-3	7	254055	2354590
833	1.25	15	345	833	3374	9	-4	9	254057	2354589
958	1.50	21	339	958	3249	12	-5	12	254060	2354588
1000	1.59	17	343	1000	3207	13	-5	13	254061	2354588
1081	1.75	10	350	1081	3126	16	-5	16	254064	2354588
1205	1.50	36	324	1205	3002	19	-7	19	254067	2354586
1207	1.49	37	323	1207	3000	19	-7	19	254067	2354586
1360	0.75	88	272	1360	2847	20	-10	20	254068	2354583
1485	0.75	69	249	1485	2722	20	-11	20	254068	2354582
1500	0.78	70	250	1500	2707	20	-11	20	254068	2354582
1607	1.00	74	254	1607	2600	19	-13	19	254067	2354580
1701	1.00	44	224	1701	2506	18	-14	18	254066	2354579
1824	1.75	60	240	1824	2383	17	-17	17	254065	2354576
1979	2.00	82	262	1979	2228	15	-21	15	254063	2354572
2000	2.07	82	265	2000	2207	15	-22	15	254063	2354571
2134	2.50	79	281	2133	2074	15	-28	15	254063	2354565
2208	2.39	82	278	2207	2000	16	-31	16	254064	2354562
2237	2.34	83	277	2236	1971	16	-32	16	254064	2354561
2311	4.00	288	288	2310	1897	18	-37	18	254066	2354556
2344	4.75	290	290	2343	1864	17	-38	17	254065	2354555
2375	5.75	289	289	2374	1833	19	-42	19	254067	2354551
2407	6.75	290	290	2406	1801	20	-44	20	254068	2354549
2438	7.75	288	288	2437	1770	22	-49	22	254070	2354544
2535	10.25	289	289	2532	1675	26	-62	26	254074	2354531
2565	10.13	289	289	2562	1645	28	-67	28	254076	2354526
2599	10.00	289	289	2596	1611	30	-73	30	254078	2354520
2665	10.00	289	289	2660	1547	33	-84	33	254081	2354509
2788	12.75	290	290	2781	1426	42	-108	42	254090	2354485
2852	15.00	292	292	2843	1364	47	-122	47	254095	2354471
3136	17.00	295	295	3117	1090	76	-191	76	254124	2354402
3230	16.49	296	296	3207	1000	88	-215	88	254136	2354378
3594	14.50	298	298	3561	646	127	-293	127	254175	2354300
3624	14.50	298	298	3587	620	135	-309	135	254183	2354284
										
