      WELL DATA SUMMARY                                                                                      
            
Well  BLM 81-19     
                         
Sec Az  280 N 80 W  
Elev   4205 KB      
CoordsNorth  249031 East              2355335 
                         Course               
  MD  Drift Drift D. AzimLength  DH     TVD     SSD    DNS   DEW   N-S   E-W  DSec    Sec     N-LAM E-LAM    
_____________________________________________________________________________________________________________
                                                                                                             
    0  0.00       0    0     0     0        0   4205     0     0     0     0     0        0  249031  2355335 
  101  0.75      61  241   101     1      101   4104     0     1     0     1    -1       -1  249031  2355336 
  205  1.16      68  248   104     2      205   4000    -1    -2    -1    -1     1        1  249030  2355334 
  228  1.25      70  250   127     2      228   3977    -1    -2    -1    -1     2        1  249030  2355334 
  352  1.75      15  195   124     3      352   3853    -2    -2    -4    -4     2        3  249027  2355331 
  464  2.00      11  169   112     4      464   3741    -4     0    -7    -4    -1        2  249024  2355331 
  500  2.00      11  178    36     1      500   3705    -1     0    -9    -4     0        2  249022  2355331 
  552  2.00      12  192    52     2      552   3653    -2     0   -10    -4     0        2  249021  2355331 
  613  2.25      21  201    61     2      613   3592    -2    -1   -13    -4     0        2  249018  2355331 
  781  2.75       3  177   168     7      781   3424    -7    -1   -20    -6     0        2  249011  2355329 
  935  3.50      19  199   154     8      934   3271    -8    -1   -28    -7     0        2  249003  2355328 
 1000  3.76      15  195    65     4      999   3206    -4    -1   -32    -8     1        2  248999  2355327 
 1059  4.00      12  192    59     4     1058   3147    -4    -1   -36    -9     0        3  248995  2355326 
 1183  3.50      19  199   124     8     1182   3023    -8    -2   -44   -11     1        3  248987  2355324 
 1206  3.50      19  199    23     1     1205   3000    -1     0   -45   -12     0        4  248986  2355323 
 1245  3.50      18  198    62     4     1244   2961    -4    -1   -47   -12     1        4  248984  2355323 
 1339  3.75      18  198    94     6     1338   2867    -6    -2   -53   -14     1        5  248978  2355321 
 1401  4.00      28  208    62     4     1399   2806    -4    -2   -57   -16     1        6  248974  2355319 
 1492  3.25      41  221    91     6     1490   2715    -5    -3   -62   -19     2        8  248969  2355316 
 1500  3.19      43  223     8     0     1498   2707     0     0   -62   -19     0        8  248969  2355316 
 1524  3.00      49  229    24     1     1522   2683    -1    -1   -63   -20     1        9  248968  2355315 
 1554  3.00      54  234    30     2     1552   2653    -1    -1   -64   -21     1       10  248967  2355314 
 1586  2.75      50  230    32     2     1584   2621    -1    -1   -65   -23     1       11  248966  2355312 
 1616  2.25      57  237    30     1     1614   2591    -1    -1   -66   -24     1       12  248965  2355311 
 1648  2.00      69  249    32     1     1646   2559    -1    -1   -66   -25     1       13  248965  2355310 
 1679  1.50      77  257    31     1     1677   2528     0    -1   -66   -26     1       14  248965  2355309 
 1710  0.75      86  274    31     1     1708   2497     0    -1   -66   -26     1       14  248965  2355309 
 1741  0.00       0  360    31     0     1739   2466     0     0   -66   -26     0       15  248965  2355309 
 1771  0.75       1    1    30     0     1769   2436     0     0   -66   -26     0       15  248965  2355309 
 1841  2.00      11   11    70     2     1839   2366     2     0   -65   -26     0       15  248966  2355309 
 1993  2.00      13  347   152    -5     1991   2214     5     0   -59   -26     1       16  248972  2355309 
 2000  1.89      14  308     7     0     1998   2207     0     0   -59   -27     0       16  248972  2355308 
