      WELL DATA SUMMARY                                                                                      
            
Well  BLM 81A-19RD  
                         
Sec Az   70         
Elev   4205 KB      
CoordsNorth  249077 East              2355443 
                         Course               
  MD  Drift Drift D. AzimLength  DH     TVD     SSD    DNS   DEW   N-S   E-W  DSec    Sec     N-LAM E-LAM    
_____________________________________________________________________________________________________________
                                                                                                             
    0  0.00       1    1     0     0        0   4205     0     0     0     0     0        0  249077  2355443 
  173  0.50       1    1   173     1      173   4032     1     0     1     0     0        0  249078  2355443 
  205  0.84       2   52    32     0      205   4000     0     0     1     0     0        1  249078  2355443 
  290  1.75       6  186    85    -2      290   3915     1    -2     2    -2    -1       -1  249079  2355441 
  326  1.87       9  180    36     1      326   3879    -1     0     1    -2     0       -1  249078  2355441 
  437  2.25      19  161   111     4      437   3768    -4     1    -3    -1    -1       -2  249074  2355442 
  555  2.25       7  187   118     5      555   3650    -5     0    -8     0    -1       -3  249069  2355443 
  717  2.75       2  178   162     7      717   3488    -7     0   -15    -1    -3       -6  249062  2355442 
  880  3.75       8  172   163     9      879   3326    -9     1   -24     0    -2       -8  249053  2355443 
 1015  3.75      23  157   135     9     1014   3191    -9     2   -32     2    -1       -9  249045  2355445 
 1129  3.25      12  168   114     7     1128   3077    -7     2   -39     5     0       -9  249038  2355448 
 1206  3.83       7  173    77     5     1205   3000    -5     1   -44     5    -1      -10  249033  2355448 
 1261  4.25       3  177    55     4     1260   2945    -4     0   -48     6    -1      -11  249029  2355449 
 1328  4.52       2  178    67     5     1326   2879    -5     0   -53     6    -2      -13  249024  2355449 
 1383  4.75       2  178    55     4     1381   2824    -4     0   -57     6    -1      -14  249020  2355449 
 1508  5.25       9  189   125    11     1506   2699   -11    -1   -68     5    -4      -18  249009  2355448 
 1557  5.75      14  194    49     5     1555   2650    -5    -1   -73     4    -2      -21  249004  2355447 
 1588  5.25      12  192    31     3     1585   2620    -3    -1   -76     4    -2      -22  249001  2355447 
 1619  5.25      16  196    31     3     1616   2589    -3    -1   -78     3    -2      -24  248999  2355446 
 1650  5.75      20  200    31     3     1647   2558    -3    -1   -81     2    -2      -26  248996  2355445 
 1683  5.50      20  200    33     3     1680   2525    -3    -1   -84     1    -2      -28  248993  2355444 
 1714  5.00      19  199    31     3     1711   2494    -3    -1   -87     0    -2      -30  248990  2355443 
 1745  5.00      23  203    31     3     1742   2463    -3    -1   -89    -1    -2      -31  248988  2355442 
 1775  5.00      23  203    30     3     1772   2433    -2    -1   -92    -2    -2      -33  248985  2355441 
 1806  5.00      21  201    31     3     1802   2403    -3    -1   -94    -3    -2      -35  248983  2355440 
 1837  5.00      20  200    31     3     1833   2372    -3    -1   -97    -4    -2      -37  248980  2355439 
 1868  4.75      20  200    31     3     1864   2341    -2    -1   -99    -5    -2      -38  248978  2355438 
 1900  4.50      22  202    32     3     1896   2309    -2    -1  -102    -6    -2      -40  248975  2355437 
 1970  3.25      22  202    70     5     1966   2239    -4    -2  -106    -7    -3      -43  248971  2355436 
 2099  3.00      25  205   129     7     2095   2110    -6    -3  -113   -10    -5      -48  248964  2355433 
 2209  3.71      30  210   110     6     2205   2000    -6    -3  -118   -13    -5      -53  248959  2355430 
