      WELL DATA SUMMARY                                                                                      
            
Well  BLM 35B-20    
                         
Sec Az   40         
Elev   4048 KB      
CoordsNorth  246592 East              2357404 
                         Course               
  MD  Drift Drift D. AzimLength  DH     TVD     SSD    DNS   DEW   N-S   E-W  DSec    Sec     N-LAM E-LAM    
_____________________________________________________________________________________________________________
                                                                                                             
    0  0.00       0  300                        4048     0     0     0     0     0        0  246592  2357404 
   48  0.08       5  300    48     0       48   4000     0     0     0     0     0        0  246592  2357404 
  575  1.00      60  300   575     5      575   3473     3    -4     3    -4    -1       -1  246595  2357400 
  688  1.50      56  304   113     2      688   3360     1    -2     4    -6     0       -1  246596  2357398 
  780  2.00      52  308    92     3      780   3268     2    -2     5    -9     0       -1  246597  2357395 
  872  2.75      55  305    92     4      872   3176     2    -3     8   -12     0       -2  246600  2357392 
  934  2.75      65  295    62     3      934   3114     1    -3     9   -14    -1       -2  246601  2357390 
 1039  2.75      56  304   105     5     1039   3009     2    -4    12   -19    -1       -3  246604  2357385 
 1048  2.75      57  303     9     0     1048   3000     0     0    12   -19     0       -3  246604  2357385 
 1122  2.75      61  299    83     4     1122   2926     2    -3    14   -22    -1       -4  246606  2357382 
 1216  2.50      72  288    94     4     1215   2833     2    -4    15   -26    -1       -5  246607  2357378 
 1368  3.00      61  299   152     7     1367   2681     3    -7    18   -33    -2       -7  246610  2357371 
 1543  3.50      71  289   175    10     1542   2506     4    -9    22   -42    -3      -10  246614  2357362 
 1617  3.75      74  286    74     5     1616   2432     1    -4    24   -46    -2      -11  246616  2357358 
 1717  3.75      71  289   100     7     1716   2332     2    -6    26   -53    -3      -14  246618  2357351 
 1806  4.00      71  289    89     6     1804   2244     2    -6    28   -58    -2      -16  246620  2357346 
 1937  4.00      76  284   131     9     1935   2113     3    -9    30   -67    -4      -20  246622  2357337 
 2007  4.00      81  279    70     5     2005   2043     1    -5    31   -72    -2      -22  246623  2357332 
 2050  4.24      80  280    43     3     2048   2000     1    -3    32   -75    -2      -24  246624  2357329 
 2096  4.50      78  282    89     7     2094   1954     1    -6    33   -78    -3      -25  246625  2357326 
 2188  4.00      84  276    92     7     2185   1863     1    -7    34   -85    -4      -29  246626  2357319 
 2279  4.00      76  284    91     6     2276   1772     1    -6    35   -91    -3      -32  246627  2357313 
 2390  3.25      76  284   111     7     2387   1661     2    -7    36   -98    -3      -35  246628  2357306 
 2471  4.50      79  281    81     5     2468   1580     1    -5    38  -103    -3      -38  246630  2357301 
 2508  5.00      72  288    37     3     2505   1543     1    -3    38  -106    -1      -39  246630  2357298 
 2539  5.25      60  300    31     3     2536   1512     1    -3    39  -109    -1      -40  246631  2357295 
 2571  5.75      55  305    32     3     2567   1481     2    -3    41  -111     0      -40  246633  2357293 
 2602  5.75      44  316    31     3     2598   1450     2    -2    43  -114     0      -40  246635  2357290 
 2633  5.75      36  324    31     3     2629   1419     2    -2    46  -116     1      -40  246638  2357288 
 2664  5.50      28  332    31     3     2660   1388     3    -2    48  -117     1      -39  246640  2357287 
 2695  5.25      24  336    31     3     2691   1357     3    -1    51  -119     1      -37  246643  2357285 
 2757  4.00      14  346    62     5     2753   1295     5    -2    55  -120     3      -35  246647  2357284 
