      WELL DATA SUMMARY                                                                                                                                                                                                        
            
Well  NAVY I 78-6   
                         
Sec Az   50         
Elev   4181 KB      
CoordsNorth  260508 East              2354158 
                         Course               
  MD  Drift Drift D. AzimLength  DH     TVD     SSD    DNS   DEW   N-S   E-W  DSec    Sec     N-LAM E-LAM    
_____________________________________________________________________________________________________________
                                                                                                                                                                                                                               
    0  0.00      89  269                        4181     0     0     0     0     0        0  260508  2354158                                                                                                                   
  131  0.75      89  269   131     1      131   4050     0    -1     0    -1    -1       -1  260508  2354157                                                                                                                   
  181  0.75      89  269    50     1      181   4000     0    -1     0    -2    -1       -1  260508  2354156                                                        4000         131   131     0    -1    -1  0.00 
  285  0.75      89  269   154     2      285   3896     0    -2     0    -3    -2       -2  260508  2354155                                                                                                                   
  460  1.00      89  269   175     3      460   3721     0    -3     0    -6    -2       -4  260508  2354152                                                                                                                   
  500  0.85      89  269    40     1      500   3681     0    -1     0    -6    -1       -5  260508  2354152                                                             
  527  0.75      89  269    27     0      527   3654     0     0     0    -7     0       -5  260508  2354151                                                                                                                   
  587  0.75      81   81    60     1      587   3594    -1     0    -1    -6     0       -6  260507  2354152                                                                                                                   
  618  1.50      59   59    31     1      618   3563     0     1    -1    -6     1       -5  260507  2354152                                                                                                                   
  648  2.25      59   59    30     1      648   3533     1     1     0    -5     1       -4  260508  2354153                                                                                                                   
  711  3.25      58   58    63     3      711   3470     2     3     1    -3     3       -1  260509  2354155                                                                                                                   
  742  4.00      58   58    31     2      742   3439     1     2     2    -1     2        1  260510  2354157                                                                                                                   
  774  5.25      53   53    32     3      774   3407     1     2     4     1     3        3  260512  2354159                                                                                                                   
  804  6.00      51   51    30     3      804   3377     2     2     6     4     3        6  260514  2354162                                                                                                                   
  835  6.50      50   50    31     3      834   3347     2     3     8     6     3       10  260516  2354164                                                                                                                   
  866  7.25      53   53    31     4      865   3316     2     3    10     9     4       14  260518  2354167                                                                                                                   
  897  8.00      54   54    31     4      896   3285     2     3    13    12     4       18  260521  2354170                                                                                                                   
  927  8.75      54   54    30     4      926   3255     3     4    15    16     4       22  260523  2354174                                                                                                                   
  959  9.50      54   54    32     5      957   3224     3     4    18    20     5       27  260526  2354178                                                                                                                   
  992 10.00      49   49    33     6      990   3191     3     4    22    24     6       33  260530  2354182                                                                                                                   
 1000 10.08      49   49     8     1      998   3183     1     1    23    25     1       34  260531  2354183                                                             
 1065 10.74      47   47    64    12     1061   3120     8     9    30    34    12       46  260538  2354192                                                                                                                   
 1115 11.25      45   45    49    10     1111   3070     7     7    37    41    10       55  260545  2354199                                                                                                                   
 1187 11.61      45   45    71    14     1181   3000    10    10    47    51    14       69  260555  2354209                                                        3000        1111  1115    37    41    55  0.00 
 1411 12.75      45   45   290    62     1400   2781    44    44    81    85    61      117  260589  2354243                                                                                                                   
 1449 13.00      46   46    37     8     1437   2744     6     6    87    91     8      125  260595  2354249                                                                                                                   
 1486 13.50      46   46    36     8     1473   2708     6     6    92    97     8      133  260600  2354255                                                                                                                   
 1500 13.73      47   47    14     3     1487   2694     2     2    95    99     3      137  260603  2354257                                                             
